pl_name,ra,dec,pl_rade,disc_year,discoverymethod
"HD 2039 b",6.0851069,-56.6499880,12.70000000,2002,"Radial Velocity"
"KOI-142 b",291.1481028,40.6694130,3.43800000,2013,"Transit"
"HAT-P-8 b",343.0414932,35.4471778,15.69260000,2008,"Transit"
"K2-43 b",169.1170280,-3.9754405,4.51000000,2016,"Transit"
"Kepler-1753 b",288.2366640,46.6058744,2.22678077,2021,"Transit"
"Kepler-1176 b",297.9197240,45.2742038,2.45000000,2016,"Transit"
"K2-126 b",203.5467021,-13.5769705,1.97000000,2017,"Transit"
"Kepler-1263 b",286.4836260,46.7526182,1.14000000,2016,"Transit"
"Kepler-1416 b",298.6634624,43.8940593,0.88000000,2016,"Transit"
"Kepler-1542 c",285.7284757,42.6544651,0.65000000,2016,"Transit"
"K2-85 b",59.4648290,18.4649505,1.40000000,2016,"Transit"
"Kepler-368 c",291.8800180,45.3878419,3.88000000,2014,"Transit"
"K2-123 b",134.4441404,21.4532748,2.76000000,2017,"Transit"
"Kepler-770 b",286.4904589,38.3748720,2.30000000,2016,"Transit"
"Kepler-1399 b",293.3116962,46.0416516,1.25000000,2016,"Transit"
"Kepler-723 b",284.8304434,44.6580932,12.19000000,2016,"Transit"
"K2-107 b",284.9853550,-22.2934206,15.98000000,2017,"Transit"
"K2-45 b",169.6327547,-1.7740582,6.71000000,2016,"Transit"
"K2-365 b",238.8197061,-21.0269691,2.90600000,2022,"Transit"
"K2-127 b",207.0782895,-11.5889878,8.37000000,2017,"Transit"
"K2-195 b",199.8315191,-8.5095364,3.13000000,2018,"Transit"
"K2-80 c",59.0374860,13.5590288,1.47000000,2016,"Transit"
"K2-229 c",186.8729195,-6.7218474,2.03000000,2018,"Transit"
"HAT-P-3 b",206.0940142,48.0285650,10.53646000,2007,"Transit"
"WASP-32 b",3.9617073,1.2005122,10.76064000,2010,"Transit"
"WASP-24 b",227.2154975,2.3432860,15.46842000,2010,"Transit"
"Kepler-65 c",288.6887221,41.1511076,2.58000000,2012,"Transit"
"TrES-2 b",286.8085258,49.3164211,15.24424000,2006,"Transit"
"Kepler-939 b",293.8656181,47.0268148,1.75000000,2016,"Transit"
"Kepler-1028 b",289.5931004,49.7812447,1.33000000,2016,"Transit"
"HAT-P-67 b",256.6107279,44.7768849,23.98721870,2017,"Transit"
"Kepler-1101 b",294.5693544,45.6711623,2.47000000,2016,"Transit"
"Kepler-1388 b",283.3360156,47.1744499,2.59000000,2016,"Transit"
"Kepler-768 b",294.1156858,38.3934378,1.79000000,2016,"Transit"
"Kepler-796 b",287.3078999,39.1447097,1.30000000,2016,"Transit"
"Kepler-110 b",292.9291693,48.6028303,1.83000000,2014,"Transit"
"Kepler-1042 b",288.6689428,39.8239935,2.19000000,2016,"Transit"
"Kepler-334 c",287.1406177,47.1151153,1.43000000,2014,"Transit"
"Kepler-937 b",294.1688142,46.7146161,3.72000000,2016,"Transit"
"Kepler-1117 b",292.0847866,49.2374206,1.11000000,2016,"Transit"
"Kepler-1789 b",282.8631419,41.7966332,2.83137505,2021,"Transit"
"Kepler-1831 b",295.3024604,49.5890456,1.97019818,2021,"Transit"
"Kepler-1245 b",290.7443078,43.2607530,1.44000000,2016,"Transit"
"Kepler-114 b",294.1214820,48.3497977,1.26000000,2014,"Transit"
"Kepler-1105 b",281.1117588,42.4549698,2.01000000,2016,"Transit"
"Kepler-187 b",299.7964955,44.0892448,1.41000000,2014,"Transit"
"Kepler-1379 b",293.6704404,41.4102105,1.30000000,2016,"Transit"
"Kepler-304 c",294.4418031,40.5575408,2.17000000,2014,"Transit"
"Kepler-1291 b",289.3770051,40.0010791,1.66000000,2016,"Transit"
"Kepler-304 e",294.4418031,40.5575408,1.20000000,2016,"Transit"
"Kepler-461 b",292.2490563,46.1647909,2.58000000,2016,"Transit"
"Kepler-1894 b",295.5864604,49.6668523,1.20117759,2021,"Transit"
"Kepler-576 b",295.1828896,38.6542028,3.27000000,2016,"Transit"
"Kepler-1893 b",298.4012866,44.8381709,1.70557445,2021,"Transit"
"Kepler-1601 b",285.5129496,38.0798390,0.82000000,2016,"Transit"
"Kepler-1922 b",292.3303706,37.9970696,2.29064904,2021,"Transit"
"HD 80653 b",140.3390845,14.3678691,1.62100000,2020,"Transit"
"Kepler-1542 d",285.7284757,42.6544651,0.87000000,2016,"Transit"
"Kepler-666 b",298.4568899,48.7915925,2.40000000,2016,"Transit"
"Kepler-211 c",285.4391183,43.1685051,1.29000000,2014,"Transit"
"Kepler-203 c",297.0899590,41.3880686,2.47000000,2014,"Transit"
"GJ 674 b",262.1700476,-46.8989826,3.33000000,2007,"Radial Velocity"
"OGLE-TR-182 b",167.3279228,-61.0952624,12.66600000,2007,"Transit"
"HD 69830 c",124.6010091,-12.6364246,3.46000000,2006,"Radial Velocity"
"GJ 3021 b",4.0634323,-79.8514218,13.10000000,2000,"Radial Velocity"
"HD 221287 b",352.8362230,-58.2097540,13.10000000,2007,"Radial Velocity"
"HD 47536 b",99.4489580,-32.3394531,12.60000000,2002,"Radial Velocity"
"HD 107148 b",184.8059773,-3.3199927,9.60000000,2005,"Radial Velocity"
"HD 179949 b",288.8890182,-24.1797939,13.90000000,2000,"Radial Velocity"
