cell_id,region_id,block_row,block_col,longitude,latitude,planet_count,scalar_value,mean_planet_radius_earth,median_discovery_year,transit_fraction,original_area_equal_solid_angle,is_boundary,theta,rho,polygon_wkt
NASA_EXO_r00_c00,NASA-Exoplanet-SkyGrid,0,0,-170.0,-62.73395554926718,22,3.1354942159291497,8.684668829545455,2020.5,0.5909090909090909,4.444444444444445,True,-2.788072126144584,1.0,"POLYGON ((-180 -90, -160 -90, -160 -51.057558731018624, -180 -51.057558731018624, -180 -90))"
NASA_EXO_r00_c01,NASA-Exoplanet-SkyGrid,0,1,-150.0,-62.73395554926718,14,2.70805020110221,11.39211791214286,2019.5,0.21428571428571427,4.444444444444445,True,-2.7454732919055167,1.0,"POLYGON ((-160 -90, -140 -90, -140 -51.057558731018624, -160 -51.057558731018624, -160 -90))"
NASA_EXO_r00_c02,NASA-Exoplanet-SkyGrid,0,2,-130.0,-62.73395554926718,15,2.772588722239781,6.279934128666666,2023.0,0.3333333333333333,4.444444444444445,True,-2.691986923198472,1.0,"POLYGON ((-140 -90, -120 -90, -120 -51.057558731018624, -140 -51.057558731018624, -140 -90))"
NASA_EXO_r00_c03,NASA-Exoplanet-SkyGrid,0,3,-110.0,-62.73395554926718,8,2.1972245773362196,12.45383628375,2009.0,0.25,4.444444444444445,True,-2.62329116731236,0.8817172804258102,"POLYGON ((-120 -90, -100 -90, -100 -51.057558731018624, -120 -51.057558731018624, -120 -90))"
NASA_EXO_r00_c04,NASA-Exoplanet-SkyGrid,0,4,-90.0,-62.73395554926718,20,3.044522437723423,7.490617959411765,2022.0,0.4,4.444444444444445,True,-2.5328533713986245,0.7638716450802925,"POLYGON ((-100 -90, -80 -90, -80 -51.057558731018624, -100 -51.057558731018624, -100 -90))"
NASA_EXO_r00_c05,NASA-Exoplanet-SkyGrid,0,5,-70.0,-62.73395554926718,16,2.833213344056216,10.190425301538461,2017.0,0.625,4.444444444444445,True,-2.410881322799188,0.6544917968948281,"POLYGON ((-80 -90, -60 -90, -60 -51.057558731018624, -80 -51.057558731018624, -80 -90))"
NASA_EXO_r00_c06,NASA-Exoplanet-SkyGrid,0,6,-50.0,-62.73395554926718,20,3.044522437723423,8.229021696,2022.0,0.5,4.444444444444445,True,-2.2437154348318673,0.5585733870641638,"POLYGON ((-60 -90, -40 -90, -40 -51.057558731018624, -60 -51.057558731018624, -60 -90))"
NASA_EXO_r00_c07,NASA-Exoplanet-SkyGrid,0,7,-30.0,-62.73395554926718,17,2.8903717578961645,7.188232462941177,2020.0,0.47058823529411764,4.444444444444445,True,-2.016860411566241,0.4841838904371008,"POLYGON ((-40 -90, -20 -90, -20 -51.057558731018624, -40 -51.057558731018624, -40 -90))"
NASA_EXO_r00_c08,NASA-Exoplanet-SkyGrid,0,8,-10.0,-62.73395554926718,16,2.833213344056216,10.135174387333333,2017.5,0.4375,4.444444444444445,True,-1.7288697363136232,0.44232221882926437,"POLYGON ((-20 -90, 0 -90, 0 -51.057558731018624, -20 -51.057558731018624, -20 -90))"
NASA_EXO_r00_c09,NASA-Exoplanet-SkyGrid,0,9,10.0,-62.73395554926718,22,3.1354942159291497,10.215100572380955,2019.5,0.6818181818181818,4.444444444444445,True,-1.4127229172761702,0.44232221882926437,"POLYGON ((0 -90, 20 -90, 20 -51.057558731018624, 0 -51.057558731018624, 0 -90))"
NASA_EXO_r00_c10,NASA-Exoplanet-SkyGrid,0,10,30.0,-62.73395554926718,26,3.295836866004329,7.17127518826087,2020.0,0.5,4.444444444444445,True,-1.1247322420235522,0.4841838904371008,"POLYGON ((20 -90, 40 -90, 40 -51.057558731018624, 20 -51.057558731018624, 20 -90))"
NASA_EXO_r00_c11,NASA-Exoplanet-SkyGrid,0,11,50.0,-62.73395554926718,33,3.5263605246161616,6.85154656969697,2022.0,0.6060606060606061,4.444444444444445,True,-0.897877218757926,0.5585733870641638,"POLYGON ((40 -90, 60 -90, 60 -51.057558731018624, 40 -51.057558731018624, 40 -90))"
NASA_EXO_r00_c12,NASA-Exoplanet-SkyGrid,0,12,70.0,-62.73395554926718,37,3.6375861597263857,7.021979805945946,2020.0,0.5675675675675675,4.444444444444445,True,-0.7307113307906051,0.6544917968948281,"POLYGON ((60 -90, 80 -90, 80 -51.057558731018624, 60 -51.057558731018624, 60 -90))"
NASA_EXO_r00_c13,NASA-Exoplanet-SkyGrid,0,13,90.0,-62.73395554926718,47,3.871201010907891,5.655743282500001,2022.0,0.5957446808510638,4.444444444444445,True,-0.6087392821911688,0.7638716450802925,"POLYGON ((80 -90, 100 -90, 100 -51.057558731018624, 80 -51.057558731018624, 80 -90))"
NASA_EXO_r00_c14,NASA-Exoplanet-SkyGrid,0,14,110.0,-62.73395554926718,40,3.713572066704308,8.645761877750001,2023.0,0.625,4.444444444444445,True,-0.5183014862774333,0.8817172804258102,"POLYGON ((100 -90, 120 -90, 120 -51.057558731018624, 100 -51.057558731018624, 100 -90))"
NASA_EXO_r00_c15,NASA-Exoplanet-SkyGrid,0,15,130.0,-62.73395554926718,15,2.772588722239781,6.940579943999999,2021.0,0.2,4.444444444444445,True,-0.44960573039132157,1.0,"POLYGON ((120 -90, 140 -90, 140 -51.057558731018624, 120 -51.057558731018624, 120 -90))"
NASA_EXO_r00_c16,NASA-Exoplanet-SkyGrid,0,16,150.0,-62.73395554926718,18,2.9444389791664403,9.304745511666665,2023.0,0.7222222222222222,4.444444444444445,True,-0.39611936168427664,1.0,"POLYGON ((140 -90, 160 -90, 160 -51.057558731018624, 140 -51.057558731018624, 140 -90))"
NASA_EXO_r00_c17,NASA-Exoplanet-SkyGrid,0,17,170.0,-62.73395554926718,24,3.2188758248682006,14.225620217916665,2014.0,0.4166666666666667,4.444444444444445,True,-0.353520527445209,1.0,"POLYGON ((160 -90, 180 -90, 180 -51.057558731018624, 160 -51.057558731018624, 160 -90))"
