source,target,angle_rad
NASA_EXO_r00_c00,NASA_EXO_r00_c01,0.0
NASA_EXO_r00_c01,NASA_EXO_r00_c00,3.141592653589793
NASA_EXO_r00_c00,NASA_EXO_r00_c17,0.0
NASA_EXO_r00_c17,NASA_EXO_r00_c00,3.141592653589793
NASA_EXO_r00_c00,NASA_EXO_r01_c00,1.5707963267948966
NASA_EXO_r01_c00,NASA_EXO_r00_c00,-1.5707963267948966
NASA_EXO_r00_c01,NASA_EXO_r00_c02,0.0
NASA_EXO_r00_c02,NASA_EXO_r00_c01,3.141592653589793
NASA_EXO_r00_c01,NASA_EXO_r01_c01,1.5707963267948966
NASA_EXO_r01_c01,NASA_EXO_r00_c01,-1.5707963267948966
NASA_EXO_r00_c02,NASA_EXO_r00_c03,0.0
NASA_EXO_r00_c03,NASA_EXO_r00_c02,3.141592653589793
NASA_EXO_r00_c02,NASA_EXO_r01_c02,1.5707963267948966
NASA_EXO_r01_c02,NASA_EXO_r00_c02,-1.5707963267948966
NASA_EXO_r00_c03,NASA_EXO_r00_c04,0.0
NASA_EXO_r00_c04,NASA_EXO_r00_c03,3.141592653589793
NASA_EXO_r00_c03,NASA_EXO_r01_c03,1.5707963267948966
NASA_EXO_r01_c03,NASA_EXO_r00_c03,-1.5707963267948966
NASA_EXO_r00_c04,NASA_EXO_r00_c05,0.0
NASA_EXO_r00_c05,NASA_EXO_r00_c04,3.141592653589793
NASA_EXO_r00_c04,NASA_EXO_r01_c04,1.5707963267948966
NASA_EXO_r01_c04,NASA_EXO_r00_c04,-1.5707963267948966
NASA_EXO_r00_c05,NASA_EXO_r00_c06,0.0
NASA_EXO_r00_c06,NASA_EXO_r00_c05,3.141592653589793
NASA_EXO_r00_c05,NASA_EXO_r01_c05,1.5707963267948966
NASA_EXO_r01_c05,NASA_EXO_r00_c05,-1.5707963267948966
NASA_EXO_r00_c06,NASA_EXO_r00_c07,0.0
NASA_EXO_r00_c07,NASA_EXO_r00_c06,3.141592653589793
NASA_EXO_r00_c06,NASA_EXO_r01_c06,1.5707963267948966
NASA_EXO_r01_c06,NASA_EXO_r00_c06,-1.5707963267948966
NASA_EXO_r00_c07,NASA_EXO_r00_c08,0.0
NASA_EXO_r00_c08,NASA_EXO_r00_c07,3.141592653589793
NASA_EXO_r00_c07,NASA_EXO_r01_c07,1.5707963267948966
NASA_EXO_r01_c07,NASA_EXO_r00_c07,-1.5707963267948966
NASA_EXO_r00_c08,NASA_EXO_r00_c09,0.0
NASA_EXO_r00_c09,NASA_EXO_r00_c08,3.141592653589793
NASA_EXO_r00_c08,NASA_EXO_r01_c08,1.5707963267948966
NASA_EXO_r01_c08,NASA_EXO_r00_c08,-1.5707963267948966
NASA_EXO_r00_c09,NASA_EXO_r00_c10,0.0
NASA_EXO_r00_c10,NASA_EXO_r00_c09,3.141592653589793
NASA_EXO_r00_c09,NASA_EXO_r01_c09,1.5707963267948966
NASA_EXO_r01_c09,NASA_EXO_r00_c09,-1.5707963267948966
NASA_EXO_r00_c10,NASA_EXO_r00_c11,0.0
NASA_EXO_r00_c11,NASA_EXO_r00_c10,3.141592653589793
NASA_EXO_r00_c10,NASA_EXO_r01_c10,1.5707963267948966
NASA_EXO_r01_c10,NASA_EXO_r00_c10,-1.5707963267948966
NASA_EXO_r00_c11,NASA_EXO_r00_c12,0.0
NASA_EXO_r00_c12,NASA_EXO_r00_c11,3.141592653589793
NASA_EXO_r00_c11,NASA_EXO_r01_c11,1.5707963267948966
NASA_EXO_r01_c11,NASA_EXO_r00_c11,-1.5707963267948966
NASA_EXO_r00_c12,NASA_EXO_r00_c13,0.0
NASA_EXO_r00_c13,NASA_EXO_r00_c12,3.141592653589793
NASA_EXO_r00_c12,NASA_EXO_r01_c12,1.5707963267948966
NASA_EXO_r01_c12,NASA_EXO_r00_c12,-1.5707963267948966
NASA_EXO_r00_c13,NASA_EXO_r00_c14,0.0
NASA_EXO_r00_c14,NASA_EXO_r00_c13,3.141592653589793
NASA_EXO_r00_c13,NASA_EXO_r01_c13,1.5707963267948966
NASA_EXO_r01_c13,NASA_EXO_r00_c13,-1.5707963267948966
NASA_EXO_r00_c14,NASA_EXO_r00_c15,0.0
NASA_EXO_r00_c15,NASA_EXO_r00_c14,3.141592653589793
NASA_EXO_r00_c14,NASA_EXO_r01_c14,1.5707963267948966
NASA_EXO_r01_c14,NASA_EXO_r00_c14,-1.5707963267948966
NASA_EXO_r00_c15,NASA_EXO_r00_c16,0.0
NASA_EXO_r00_c16,NASA_EXO_r00_c15,3.141592653589793
NASA_EXO_r00_c15,NASA_EXO_r01_c15,1.5707963267948966
NASA_EXO_r01_c15,NASA_EXO_r00_c15,-1.5707963267948966
NASA_EXO_r00_c16,NASA_EXO_r00_c17,0.0
NASA_EXO_r00_c17,NASA_EXO_r00_c16,3.141592653589793
NASA_EXO_r00_c16,NASA_EXO_r01_c16,1.5707963267948966
NASA_EXO_r01_c16,NASA_EXO_r00_c16,-1.5707963267948966
NASA_EXO_r00_c17,NASA_EXO_r01_c17,1.5707963267948966
NASA_EXO_r01_c17,NASA_EXO_r00_c17,-1.5707963267948966
NASA_EXO_r01_c00,NASA_EXO_r01_c01,0.0
NASA_EXO_r01_c01,NASA_EXO_r01_c00,3.141592653589793
NASA_EXO_r01_c00,NASA_EXO_r01_c17,0.0
NASA_EXO_r01_c17,NASA_EXO_r01_c00,3.141592653589793
NASA_EXO_r01_c00,NASA_EXO_r02_c00,1.5707963267948966
NASA_EXO_r02_c00,NASA_EXO_r01_c00,-1.5707963267948966
NASA_EXO_r01_c01,NASA_EXO_r01_c02,0.0
NASA_EXO_r01_c02,NASA_EXO_r01_c01,3.141592653589793
NASA_EXO_r01_c01,NASA_EXO_r02_c01,1.5707963267948966
NASA_EXO_r02_c01,NASA_EXO_r01_c01,-1.5707963267948966
NASA_EXO_r01_c02,NASA_EXO_r01_c03,0.0
NASA_EXO_r01_c03,NASA_EXO_r01_c02,3.141592653589793
