source,target
AGO,COD
AGO,NAM
AGO,ZMB
BDI,COD
BDI,RWA
BDI,TZA
BEN,BFA
BEN,NER
BEN,NGA
BEN,TGO
BFA,CIV
BFA,GHA
BFA,MLI
BFA,NER
BFA,TGO
BWA,NAM
BWA,ZAF
BWA,ZMB
BWA,ZWE
CAF,CMR
CAF,COD
CAF,COG
CAF,SDN
CAF,SDS
CAF,TCD
CIV,GHA
CIV,GIN
CIV,LBR
CIV,MLI
CMR,COG
CMR,GAB
CMR,GNQ
CMR,NER
CMR,NGA
CMR,TCD
COD,COG
COD,RWA
COD,SDS
COD,TZA
COD,UGA
COD,ZMB
COG,GAB
DJI,ERI
DJI,ETH
DJI,SOL
DZA,LBY
DZA,MAR
DZA,MLI
DZA,MRT
DZA,NER
DZA,SAH
DZA,TUN
EGY,LBY
EGY,SDN
ERI,ETH
ERI,SDN
ETH,KEN
ETH,SDN
ETH,SDS
ETH,SOL
ETH,SOM
GAB,GNQ
GHA,TGO
GIN,GNB
GIN,LBR
GIN,MLI
GIN,SEN
GIN,SLE
GMB,SEN
GNB,SEN
KEN,SDS
KEN,SOM
KEN,TZA
KEN,UGA
LBR,SLE
LBY,NER
LBY,SDN
LBY,TCD
LBY,TUN
LSO,ZAF
MAR,SAH
MLI,MRT
MLI,NER
MLI,SEN
MOZ,MWI
MOZ,SWZ
MOZ,TZA
MOZ,ZAF
MOZ,ZMB
MOZ,ZWE
MRT,SAH
MRT,SEN
MWI,TZA
MWI,ZMB
NAM,ZAF
NAM,ZMB
NER,NGA
NER,TCD
RWA,TZA
RWA,UGA
SDN,SDS
SDN,TCD
SDS,UGA
SOL,SOM
SWZ,ZAF
TZA,UGA
TZA,ZMB
ZAF,ZWE
ZMB,ZWE
