source,target,angle_rad
AGO,COD,1.1476678006194565
COD,AGO,-2.001118056276714
AGO,NAM,-1.7129495444715142
NAM,AGO,1.4372267750054142
AGO,ZMB,-0.1847305031855756
ZMB,AGO,2.956023645630702
BDI,COD,-3.0576629659415886
COD,BDI,0.0839909428442941
BDI,RWA,1.5220070660371265
RWA,BDI,-1.619646281842865
BDI,TZA,-0.5811794002142819
TZA,BDI,2.5585522262206273
BEN,BFA,2.434180271599394
BFA,BEN,-0.7123307289250895
BEN,NER,0.8343942494694693
NER,BEN,-2.2904421186556005
BEN,NGA,-0.056278565928403676
NGA,BEN,3.085362392312208
BEN,TGO,-2.569407665912278
TGO,BEN,0.5712667163105413
BFA,CIV,-2.3124821048208104
CIV,BFA,0.8219766795913641
BFA,GHA,-1.5292508422993163
GHA,BFA,1.612912829689153
BFA,MLI,1.4728126394699304
MLI,BFA,-1.6661928606109384
BFA,NER,0.44491367721465575
NER,BFA,-2.687369556244523
BFA,TGO,-1.0124192100742206
TGO,BFA,2.1345652159249924
BWA,NAM,-3.0220380313135147
NAM,BWA,0.12024949711357795
BWA,ZAF,-1.2927419059317486
ZAF,BWA,1.8360750473756144
BWA,ZMB,1.4667715837676012
ZMB,BWA,-1.6803948177720545
BWA,ZWE,0.6410341960868434
ZWE,BWA,-2.5114679582731974
CAF,CMR,3.0749280468703803
CMR,CAF,-0.06673057141746165
CAF,COD,-1.3977631919086877
COD,CAF,1.7445807914612121
CAF,COG,-2.116803491752775
COG,CAF,1.0217140143519883
CAF,SDN,0.7536437134231799
SDN,CAF,-2.373468668506005
CAF,SDS,0.14881442920804877
SDS,CAF,-2.992357735219588
CAF,TCD,1.8188965013836385
TCD,CAF,-1.3295110934168914
CIV,GHA,0.060306745315050966
GHA,CIV,-3.0812469586117426
CIV,GIN,2.5926347638988974
GIN,CIV,-0.5518433137022786
CIV,LBR,-2.8472653164350104
LBR,CIV,0.29361470371592063
CIV,MLI,1.1279863550651532
MLI,CIV,-1.9978491505640252
CMR,COG,-1.2711392714433232
COG,CMR,1.872691718180508
CMR,GAB,-1.7973825176710807
GAB,CMR,1.34248818613405
CMR,GNQ,-2.081449394127805
GNQ,CMR,1.056926852053526
CMR,NER,1.9188729091582692
NER,CMR,-1.234979247852481
CMR,NGA,2.8473514197766585
NGA,CMR,-0.2954130366599593
CMR,TCD,1.0353182350149461
TCD,CMR,-2.094068557993842
COD,COG,2.649009679565058
COG,COD,-0.4915429608752275
COD,RWA,0.2740452888017036
RWA,COD,-2.8680623157515743
COD,SDS,1.0747456908233948
SDS,COD,-2.0638037852998705
COD,TZA,-0.177980072748276
TZA,COD,2.9630332912899267
COD,UGA,0.49586148130593144
UGA,COD,-2.646681138740377
COD,ZMB,-1.2512537156451664
ZMB,COD,1.883330345585517
COG,GAB,-3.073448379226737
GAB,COG,0.06814917078090352
DJI,ERI,2.4490565847029426
ERI,DJI,-0.69944272128703
DJI,ETH,-2.536814142870682
ETH,DJI,0.6009711761232036
DJI,SOL,-0.5344316247158558
SOL,DJI,2.6102201731936083
DZA,LBY,-0.10866016688365884
LBY,DZA,3.034475420543638
DZA,MAR,3.0798425716507123
MAR,DZA,-0.06208197824569283
DZA,MLI,-1.6792303759038798
MLI,DZA,1.4541311193343835
DZA,MRT,-2.5752492956025126
MRT,DZA,0.542231306234306
DZA,NER,-0.9106595286937466
NER,DZA,2.2685185908584016
DZA,SAH,-2.833305230512302
SAH,DZA,0.2992994742067384
DZA,TUN,0.6825882887612924
TUN,DZA,-2.4279444087814706
EGY,LBY,-3.086815657463979
LBY,EGY,0.05449476989687932
EGY,SDN,-1.5519096574133737
SDN,EGY,1.5912248770111592
ERI,ETH,-1.4997027479308216
ETH,ERI,1.643479488683865
ERI,SDN,3.132039378496837
SDN,ERI,-0.00955691024605621
ETH,KEN,-1.7023315111350383
KEN,ETH,1.4375082437421172
ETH,SDN,2.559576231697584
SDN,ETH,-0.592426090841663
ETH,SDS,-3.0038017837372
SDS,ETH,0.13730693821788642
ETH,SOL,0.054717854498395516
SOL,ETH,-3.0868113662777095
ETH,SOM,-0.48467654294792845
SOM,ETH,2.6607532111014143
GAB,GNQ,1.999911249925644
GNQ,GAB,-1.1417986281639043
GHA,TGO,0.3012125326006719
TGO,GHA,-2.8398985079665504
GIN,GNB,2.7916018702155236
GNB,GIN,-0.3520934988750426
GIN,LBR,-1.5851210549293921
LBR,GIN,1.5563414999324796
GIN,MLI,0.7368211751254017
MLI,GIN,-2.38744394086328
GIN,SEN,2.403450330998513
SEN,GIN,-0.7467058232327238
GIN,SLE,-2.5684980665247257
SLE,GIN,0.571294626799863
GMB,SEN,0.7081896346632885
SEN,GMB,-2.4310600820951147
GNB,SEN,1.4559306634295872
SEN,GNB,-1.6844524262533889
KEN,SDS,2.4070827499827807
SDS,KEN,-0.7394025470105011
KEN,SOM,0.4822127250858868
SOM,KEN,-2.657708961543239
KEN,TZA,-2.047937848528747
TZA,KEN,1.096043855755731
KEN,UGA,2.929779603741984
UGA,KEN,-0.2118696562625357
LBR,SLE,2.3310729710642173
SLE,LBR,-0.8130603317408411
LBY,NER,-2.216088018222525
NER,LBY,0.8952236758491756
LBY,SDN,-0.7830644359895993
SDN,LBY,2.3951494640366784
LBY,TCD,-1.4858093977756623
TCD,LBY,1.6622140495320012
LBY,TUN,2.3457835458007734
TUN,LBY,-0.834481971665837
LSO,ZAF,2.6021714031856797
ZAF,LSO,-0.5347853042039521
MAR,SAH,-2.0613631733038273
SAH,MAR,1.064754503541392
MLI,MRT,2.8386766634658707
MRT,MLI,-0.308628989505119
MLI,NER,-0.05660901451196134
NER,MLI,3.0851607498837814
MLI,SEN,-2.8879334760856037
SEN,MLI,0.24942212712150688
MOZ,MWI,1.7583382918041774
MWI,MOZ,-1.3785581028645204
MOZ,SWZ,-1.9375318811736217
SWZ,MOZ,1.2235604963889828
MOZ,TZA,1.6142508686363288
TZA,MOZ,-1.525293082372886
MOZ,ZAF,-2.2482264047798073
ZAF,MOZ,0.930295064007662
MOZ,ZMB,2.607279293456836
ZMB,MOZ,-0.5231103415286046
MOZ,ZWE,-3.008267347919808
ZWE,MOZ,0.1338578452250316
MRT,SAH,1.887812754843461
SAH,MRT,-1.2603538566285142
MRT,SEN,-1.995799809940877
SEN,MRT,1.1315405948026223
MWI,TZA,1.5046887343480864
TZA,MWI,-1.6382886238248282
MWI,ZMB,3.1298799736565694
ZMB,MWI,-0.011708169095855396
NAM,ZAF,-0.5572850327124191
ZAF,NAM,2.5645620962942215
NAM,ZMB,0.9320773380793812
ZMB,NAM,-2.2377122694610714
NER,NGA,-1.7864130617284015
NGA,NER,1.3478344966964972
NER,TCD,-0.2538441741076646
TCD,NER,2.890362975062226
RWA,TZA,-0.8023806295790338
TZA,RWA,2.3365649907034087
RWA,UGA,0.9251577789644655
UGA,RWA,-2.216575789787356
SDN,SDS,-1.6564729855542484
SDS,SDN,1.4828627306146909
SDN,TCD,3.141592653589793
TCD,SDN,0.0
SDS,UGA,-1.0812555979416438
UGA,SDS,2.064313294714426
SOL,SOM,-1.4090213071871336
