source,target,angle_rad
CEG2000_f4_r0028_c0108,CEG2000_f4_r0028_c0109,0.03199303196215791
CEG2000_f4_r0028_c0109,CEG2000_f4_r0028_c0108,-3.109595058638608
CEG2000_f4_r0028_c0108,CEG2000_f4_r0029_c0108,1.37866310470363
CEG2000_f4_r0029_c0108,CEG2000_f4_r0028_c0108,-1.7623059240905317
CEG2000_f4_r0028_c0109,CEG2000_f4_r0028_c0110,-0.14017208473132833
CEG2000_f4_r0028_c0110,CEG2000_f4_r0028_c0109,3.0014797514856224
CEG2000_f4_r0028_c0109,CEG2000_f4_r0029_c0109,1.7111399046860432
CEG2000_f4_r0029_c0109,CEG2000_f4_r0028_c0109,-1.4308798701153422
CEG2000_f4_r0028_c0110,CEG2000_f4_r0028_c0111,-0.11190263349748397
CEG2000_f4_r0028_c0111,CEG2000_f4_r0028_c0110,3.029734254800981
CEG2000_f4_r0028_c0110,CEG2000_f4_r0029_c0110,1.5707963267948966
CEG2000_f4_r0029_c0110,CEG2000_f4_r0028_c0110,-1.5707963267948966
CEG2000_f4_r0028_c0111,CEG2000_f4_r0028_c0112,0.1278754898435659
CEG2000_f4_r0028_c0112,CEG2000_f4_r0028_c0111,-3.013666725278872
CEG2000_f4_r0028_c0111,CEG2000_f4_r0029_c0111,1.593063033176479
CEG2000_f4_r0029_c0111,CEG2000_f4_r0028_c0111,-1.548616593005863
CEG2000_f4_r0028_c0112,CEG2000_f4_r0029_c0112,1.492033483503258
CEG2000_f4_r0029_c0112,CEG2000_f4_r0028_c0112,-1.649283846900586
CEG2000_f4_r0029_c0106,CEG2000_f4_r0029_c0107,0.1176684529049037
CEG2000_f4_r0029_c0107,CEG2000_f4_r0029_c0106,-3.0238833352374384
CEG2000_f4_r0029_c0106,CEG2000_f4_r0030_c0106,1.678521602615691
CEG2000_f4_r0030_c0106,CEG2000_f4_r0029_c0106,-1.4635062643235588
CEG2000_f4_r0029_c0107,CEG2000_f4_r0029_c0108,-0.06741728595381709
CEG2000_f4_r0029_c0108,CEG2000_f4_r0029_c0107,3.0741921195366313
CEG2000_f4_r0029_c0107,CEG2000_f4_r0030_c0107,1.5434923804363816
CEG2000_f4_r0030_c0107,CEG2000_f4_r0029_c0107,-1.5979986934422654
CEG2000_f4_r0029_c0108,CEG2000_f4_r0029_c0109,-0.02963189411140126
CEG2000_f4_r0029_c0109,CEG2000_f4_r0029_c0108,3.111963756138647
CEG2000_f4_r0029_c0108,CEG2000_f4_r0030_c0108,1.5929729301711115
CEG2000_f4_r0030_c0108,CEG2000_f4_r0029_c0108,-1.5487077464268382
CEG2000_f4_r0029_c0109,CEG2000_f4_r0029_c0110,0.0
CEG2000_f4_r0029_c0110,CEG2000_f4_r0029_c0109,3.141592653589793
CEG2000_f4_r0029_c0109,CEG2000_f4_r0030_c0109,1.5707963267948966
CEG2000_f4_r0030_c0109,CEG2000_f4_r0029_c0109,-1.5707963267948966
CEG2000_f4_r0029_c0110,CEG2000_f4_r0029_c0111,0.0
CEG2000_f4_r0029_c0111,CEG2000_f4_r0029_c0110,3.141592653589793
CEG2000_f4_r0029_c0110,CEG2000_f4_r0030_c0110,1.5707963267948966
CEG2000_f4_r0030_c0110,CEG2000_f4_r0029_c0110,-1.5707963267948966
