source,target,angle_rad
CEG2000_f4_r0005_c0091,CEG2000_f4_r0006_c0091,1.650884615621127
CEG2000_f4_r0006_c0091,CEG2000_f4_r0005_c0091,-1.490892147139712
CEG2000_f4_r0006_c0090,CEG2000_f4_r0006_c0091,-0.08705600237560997
CEG2000_f4_r0006_c0091,CEG2000_f4_r0006_c0090,3.0545490275853417
CEG2000_f4_r0006_c0090,CEG2000_f4_r0007_c0090,1.4654502269363952
CEG2000_f4_r0007_c0090,CEG2000_f4_r0006_c0090,-1.6758760069364296
CEG2000_f4_r0006_c0091,CEG2000_f4_r0007_c0091,1.500845308465391
CEG2000_f4_r0007_c0091,CEG2000_f4_r0006_c0091,-1.6405597699789327
CEG2000_f4_r0007_c0090,CEG2000_f4_r0007_c0091,0.0
CEG2000_f4_r0007_c0091,CEG2000_f4_r0007_c0090,3.141592653589793
CEG2000_f4_r0007_c0090,CEG2000_f4_r0008_c0090,1.6832454455543202
CEG2000_f4_r0008_c0090,CEG2000_f4_r0007_c0090,-1.4585994522520118
CEG2000_f4_r0007_c0091,CEG2000_f4_r0007_c0092,0.3290921982914469
CEG2000_f4_r0007_c0092,CEG2000_f4_r0007_c0091,-2.812256844466524
CEG2000_f4_r0007_c0091,CEG2000_f4_r0008_c0091,1.5707963267948966
CEG2000_f4_r0008_c0091,CEG2000_f4_r0007_c0091,-1.5707963267948966
CEG2000_f4_r0007_c0092,CEG2000_f4_r0008_c0092,1.4617092640358624
CEG2000_f4_r0008_c0092,CEG2000_f4_r0007_c0092,-1.6796721491149864
CEG2000_f4_r0008_c0090,CEG2000_f4_r0008_c0091,0.2540552328528377
CEG2000_f4_r0008_c0091,CEG2000_f4_r0008_c0090,-2.8874193346546915
CEG2000_f4_r0008_c0091,CEG2000_f4_r0008_c0092,0.0
CEG2000_f4_r0008_c0092,CEG2000_f4_r0008_c0091,3.141592653589793
CEG2000_f4_r0008_c0092,CEG2000_f4_r0008_c0093,0.0
CEG2000_f4_r0008_c0093,CEG2000_f4_r0008_c0092,3.141592653589793
CEG2000_f4_r0008_c0092,CEG2000_f4_r0009_c0092,1.4889961598283175
CEG2000_f4_r0009_c0092,CEG2000_f4_r0008_c0092,-1.6524027496523663
CEG2000_f4_r0008_c0093,CEG2000_f4_r0008_c0094,0.0
CEG2000_f4_r0008_c0094,CEG2000_f4_r0008_c0093,3.141592653589793
CEG2000_f4_r0008_c0093,CEG2000_f4_r0009_c0093,1.5707963267948966
CEG2000_f4_r0009_c0093,CEG2000_f4_r0008_c0093,-1.5707963267948966
CEG2000_f4_r0008_c0094,CEG2000_f4_r0008_c0095,0.21202149387351132
CEG2000_f4_r0008_c0095,CEG2000_f4_r0008_c0094,-2.929479135614662
CEG2000_f4_r0008_c0094,CEG2000_f4_r0009_c0094,1.5707963267948966
CEG2000_f4_r0009_c0094,CEG2000_f4_r0008_c0094,-1.5707963267948966
CEG2000_f4_r0008_c0095,CEG2000_f4_r0009_c0095,1.3567616476626967
CEG2000_f4_r0009_c0095,CEG2000_f4_r0008_c0095,-1.7843418492189997
CEG2000_f4_r0009_c0092,CEG2000_f4_r0009_c0093,0.173193607486859
CEG2000_f4_r0009_c0093,CEG2000_f4_r0009_c0092,-2.9683269581381544
CEG2000_f4_r0009_c0093,CEG2000_f4_r0009_c0094,0.0
CEG2000_f4_r0009_c0094,CEG2000_f4_r0009_c0093,3.141592653589793
CEG2000_f4_r0009_c0093,CEG2000_f4_r0010_c0093,1.5358482662237984
CEG2000_f4_r0010_c0093,CEG2000_f4_r0009_c0093,-1.6056499378064135
CEG2000_f4_r0009_c0094,CEG2000_f4_r0009_c0095,0.0
CEG2000_f4_r0009_c0095,CEG2000_f4_r0009_c0094,3.141592653589793
CEG2000_f4_r0009_c0094,CEG2000_f4_r0010_c0094,1.5707963267948966
CEG2000_f4_r0010_c0094,CEG2000_f4_r0009_c0094,-1.5707963267948966
CEG2000_f4_r0009_c0095,CEG2000_f4_r0009_c0096,0.0
CEG2000_f4_r0009_c0096,CEG2000_f4_r0009_c0095,3.141592653589793
CEG2000_f4_r0009_c0095,CEG2000_f4_r0010_c0095,1.5707963267948966
CEG2000_f4_r0010_c0095,CEG2000_f4_r0009_c0095,-1.5707963267948966
CEG2000_f4_r0009_c0096,CEG2000_f4_r0009_c0097,0.05988946431345428
CEG2000_f4_r0009_c0097,CEG2000_f4_r0009_c0096,-3.081694110324661
CEG2000_f4_r0009_c0096,CEG2000_f4_r0010_c0096,1.5707963267948966
