source,target,angle_rad
CEG2000_f4_r0008_c0085,CEG2000_f4_r0008_c0086,-0.10095007308206927
CEG2000_f4_r0008_c0086,CEG2000_f4_r0008_c0085,3.040669493523925
CEG2000_f4_r0008_c0085,CEG2000_f4_r0009_c0085,1.5434870924252109
CEG2000_f4_r0009_c0085,CEG2000_f4_r0008_c0085,-1.5980404263153443
CEG2000_f4_r0008_c0086,CEG2000_f4_r0009_c0086,1.5707963267949314
CEG2000_f4_r0009_c0086,CEG2000_f4_r0008_c0086,-1.570796326794862
CEG2000_f4_r0008_c0088,CEG2000_f4_r0008_c0089,-0.09563510800361598
CEG2000_f4_r0008_c0089,CEG2000_f4_r0008_c0088,3.0459804157745403
CEG2000_f4_r0008_c0088,CEG2000_f4_r0009_c0088,1.6001210070998668
CEG2000_f4_r0009_c0088,CEG2000_f4_r0008_c0088,-1.541546749917108
CEG2000_f4_r0008_c0089,CEG2000_f4_r0008_c0090,0.09753324431996316
CEG2000_f4_r0008_c0090,CEG2000_f4_r0008_c0089,-3.044037971855231
CEG2000_f4_r0008_c0089,CEG2000_f4_r0009_c0089,1.5707963267948966
CEG2000_f4_r0009_c0089,CEG2000_f4_r0008_c0089,-1.5707963267948966
CEG2000_f4_r0008_c0090,CEG2000_f4_r0009_c0090,1.4453058920234942
CEG2000_f4_r0009_c0090,CEG2000_f4_r0008_c0090,-1.6959661266000217
CEG2000_f4_r0009_c0083,CEG2000_f4_r0009_c0084,-0.09590352890666924
CEG2000_f4_r0009_c0084,CEG2000_f4_r0009_c0083,3.04571252527099
CEG2000_f4_r0009_c0083,CEG2000_f4_r0010_c0083,1.6000396036953077
CEG2000_f4_r0010_c0083,CEG2000_f4_r0009_c0083,-1.5416294572913227
CEG2000_f4_r0009_c0084,CEG2000_f4_r0009_c0085,0.0
CEG2000_f4_r0009_c0085,CEG2000_f4_r0009_c0084,3.141592653589793
CEG2000_f4_r0009_c0084,CEG2000_f4_r0010_c0084,1.5707963267948966
CEG2000_f4_r0010_c0084,CEG2000_f4_r0009_c0084,-1.5707963267948966
CEG2000_f4_r0009_c0085,CEG2000_f4_r0009_c0086,0.0
CEG2000_f4_r0009_c0086,CEG2000_f4_r0009_c0085,3.141592653589793
CEG2000_f4_r0009_c0085,CEG2000_f4_r0010_c0085,1.5707963267948966
CEG2000_f4_r0010_c0085,CEG2000_f4_r0009_c0085,-1.5707963267948966
CEG2000_f4_r0009_c0086,CEG2000_f4_r0009_c0087,0.0
CEG2000_f4_r0009_c0087,CEG2000_f4_r0009_c0086,3.141592653589793
CEG2000_f4_r0009_c0086,CEG2000_f4_r0010_c0086,1.5707963267948966
CEG2000_f4_r0010_c0086,CEG2000_f4_r0009_c0086,-1.5707963267948966
CEG2000_f4_r0009_c0087,CEG2000_f4_r0009_c0088,0.0
CEG2000_f4_r0009_c0088,CEG2000_f4_r0009_c0087,3.141592653589793
CEG2000_f4_r0009_c0087,CEG2000_f4_r0010_c0087,1.5707963267948966
CEG2000_f4_r0010_c0087,CEG2000_f4_r0009_c0087,-1.5707963267948966
CEG2000_f4_r0009_c0088,CEG2000_f4_r0009_c0089,0.0
CEG2000_f4_r0009_c0089,CEG2000_f4_r0009_c0088,3.141592653589793
CEG2000_f4_r0009_c0088,CEG2000_f4_r0010_c0088,1.5707963267948966
CEG2000_f4_r0010_c0088,CEG2000_f4_r0009_c0088,-1.5707963267948966
CEG2000_f4_r0009_c0089,CEG2000_f4_r0009_c0090,0.0
CEG2000_f4_r0009_c0090,CEG2000_f4_r0009_c0089,3.141592653589793
CEG2000_f4_r0009_c0089,CEG2000_f4_r0010_c0089,1.5707963267948966
CEG2000_f4_r0010_c0089,CEG2000_f4_r0009_c0089,-1.5707963267948966
CEG2000_f4_r0009_c0090,CEG2000_f4_r0009_c0091,0.040705800768476796
