source,target,angle_rad
CEG2000_f4_r0015_c0102,CEG2000_f4_r0016_c0102,1.4102396895683702
CEG2000_f4_r0016_c0102,CEG2000_f4_r0015_c0102,-1.7310375756991265
CEG2000_f4_r0016_c0102,CEG2000_f4_r0016_c0103,0.06116174122813658
CEG2000_f4_r0016_c0103,CEG2000_f4_r0016_c0102,-3.080420325134823
CEG2000_f4_r0016_c0102,CEG2000_f4_r0017_c0102,1.506694250498586
CEG2000_f4_r0017_c0102,CEG2000_f4_r0016_c0102,-1.6346347585655978
CEG2000_f4_r0016_c0103,CEG2000_f4_r0016_c0104,0.05899283353087729
CEG2000_f4_r0016_c0104,CEG2000_f4_r0016_c0103,-3.0825895964900383
CEG2000_f4_r0016_c0103,CEG2000_f4_r0017_c0103,1.5707963267948966
CEG2000_f4_r0017_c0103,CEG2000_f4_r0016_c0103,-1.5707963267948966
CEG2000_f4_r0016_c0104,CEG2000_f4_r0016_c0105,-0.004773479519013207
CEG2000_f4_r0016_c0105,CEG2000_f4_r0016_c0104,3.136819229368467
CEG2000_f4_r0016_c0104,CEG2000_f4_r0017_c0104,1.5707958134635893
CEG2000_f4_r0017_c0104,CEG2000_f4_r0016_c0104,-1.5707968385390714
CEG2000_f4_r0016_c0105,CEG2000_f4_r0017_c0105,1.4595358719878306
CEG2000_f4_r0017_c0105,CEG2000_f4_r0016_c0105,-1.6817013586297047
CEG2000_f4_r0017_c0101,CEG2000_f4_r0017_c0102,-0.040976642330297144
CEG2000_f4_r0017_c0102,CEG2000_f4_r0017_c0101,3.100621662154993
CEG2000_f4_r0017_c0101,CEG2000_f4_r0018_c0101,1.5707963267948966
CEG2000_f4_r0018_c0101,CEG2000_f4_r0017_c0101,-1.5707963267948966
CEG2000_f4_r0017_c0102,CEG2000_f4_r0017_c0103,-0.25767713372668904
CEG2000_f4_r0017_c0103,CEG2000_f4_r0017_c0102,2.8840852052638013
CEG2000_f4_r0017_c0102,CEG2000_f4_r0018_c0102,1.7124932512187068
CEG2000_f4_r0018_c0102,CEG2000_f4_r0017_c0102,-1.4294681852623303
CEG2000_f4_r0017_c0103,CEG2000_f4_r0017_c0104,0.0
CEG2000_f4_r0017_c0104,CEG2000_f4_r0017_c0103,3.141592653589793
CEG2000_f4_r0017_c0103,CEG2000_f4_r0018_c0103,1.5707963267948966
CEG2000_f4_r0018_c0103,CEG2000_f4_r0017_c0103,-1.5707963267948966
CEG2000_f4_r0017_c0104,CEG2000_f4_r0017_c0105,0.04171512750314619
CEG2000_f4_r0017_c0105,CEG2000_f4_r0017_c0104,-3.0998726134341807
CEG2000_f4_r0017_c0104,CEG2000_f4_r0018_c0104,1.5707963267948966
CEG2000_f4_r0018_c0104,CEG2000_f4_r0017_c0104,-1.5707963267948966
CEG2000_f4_r0017_c0105,CEG2000_f4_r0018_c0105,1.5206176067291417
CEG2000_f4_r0018_c0105,CEG2000_f4_r0017_c0105,-1.6208143981863696
CEG2000_f4_r0018_c0101,CEG2000_f4_r0018_c0102,0.0
CEG2000_f4_r0018_c0102,CEG2000_f4_r0018_c0101,3.141592653589793
CEG2000_f4_r0018_c0101,CEG2000_f4_r0019_c0101,1.5380406088984337
CEG2000_f4_r0019_c0101,CEG2000_f4_r0018_c0101,-1.603443263037609
CEG2000_f4_r0018_c0102,CEG2000_f4_r0018_c0103,0.0
CEG2000_f4_r0018_c0103,CEG2000_f4_r0018_c0102,3.141592653589793
CEG2000_f4_r0018_c0102,CEG2000_f4_r0019_c0102,1.5707963267948966
CEG2000_f4_r0019_c0102,CEG2000_f4_r0018_c0102,-1.5707963267948966
CEG2000_f4_r0018_c0103,CEG2000_f4_r0018_c0104,0.0
CEG2000_f4_r0018_c0104,CEG2000_f4_r0018_c0103,3.141592653589793
CEG2000_f4_r0018_c0103,CEG2000_f4_r0019_c0103,1.5707963267948966
CEG2000_f4_r0019_c0103,CEG2000_f4_r0018_c0103,-1.5707963267948966
CEG2000_f4_r0018_c0104,CEG2000_f4_r0018_c0105,0.0
CEG2000_f4_r0018_c0105,CEG2000_f4_r0018_c0104,3.141592653589793
CEG2000_f4_r0018_c0104,CEG2000_f4_r0019_c0104,1.5707963267948966
CEG2000_f4_r0019_c0104,CEG2000_f4_r0018_c0104,-1.5707963267948966
CEG2000_f4_r0018_c0105,CEG2000_f4_r0018_c0106,0.12982858836692024
CEG2000_f4_r0018_c0106,CEG2000_f4_r0018_c0105,-3.011728090149474
CEG2000_f4_r0018_c0105,CEG2000_f4_r0019_c0105,1.5707963267948966
CEG2000_f4_r0019_c0105,CEG2000_f4_r0018_c0105,-1.5707963267948966
CEG2000_f4_r0018_c0106,CEG2000_f4_r0019_c0106,1.3210192704286543
CEG2000_f4_r0019_c0106,CEG2000_f4_r0018_c0106,-1.8198091298229166
CEG2000_f4_r0019_c0101,CEG2000_f4_r0019_c0102,0.020617865576934354
CEG2000_f4_r0019_c0102,CEG2000_f4_r0019_c0101,-3.120973529288401
CEG2000_f4_r0019_c0101,CEG2000_f4_r0020_c0101,1.5550427547514636
CEG2000_f4_r0020_c0101,CEG2000_f4_r0019_c0101,-1.5864946868112457
CEG2000_f4_r0019_c0102,CEG2000_f4_r0019_c0103,0.0
CEG2000_f4_r0019_c0103,CEG2000_f4_r0019_c0102,3.141592653589793
CEG2000_f4_r0019_c0102,CEG2000_f4_r0020_c0102,1.5707963267948966
