source,target,angle_rad
CEG2000_f4_r0022_c0115,CEG2000_f4_r0022_c0116,-0.029635095311575942
CEG2000_f4_r0022_c0116,CEG2000_f4_r0022_c0115,3.111960238225653
CEG2000_f4_r0022_c0115,CEG2000_f4_r0023_c0115,1.7465176772095
CEG2000_f4_r0023_c0115,CEG2000_f4_r0022_c0115,-1.3955447376364138
CEG2000_f4_r0022_c0116,CEG2000_f4_r0023_c0116,1.717705153480702
CEG2000_f4_r0023_c0116,CEG2000_f4_r0022_c0116,-1.4242825168809963
CEG2000_f4_r0023_c0113,CEG2000_f4_r0023_c0114,0.022145470839001473
CEG2000_f4_r0023_c0114,CEG2000_f4_r0023_c0113,-3.119445732600639
CEG2000_f4_r0023_c0113,CEG2000_f4_r0024_c0113,1.6199368515918238
CEG2000_f4_r0024_c0113,CEG2000_f4_r0023_c0113,-1.5218304203686233
CEG2000_f4_r0023_c0114,CEG2000_f4_r0023_c0115,-0.03041944387450862
CEG2000_f4_r0023_c0115,CEG2000_f4_r0023_c0114,3.111176395304356
CEG2000_f4_r0023_c0114,CEG2000_f4_r0024_c0114,1.5374047203291572
CEG2000_f4_r0024_c0114,CEG2000_f4_r0023_c0114,-1.6040713534195508
CEG2000_f4_r0023_c0115,CEG2000_f4_r0023_c0116,-0.028954716013194503
CEG2000_f4_r0023_c0116,CEG2000_f4_r0023_c0115,3.11264058971753
CEG2000_f4_r0023_c0115,CEG2000_f4_r0024_c0115,1.593493658232904
CEG2000_f4_r0024_c0115,CEG2000_f4_r0023_c0115,-1.5481806391637896
CEG2000_f4_r0023_c0116,CEG2000_f4_r0023_c0117,0.0
CEG2000_f4_r0023_c0117,CEG2000_f4_r0023_c0116,3.141592653589793
CEG2000_f4_r0023_c0116,CEG2000_f4_r0024_c0116,1.5707963267948966
CEG2000_f4_r0024_c0116,CEG2000_f4_r0023_c0116,-1.5707963267948966
CEG2000_f4_r0023_c0117,CEG2000_f4_r0024_c0117,1.3529633960006486
CEG2000_f4_r0024_c0117,CEG2000_f4_r0023_c0117,-1.7878505891073986
CEG2000_f4_r0024_c0113,CEG2000_f4_r0024_c0114,0.0
CEG2000_f4_r0024_c0114,CEG2000_f4_r0024_c0113,3.141592653589793
CEG2000_f4_r0024_c0113,CEG2000_f4_r0025_c0113,1.5707963267948966
CEG2000_f4_r0025_c0113,CEG2000_f4_r0024_c0113,-1.5707963267948966
CEG2000_f4_r0024_c0114,CEG2000_f4_r0024_c0115,0.0
CEG2000_f4_r0024_c0115,CEG2000_f4_r0024_c0114,3.141592653589793
CEG2000_f4_r0024_c0114,CEG2000_f4_r0025_c0114,1.5707963267948966
CEG2000_f4_r0025_c0114,CEG2000_f4_r0024_c0114,-1.5707963267948966
CEG2000_f4_r0024_c0115,CEG2000_f4_r0024_c0116,0.0
CEG2000_f4_r0024_c0116,CEG2000_f4_r0024_c0115,3.141592653589793
CEG2000_f4_r0024_c0115,CEG2000_f4_r0025_c0115,1.5707963267948966
CEG2000_f4_r0025_c0115,CEG2000_f4_r0024_c0115,-1.5707963267948966
CEG2000_f4_r0024_c0116,CEG2000_f4_r0024_c0117,0.0
CEG2000_f4_r0024_c0117,CEG2000_f4_r0024_c0116,3.141592653589793
CEG2000_f4_r0024_c0116,CEG2000_f4_r0025_c0116,1.5707963267948966
CEG2000_f4_r0025_c0116,CEG2000_f4_r0024_c0116,-1.5707963267948966
CEG2000_f4_r0024_c0117,CEG2000_f4_r0024_c0118,0.24162500732157363
CEG2000_f4_r0024_c0118,CEG2000_f4_r0024_c0117,-2.899786840107611
CEG2000_f4_r0024_c0117,CEG2000_f4_r0025_c0117,1.5707963267948966
CEG2000_f4_r0025_c0117,CEG2000_f4_r0024_c0117,-1.5707963267948966
CEG2000_f4_r0024_c0118,CEG2000_f4_r0025_c0118,1.5244397352295962
CEG2000_f4_r0025_c0118,CEG2000_f4_r0024_c0118,-1.6170151268149018
CEG2000_f4_r0025_c0112,CEG2000_f4_r0025_c0113,-0.04291882896361705
CEG2000_f4_r0025_c0113,CEG2000_f4_r0025_c0112,3.098679629063499
CEG2000_f4_r0025_c0112,CEG2000_f4_r0026_c0112,1.61957375137145
CEG2000_f4_r0026_c0112,CEG2000_f4_r0025_c0112,-1.5221981186420974
CEG2000_f4_r0025_c0113,CEG2000_f4_r0025_c0114,0.0
CEG2000_f4_r0025_c0114,CEG2000_f4_r0025_c0113,3.141592653589793
CEG2000_f4_r0025_c0113,CEG2000_f4_r0026_c0113,1.5707963267948966
CEG2000_f4_r0026_c0113,CEG2000_f4_r0025_c0113,-1.5707963267948966
CEG2000_f4_r0025_c0114,CEG2000_f4_r0025_c0115,0.0
CEG2000_f4_r0025_c0115,CEG2000_f4_r0025_c0114,3.141592653589793
CEG2000_f4_r0025_c0114,CEG2000_f4_r0026_c0114,1.5707963267948966
CEG2000_f4_r0026_c0114,CEG2000_f4_r0025_c0114,-1.5707963267948966
CEG2000_f4_r0025_c0115,CEG2000_f4_r0025_c0116,0.0
CEG2000_f4_r0025_c0116,CEG2000_f4_r0025_c0115,3.141592653589793
CEG2000_f4_r0025_c0115,CEG2000_f4_r0026_c0115,1.5707963267948966
CEG2000_f4_r0026_c0115,CEG2000_f4_r0025_c0115,-1.5707963267948966
CEG2000_f4_r0025_c0116,CEG2000_f4_r0025_c0117,0.0
CEG2000_f4_r0025_c0117,CEG2000_f4_r0025_c0116,3.141592653589793
CEG2000_f4_r0025_c0116,CEG2000_f4_r0026_c0116,1.5707963267948966
CEG2000_f4_r0026_c0116,CEG2000_f4_r0025_c0116,-1.5707963267948966
