source,target,angle_rad
CEG2000_f4_r0027_c0088,CEG2000_f4_r0027_c0089,-0.39126076780324986
CEG2000_f4_r0027_c0089,CEG2000_f4_r0027_c0088,2.750597308181537
CEG2000_f4_r0027_c0088,CEG2000_f4_r0028_c0088,1.7780463736753325
CEG2000_f4_r0028_c0088,CEG2000_f4_r0027_c0088,-1.3641234551844372
CEG2000_f4_r0027_c0089,CEG2000_f4_r0028_c0089,1.3287601056856835
CEG2000_f4_r0028_c0089,CEG2000_f4_r0027_c0089,-1.8119677168495285
CEG2000_f4_r0027_c0100,CEG2000_f4_r0027_c0101,0.31067905728623024
CEG2000_f4_r0027_c0101,CEG2000_f4_r0027_c0100,-2.8306636158059453
CEG2000_f4_r0027_c0100,CEG2000_f4_r0028_c0100,1.655675227913248
CEG2000_f4_r0028_c0100,CEG2000_f4_r0027_c0100,-1.4862588068794413
CEG2000_f4_r0027_c0101,CEG2000_f4_r0027_c0102,0.1625091125227296
CEG2000_f4_r0027_c0102,CEG2000_f4_r0027_c0101,-2.9789853001900877
CEG2000_f4_r0027_c0101,CEG2000_f4_r0028_c0101,1.466614465028171
CEG2000_f4_r0028_c0101,CEG2000_f4_r0027_c0101,-1.6746589367415208
CEG2000_f4_r0027_c0102,CEG2000_f4_r0028_c0102,1.5707963267948966
CEG2000_f4_r0028_c0102,CEG2000_f4_r0027_c0102,-1.5707963267948966
CEG2000_f4_r0028_c0087,CEG2000_f4_r0028_c0088,-0.41729846438794066
CEG2000_f4_r0028_c0088,CEG2000_f4_r0028_c0087,2.72475622884749
CEG2000_f4_r0028_c0087,CEG2000_f4_r0029_c0087,1.6495013154064095
CEG2000_f4_r0029_c0087,CEG2000_f4_r0028_c0087,-1.4923079133566801
CEG2000_f4_r0028_c0088,CEG2000_f4_r0028_c0089,0.029510170237715874
CEG2000_f4_r0028_c0089,CEG2000_f4_r0028_c0088,-3.1120795465149245
CEG2000_f4_r0028_c0088,CEG2000_f4_r0029_c0088,1.5707963267948966
CEG2000_f4_r0029_c0088,CEG2000_f4_r0028_c0088,-1.5707963267948966
CEG2000_f4_r0028_c0089,CEG2000_f4_r0028_c0090,0.21145015435871645
CEG2000_f4_r0028_c0090,CEG2000_f4_r0028_c0089,-2.9299923579988585
CEG2000_f4_r0028_c0089,CEG2000_f4_r0029_c0089,1.5485298430067418
CEG2000_f4_r0029_c0089,CEG2000_f4_r0028_c0089,-1.5929758388593693
CEG2000_f4_r0028_c0090,CEG2000_f4_r0028_c0091,0.046054452544943766
CEG2000_f4_r0028_c0091,CEG2000_f4_r0028_c0090,-3.0955305415788326
CEG2000_f4_r0028_c0090,CEG2000_f4_r0029_c0090,1.525146802945329
CEG2000_f4_r0029_c0090,CEG2000_f4_r0028_c0090,-1.616300958866547
CEG2000_f4_r0028_c0091,CEG2000_f4_r0028_c0092,-0.03490670373632581
CEG2000_f4_r0028_c0092,CEG2000_f4_r0028_c0091,3.106689435273403
CEG2000_f4_r0028_c0091,CEG2000_f4_r0029_c0091,1.5707963267948966
CEG2000_f4_r0029_c0091,CEG2000_f4_r0028_c0091,-1.5707963267948966
CEG2000_f4_r0028_c0092,CEG2000_f4_r0029_c0092,1.479009952068983
CEG2000_f4_r0029_c0092,CEG2000_f4_r0028_c0092,-1.6622525908050827
CEG2000_f4_r0028_c0096,CEG2000_f4_r0028_c0097,0.025032633650823567
CEG2000_f4_r0028_c0097,CEG2000_f4_r0028_c0096,-3.1165579401146726
CEG2000_f4_r0028_c0096,CEG2000_f4_r0029_c0096,1.6111590898741892
CEG2000_f4_r0029_c0096,CEG2000_f4_r0028_c0096,-1.5305784239608287
CEG2000_f4_r0028_c0097,CEG2000_f4_r0028_c0098,-0.04746239250440201
CEG2000_f4_r0028_c0098,CEG2000_f4_r0028_c0097,3.0941388526449285
CEG2000_f4_r0028_c0097,CEG2000_f4_r0029_c0097,1.5707963267949319
CEG2000_f4_r0029_c0097,CEG2000_f4_r0028_c0097,-1.5707963267948615
CEG2000_f4_r0028_c0098,CEG2000_f4_r0028_c0099,0.22361156920914077
CEG2000_f4_r0028_c0099,CEG2000_f4_r0028_c0098,-2.9178493219045736
CEG2000_f4_r0028_c0098,CEG2000_f4_r0029_c0098,1.6669800340561287
CEG2000_f4_r0029_c0098,CEG2000_f4_r0028_c0098,-1.4749654286198755
CEG2000_f4_r0028_c0099,CEG2000_f4_r0028_c0100,-0.2046518397130316
CEG2000_f4_r0028_c0100,CEG2000_f4_r0028_c0099,2.9371052281958803
CEG2000_f4_r0028_c0099,CEG2000_f4_r0029_c0099,1.4304515616773195
CEG2000_f4_r0029_c0099,CEG2000_f4_r0028_c0099,-1.7107139671826401
CEG2000_f4_r0028_c0100,CEG2000_f4_r0028_c0101,-0.02951337178258165
CEG2000_f4_r0028_c0101,CEG2000_f4_r0028_c0100,3.112082218670675
CEG2000_f4_r0028_c0100,CEG2000_f4_r0029_c0100,1.5930639235503887
CEG2000_f4_r0029_c0100,CEG2000_f4_r0028_c0100,-1.5486157061074215
CEG2000_f4_r0028_c0101,CEG2000_f4_r0028_c0102,0.0
CEG2000_f4_r0028_c0102,CEG2000_f4_r0028_c0101,3.141592653589793
CEG2000_f4_r0028_c0101,CEG2000_f4_r0029_c0101,1.5707963267948966
CEG2000_f4_r0029_c0101,CEG2000_f4_r0028_c0101,-1.5707963267948966
CEG2000_f4_r0028_c0102,CEG2000_f4_r0028_c0103,0.029510260985088587
CEG2000_f4_r0028_c0103,CEG2000_f4_r0028_c0102,-3.112079455758531
CEG2000_f4_r0028_c0102,CEG2000_f4_r0029_c0102,1.5707963267948966
CEG2000_f4_r0029_c0102,CEG2000_f4_r0028_c0102,-1.5707963267948966
CEG2000_f4_r0028_c0103,CEG2000_f4_r0028_c0104,0.2590379535440551
CEG2000_f4_r0028_c0104,CEG2000_f4_r0028_c0103,-2.882349962192445
CEG2000_f4_r0028_c0103,CEG2000_f4_r0029_c0103,1.5485305107872274
CEG2000_f4_r0029_c0103,CEG2000_f4_r0028_c0103,-1.5929751736854851
CEG2000_f4_r0028_c0104,CEG2000_f4_r0028_c0105,0.03490345314383927
CEG2000_f4_r0028_c0105,CEG2000_f4_r0028_c0104,-3.106684220226559
CEG2000_f4_r0028_c0104,CEG2000_f4_r0029_c0104,1.4304515616773195
CEG2000_f4_r0029_c0104,CEG2000_f4_r0028_c0104,-1.7107139671826401
CEG2000_f4_r0028_c0105,CEG2000_f4_r0029_c0105,1.6342041423241724
CEG2000_f4_r0029_c0105,CEG2000_f4_r0028_c0105,-1.5075745079591203
CEG2000_f4_r0029_c0087,CEG2000_f4_r0029_c0088,-1.1732806331551108e-14
CEG2000_f4_r0029_c0088,CEG2000_f4_r0029_c0087,3.1415926535897816
CEG2000_f4_r0029_c0087,CEG2000_f4_r0030_c0087,1.5707963267949732
