source,target,angle_rad
CEG2000_f4_r0016_c0094,CEG2000_f4_r0016_c0095,0.0052017559070138995
CEG2000_f4_r0016_c0095,CEG2000_f4_r0016_c0094,-3.1363908435709997
CEG2000_f4_r0016_c0094,CEG2000_f4_r0017_c0094,1.851690627739427
CEG2000_f4_r0017_c0094,CEG2000_f4_r0016_c0094,-1.2907000766358327
CEG2000_f4_r0016_c0095,CEG2000_f4_r0016_c0096,-0.0047947352212993405
CEG2000_f4_r0016_c0096,CEG2000_f4_r0016_c0095,3.136797968245817
CEG2000_f4_r0016_c0095,CEG2000_f4_r0017_c0095,1.542167587314937
CEG2000_f4_r0017_c0095,CEG2000_f4_r0016_c0095,-1.5993396507132844
CEG2000_f4_r0016_c0096,CEG2000_f4_r0017_c0096,1.3359886298301498
CEG2000_f4_r0017_c0096,CEG2000_f4_r0016_c0096,-1.8048861935577825
CEG2000_f4_r0016_c0098,CEG2000_f4_r0017_c0098,1.592896426632612
CEG2000_f4_r0017_c0098,CEG2000_f4_r0016_c0098,-1.5487491727841436
CEG2000_f4_r0017_c0094,CEG2000_f4_r0017_c0095,0.0
CEG2000_f4_r0017_c0095,CEG2000_f4_r0017_c0094,3.141592653589793
CEG2000_f4_r0017_c0094,CEG2000_f4_r0018_c0094,1.4057701517307621
CEG2000_f4_r0018_c0094,CEG2000_f4_r0017_c0094,-1.7353108746558432
CEG2000_f4_r0017_c0095,CEG2000_f4_r0017_c0096,0.06137193424646994
CEG2000_f4_r0017_c0096,CEG2000_f4_r0017_c0095,-3.0802098906289515
CEG2000_f4_r0017_c0095,CEG2000_f4_r0018_c0095,1.5707963267948966
CEG2000_f4_r0018_c0095,CEG2000_f4_r0017_c0095,-1.5707963267948966
CEG2000_f4_r0017_c0096,CEG2000_f4_r0017_c0097,-0.029790008435538615
CEG2000_f4_r0017_c0097,CEG2000_f4_r0017_c0096,3.111805454143093
CEG2000_f4_r0017_c0096,CEG2000_f4_r0018_c0096,1.5366982551885402
CEG2000_f4_r0018_c0096,CEG2000_f4_r0017_c0096,-1.6047871371910467
CEG2000_f4_r0017_c0097,CEG2000_f4_r0017_c0098,-0.06693948853510479
CEG2000_f4_r0017_c0098,CEG2000_f4_r0017_c0097,3.074662603961672
CEG2000_f4_r0017_c0097,CEG2000_f4_r0018_c0097,1.5939716299469149
CEG2000_f4_r0018_c0097,CEG2000_f4_r0017_c0097,-1.5476961346299833
CEG2000_f4_r0017_c0098,CEG2000_f4_r0018_c0098,1.3372162393179894
CEG2000_f4_r0018_c0098,CEG2000_f4_r0017_c0098,-1.8036144784248829
CEG2000_f4_r0017_c0100,CEG2000_f4_r0018_c0100,1.444183418323781
CEG2000_f4_r0018_c0100,CEG2000_f4_r0017_c0100,-1.6971098624603327
CEG2000_f4_r0018_c0094,CEG2000_f4_r0018_c0095,0.06714709544291202
CEG2000_f4_r0018_c0095,CEG2000_f4_r0018_c0094,-3.0744343158537117
CEG2000_f4_r0018_c0094,CEG2000_f4_r0019_c0094,1.6136839410688453
CEG2000_f4_r0019_c0094,CEG2000_f4_r0018_c0094,-1.5280608446936508
CEG2000_f4_r0018_c0095,CEG2000_f4_r0018_c0096,0.0
CEG2000_f4_r0018_c0096,CEG2000_f4_r0018_c0095,3.141592653589793
CEG2000_f4_r0018_c0095,CEG2000_f4_r0019_c0095,1.5707963267948966
CEG2000_f4_r0019_c0095,CEG2000_f4_r0018_c0095,-1.5707963267948966
CEG2000_f4_r0018_c0096,CEG2000_f4_r0018_c0097,0.0
CEG2000_f4_r0018_c0097,CEG2000_f4_r0018_c0096,3.141592653589793
CEG2000_f4_r0018_c0096,CEG2000_f4_r0019_c0096,1.5707963267948966
CEG2000_f4_r0019_c0096,CEG2000_f4_r0018_c0096,-1.5707963267948966
CEG2000_f4_r0018_c0097,CEG2000_f4_r0018_c0098,0.0
CEG2000_f4_r0018_c0098,CEG2000_f4_r0018_c0097,3.141592653589793
CEG2000_f4_r0018_c0097,CEG2000_f4_r0019_c0097,1.5707963267948966
CEG2000_f4_r0019_c0097,CEG2000_f4_r0018_c0097,-1.5707963267948966
CEG2000_f4_r0018_c0098,CEG2000_f4_r0018_c0099,0.0
CEG2000_f4_r0018_c0099,CEG2000_f4_r0018_c0098,3.141592653589793
CEG2000_f4_r0018_c0098,CEG2000_f4_r0019_c0098,1.5707963267948966
CEG2000_f4_r0019_c0098,CEG2000_f4_r0018_c0098,-1.5707963267948966
CEG2000_f4_r0018_c0099,CEG2000_f4_r0018_c0100,0.035031470260649296
CEG2000_f4_r0018_c0100,CEG2000_f4_r0018_c0099,-3.1065577898415375
CEG2000_f4_r0018_c0099,CEG2000_f4_r0019_c0099,1.5707963267948966
CEG2000_f4_r0019_c0099,CEG2000_f4_r0018_c0099,-1.5707963267948966
CEG2000_f4_r0018_c0100,CEG2000_f4_r0019_c0100,1.4906819675467953
CEG2000_f4_r0019_c0100,CEG2000_f4_r0018_c0100,-1.6506484219285553
CEG2000_f4_r0019_c0089,CEG2000_f4_r0019_c0090,-0.23438356075758773
CEG2000_f4_r0019_c0090,CEG2000_f4_r0019_c0089,2.9073058603280706
CEG2000_f4_r0019_c0089,CEG2000_f4_r0020_c0089,1.7312372843984922
CEG2000_f4_r0020_c0089,CEG2000_f4_r0019_c0089,-1.4107702531348376
CEG2000_f4_r0019_c0090,CEG2000_f4_r0019_c0091,0.11299783935802828
CEG2000_f4_r0019_c0091,CEG2000_f4_r0019_c0090,-3.028551607135981
CEG2000_f4_r0019_c0090,CEG2000_f4_r0020_c0090,1.471364610519312
CEG2000_f4_r0020_c0090,CEG2000_f4_r0019_c0090,-1.66990885346928
CEG2000_f4_r0019_c0091,CEG2000_f4_r0020_c0091,1.5707946949944624
CEG2000_f4_r0020_c0091,CEG2000_f4_r0019_c0091,-1.5707979539497725
