source,target
CEG2000_f4_r0013_c0108,CEG2000_f4_r0013_c0109
CEG2000_f4_r0013_c0108,CEG2000_f4_r0014_c0108
CEG2000_f4_r0013_c0109,CEG2000_f4_r0014_c0109
CEG2000_f4_r0014_c0108,CEG2000_f4_r0014_c0109
CEG2000_f4_r0014_c0108,CEG2000_f4_r0015_c0108
CEG2000_f4_r0014_c0109,CEG2000_f4_r0014_c0110
CEG2000_f4_r0014_c0109,CEG2000_f4_r0015_c0109
CEG2000_f4_r0014_c0110,CEG2000_f4_r0015_c0110
CEG2000_f4_r0015_c0108,CEG2000_f4_r0015_c0109
CEG2000_f4_r0015_c0108,CEG2000_f4_r0016_c0108
CEG2000_f4_r0015_c0109,CEG2000_f4_r0015_c0110
CEG2000_f4_r0015_c0109,CEG2000_f4_r0016_c0109
CEG2000_f4_r0015_c0110,CEG2000_f4_r0015_c0111
CEG2000_f4_r0015_c0110,CEG2000_f4_r0016_c0110
CEG2000_f4_r0015_c0111,CEG2000_f4_r0016_c0111
CEG2000_f4_r0016_c0106,CEG2000_f4_r0016_c0107
CEG2000_f4_r0016_c0106,CEG2000_f4_r0017_c0106
CEG2000_f4_r0016_c0107,CEG2000_f4_r0016_c0108
CEG2000_f4_r0016_c0107,CEG2000_f4_r0017_c0107
CEG2000_f4_r0016_c0108,CEG2000_f4_r0016_c0109
CEG2000_f4_r0016_c0108,CEG2000_f4_r0017_c0108
CEG2000_f4_r0016_c0109,CEG2000_f4_r0016_c0110
CEG2000_f4_r0016_c0109,CEG2000_f4_r0017_c0109
CEG2000_f4_r0016_c0110,CEG2000_f4_r0016_c0111
CEG2000_f4_r0016_c0110,CEG2000_f4_r0017_c0110
CEG2000_f4_r0016_c0111,CEG2000_f4_r0016_c0112
CEG2000_f4_r0016_c0111,CEG2000_f4_r0017_c0111
CEG2000_f4_r0016_c0112,CEG2000_f4_r0017_c0112
CEG2000_f4_r0017_c0106,CEG2000_f4_r0017_c0107
CEG2000_f4_r0017_c0106,CEG2000_f4_r0018_c0106
CEG2000_f4_r0017_c0107,CEG2000_f4_r0017_c0108
CEG2000_f4_r0017_c0107,CEG2000_f4_r0018_c0107
CEG2000_f4_r0017_c0108,CEG2000_f4_r0017_c0109
CEG2000_f4_r0017_c0108,CEG2000_f4_r0018_c0108
CEG2000_f4_r0017_c0109,CEG2000_f4_r0017_c0110
CEG2000_f4_r0017_c0109,CEG2000_f4_r0018_c0109
CEG2000_f4_r0017_c0110,CEG2000_f4_r0017_c0111
CEG2000_f4_r0017_c0110,CEG2000_f4_r0018_c0110
CEG2000_f4_r0017_c0111,CEG2000_f4_r0017_c0112
CEG2000_f4_r0017_c0111,CEG2000_f4_r0018_c0111
CEG2000_f4_r0017_c0112,CEG2000_f4_r0017_c0113
CEG2000_f4_r0017_c0112,CEG2000_f4_r0018_c0112
