source,target,angle_rad
SYN_disconnected_r002_c002,SYN_disconnected_r002_c003,0.0
SYN_disconnected_r002_c003,SYN_disconnected_r002_c002,3.141592653589793
SYN_disconnected_r002_c002,SYN_disconnected_r003_c002,-1.5707963267948966
SYN_disconnected_r003_c002,SYN_disconnected_r002_c002,1.5707963267948966
SYN_disconnected_r002_c003,SYN_disconnected_r002_c004,0.0
SYN_disconnected_r002_c004,SYN_disconnected_r002_c003,3.141592653589793
SYN_disconnected_r002_c003,SYN_disconnected_r003_c003,-1.5707963267948966
SYN_disconnected_r003_c003,SYN_disconnected_r002_c003,1.5707963267948966
SYN_disconnected_r002_c004,SYN_disconnected_r002_c005,0.0
SYN_disconnected_r002_c005,SYN_disconnected_r002_c004,3.141592653589793
SYN_disconnected_r002_c004,SYN_disconnected_r003_c004,-1.5707963267948966
SYN_disconnected_r003_c004,SYN_disconnected_r002_c004,1.5707963267948966
SYN_disconnected_r002_c005,SYN_disconnected_r002_c006,0.0
SYN_disconnected_r002_c006,SYN_disconnected_r002_c005,3.141592653589793
SYN_disconnected_r002_c005,SYN_disconnected_r003_c005,-1.5707963267948966
SYN_disconnected_r003_c005,SYN_disconnected_r002_c005,1.5707963267948966
SYN_disconnected_r002_c006,SYN_disconnected_r002_c007,0.0
SYN_disconnected_r002_c007,SYN_disconnected_r002_c006,3.141592653589793
SYN_disconnected_r002_c006,SYN_disconnected_r003_c006,-1.5707963267948966
SYN_disconnected_r003_c006,SYN_disconnected_r002_c006,1.5707963267948966
SYN_disconnected_r002_c007,SYN_disconnected_r002_c008,0.0
SYN_disconnected_r002_c008,SYN_disconnected_r002_c007,3.141592653589793
SYN_disconnected_r002_c007,SYN_disconnected_r003_c007,-1.5707963267948966
SYN_disconnected_r003_c007,SYN_disconnected_r002_c007,1.5707963267948966
SYN_disconnected_r002_c008,SYN_disconnected_r002_c009,0.0
SYN_disconnected_r002_c009,SYN_disconnected_r002_c008,3.141592653589793
SYN_disconnected_r002_c008,SYN_disconnected_r003_c008,-1.5707963267948966
SYN_disconnected_r003_c008,SYN_disconnected_r002_c008,1.5707963267948966
SYN_disconnected_r002_c009,SYN_disconnected_r003_c009,-1.5707963267948966
SYN_disconnected_r003_c009,SYN_disconnected_r002_c009,1.5707963267948966
SYN_disconnected_r003_c002,SYN_disconnected_r003_c003,0.0
SYN_disconnected_r003_c003,SYN_disconnected_r003_c002,3.141592653589793
SYN_disconnected_r003_c002,SYN_disconnected_r004_c002,-1.5707963267948966
SYN_disconnected_r004_c002,SYN_disconnected_r003_c002,1.5707963267948966
SYN_disconnected_r003_c003,SYN_disconnected_r003_c004,0.0
SYN_disconnected_r003_c004,SYN_disconnected_r003_c003,3.141592653589793
SYN_disconnected_r003_c003,SYN_disconnected_r004_c003,-1.5707963267948966
SYN_disconnected_r004_c003,SYN_disconnected_r003_c003,1.5707963267948966
SYN_disconnected_r003_c004,SYN_disconnected_r003_c005,0.0
SYN_disconnected_r003_c005,SYN_disconnected_r003_c004,3.141592653589793
SYN_disconnected_r003_c004,SYN_disconnected_r004_c004,-1.5707963267948966
SYN_disconnected_r004_c004,SYN_disconnected_r003_c004,1.5707963267948966
SYN_disconnected_r003_c005,SYN_disconnected_r003_c006,0.0
SYN_disconnected_r003_c006,SYN_disconnected_r003_c005,3.141592653589793
SYN_disconnected_r003_c005,SYN_disconnected_r004_c005,-1.5707963267948966
SYN_disconnected_r004_c005,SYN_disconnected_r003_c005,1.5707963267948966
SYN_disconnected_r003_c006,SYN_disconnected_r003_c007,0.0
SYN_disconnected_r003_c007,SYN_disconnected_r003_c006,3.141592653589793
SYN_disconnected_r003_c006,SYN_disconnected_r004_c006,-1.5707963267948966
SYN_disconnected_r004_c006,SYN_disconnected_r003_c006,1.5707963267948966
SYN_disconnected_r003_c007,SYN_disconnected_r003_c008,0.0
SYN_disconnected_r003_c008,SYN_disconnected_r003_c007,3.141592653589793
SYN_disconnected_r003_c007,SYN_disconnected_r004_c007,-1.5707963267948966
SYN_disconnected_r004_c007,SYN_disconnected_r003_c007,1.5707963267948966
SYN_disconnected_r003_c008,SYN_disconnected_r003_c009,0.0
SYN_disconnected_r003_c009,SYN_disconnected_r003_c008,3.141592653589793
SYN_disconnected_r003_c008,SYN_disconnected_r004_c008,-1.5707963267948966
SYN_disconnected_r004_c008,SYN_disconnected_r003_c008,1.5707963267948966
SYN_disconnected_r003_c009,SYN_disconnected_r004_c009,-1.5707963267948966
SYN_disconnected_r004_c009,SYN_disconnected_r003_c009,1.5707963267948966
SYN_disconnected_r004_c002,SYN_disconnected_r004_c003,0.0
SYN_disconnected_r004_c003,SYN_disconnected_r004_c002,3.141592653589793
SYN_disconnected_r004_c002,SYN_disconnected_r005_c002,-1.5707963267948966
SYN_disconnected_r005_c002,SYN_disconnected_r004_c002,1.5707963267948966
SYN_disconnected_r004_c003,SYN_disconnected_r004_c004,0.0
SYN_disconnected_r004_c004,SYN_disconnected_r004_c003,3.141592653589793
SYN_disconnected_r004_c003,SYN_disconnected_r005_c003,-1.5707963267948966
SYN_disconnected_r005_c003,SYN_disconnected_r004_c003,1.5707963267948966
SYN_disconnected_r004_c004,SYN_disconnected_r004_c005,0.0
SYN_disconnected_r004_c005,SYN_disconnected_r004_c004,3.141592653589793
SYN_disconnected_r004_c004,SYN_disconnected_r005_c004,-1.5707963267948966
SYN_disconnected_r005_c004,SYN_disconnected_r004_c004,1.5707963267948966
SYN_disconnected_r004_c005,SYN_disconnected_r004_c006,0.0
SYN_disconnected_r004_c006,SYN_disconnected_r004_c005,3.141592653589793
SYN_disconnected_r004_c005,SYN_disconnected_r005_c005,-1.5707963267948966
SYN_disconnected_r005_c005,SYN_disconnected_r004_c005,1.5707963267948966
SYN_disconnected_r004_c006,SYN_disconnected_r004_c007,0.0
SYN_disconnected_r004_c007,SYN_disconnected_r004_c006,3.141592653589793
SYN_disconnected_r004_c006,SYN_disconnected_r005_c006,-1.5707963267948966
SYN_disconnected_r005_c006,SYN_disconnected_r004_c006,1.5707963267948966
SYN_disconnected_r004_c007,SYN_disconnected_r004_c008,0.0
SYN_disconnected_r004_c008,SYN_disconnected_r004_c007,3.141592653589793
SYN_disconnected_r004_c007,SYN_disconnected_r005_c007,-1.5707963267948966
SYN_disconnected_r005_c007,SYN_disconnected_r004_c007,1.5707963267948966
SYN_disconnected_r004_c008,SYN_disconnected_r004_c009,0.0
SYN_disconnected_r004_c009,SYN_disconnected_r004_c008,3.141592653589793
SYN_disconnected_r004_c008,SYN_disconnected_r005_c008,-1.5707963267948966
SYN_disconnected_r005_c008,SYN_disconnected_r004_c008,1.5707963267948966
SYN_disconnected_r004_c009,SYN_disconnected_r005_c009,-1.5707963267948966
SYN_disconnected_r005_c009,SYN_disconnected_r004_c009,1.5707963267948966
SYN_disconnected_r005_c002,SYN_disconnected_r005_c003,0.0
SYN_disconnected_r005_c003,SYN_disconnected_r005_c002,3.141592653589793
SYN_disconnected_r005_c002,SYN_disconnected_r006_c002,-1.5707963267948966
SYN_disconnected_r006_c002,SYN_disconnected_r005_c002,1.5707963267948966
SYN_disconnected_r005_c003,SYN_disconnected_r005_c004,0.0
SYN_disconnected_r005_c004,SYN_disconnected_r005_c003,3.141592653589793
SYN_disconnected_r005_c003,SYN_disconnected_r006_c003,-1.5707963267948966
SYN_disconnected_r006_c003,SYN_disconnected_r005_c003,1.5707963267948966
SYN_disconnected_r005_c004,SYN_disconnected_r005_c005,0.0
SYN_disconnected_r005_c005,SYN_disconnected_r005_c004,3.141592653589793
SYN_disconnected_r005_c004,SYN_disconnected_r006_c004,-1.5707963267948966
SYN_disconnected_r006_c004,SYN_disconnected_r005_c004,1.5707963267948966
SYN_disconnected_r005_c005,SYN_disconnected_r005_c006,0.0
SYN_disconnected_r005_c006,SYN_disconnected_r005_c005,3.141592653589793
SYN_disconnected_r005_c005,SYN_disconnected_r006_c005,-1.5707963267948966
SYN_disconnected_r006_c005,SYN_disconnected_r005_c005,1.5707963267948966
SYN_disconnected_r005_c006,SYN_disconnected_r005_c007,0.0
SYN_disconnected_r005_c007,SYN_disconnected_r005_c006,3.141592653589793
SYN_disconnected_r005_c006,SYN_disconnected_r006_c006,-1.5707963267948966
SYN_disconnected_r006_c006,SYN_disconnected_r005_c006,1.5707963267948966
SYN_disconnected_r005_c007,SYN_disconnected_r005_c008,0.0
SYN_disconnected_r005_c008,SYN_disconnected_r005_c007,3.141592653589793
SYN_disconnected_r005_c007,SYN_disconnected_r006_c007,-1.5707963267948966
SYN_disconnected_r006_c007,SYN_disconnected_r005_c007,1.5707963267948966
SYN_disconnected_r005_c008,SYN_disconnected_r005_c009,0.0
SYN_disconnected_r005_c009,SYN_disconnected_r005_c008,3.141592653589793
SYN_disconnected_r005_c008,SYN_disconnected_r006_c008,-1.5707963267948966
SYN_disconnected_r006_c008,SYN_disconnected_r005_c008,1.5707963267948966
SYN_disconnected_r005_c009,SYN_disconnected_r006_c009,-1.5707963267948966
SYN_disconnected_r006_c009,SYN_disconnected_r005_c009,1.5707963267948966
SYN_disconnected_r005_c015,SYN_disconnected_r005_c016,0.0
SYN_disconnected_r005_c016,SYN_disconnected_r005_c015,3.141592653589793
SYN_disconnected_r005_c015,SYN_disconnected_r006_c015,-1.5707963267948966
SYN_disconnected_r006_c015,SYN_disconnected_r005_c015,1.5707963267948966
SYN_disconnected_r005_c016,SYN_disconnected_r005_c017,0.0
SYN_disconnected_r005_c017,SYN_disconnected_r005_c016,3.141592653589793
SYN_disconnected_r005_c016,SYN_disconnected_r006_c016,-1.5707963267948966
SYN_disconnected_r006_c016,SYN_disconnected_r005_c016,1.5707963267948966
SYN_disconnected_r005_c017,SYN_disconnected_r005_c018,0.0
SYN_disconnected_r005_c018,SYN_disconnected_r005_c017,3.141592653589793
SYN_disconnected_r005_c017,SYN_disconnected_r006_c017,-1.5707963267948966
SYN_disconnected_r006_c017,SYN_disconnected_r005_c017,1.5707963267948966
SYN_disconnected_r005_c018,SYN_disconnected_r005_c019,0.0
SYN_disconnected_r005_c019,SYN_disconnected_r005_c018,3.141592653589793
SYN_disconnected_r005_c018,SYN_disconnected_r006_c018,-1.5707963267948966
SYN_disconnected_r006_c018,SYN_disconnected_r005_c018,1.5707963267948966
SYN_disconnected_r005_c019,SYN_disconnected_r005_c020,0.0
SYN_disconnected_r005_c020,SYN_disconnected_r005_c019,3.141592653589793
SYN_disconnected_r005_c019,SYN_disconnected_r006_c019,-1.5707963267948966
SYN_disconnected_r006_c019,SYN_disconnected_r005_c019,1.5707963267948966
SYN_disconnected_r005_c020,SYN_disconnected_r005_c021,0.0
SYN_disconnected_r005_c021,SYN_disconnected_r005_c020,3.141592653589793
SYN_disconnected_r005_c020,SYN_disconnected_r006_c020,-1.5707963267948966
SYN_disconnected_r006_c020,SYN_disconnected_r005_c020,1.5707963267948966
SYN_disconnected_r005_c021,SYN_disconnected_r005_c022,0.0
SYN_disconnected_r005_c022,SYN_disconnected_r005_c021,3.141592653589793
SYN_disconnected_r005_c021,SYN_disconnected_r006_c021,-1.5707963267948966
SYN_disconnected_r006_c021,SYN_disconnected_r005_c021,1.5707963267948966
SYN_disconnected_r005_c022,SYN_disconnected_r006_c022,-1.5707963267948966
SYN_disconnected_r006_c022,SYN_disconnected_r005_c022,1.5707963267948966
SYN_disconnected_r006_c002,SYN_disconnected_r006_c003,0.0
SYN_disconnected_r006_c003,SYN_disconnected_r006_c002,3.141592653589793
SYN_disconnected_r006_c002,SYN_disconnected_r007_c002,-1.5707963267948966
SYN_disconnected_r007_c002,SYN_disconnected_r006_c002,1.5707963267948966
SYN_disconnected_r006_c003,SYN_disconnected_r006_c004,0.0
SYN_disconnected_r006_c004,SYN_disconnected_r006_c003,3.141592653589793
SYN_disconnected_r006_c003,SYN_disconnected_r007_c003,-1.5707963267948966
SYN_disconnected_r007_c003,SYN_disconnected_r006_c003,1.5707963267948966
SYN_disconnected_r006_c004,SYN_disconnected_r006_c005,0.0
SYN_disconnected_r006_c005,SYN_disconnected_r006_c004,3.141592653589793
SYN_disconnected_r006_c004,SYN_disconnected_r007_c004,-1.5707963267948966
SYN_disconnected_r007_c004,SYN_disconnected_r006_c004,1.5707963267948966
SYN_disconnected_r006_c005,SYN_disconnected_r006_c006,0.0
SYN_disconnected_r006_c006,SYN_disconnected_r006_c005,3.141592653589793
SYN_disconnected_r006_c005,SYN_disconnected_r007_c005,-1.5707963267948966
SYN_disconnected_r007_c005,SYN_disconnected_r006_c005,1.5707963267948966
SYN_disconnected_r006_c006,SYN_disconnected_r006_c007,0.0
SYN_disconnected_r006_c007,SYN_disconnected_r006_c006,3.141592653589793
SYN_disconnected_r006_c006,SYN_disconnected_r007_c006,-1.5707963267948966
SYN_disconnected_r007_c006,SYN_disconnected_r006_c006,1.5707963267948966
SYN_disconnected_r006_c007,SYN_disconnected_r006_c008,0.0
SYN_disconnected_r006_c008,SYN_disconnected_r006_c007,3.141592653589793
SYN_disconnected_r006_c007,SYN_disconnected_r007_c007,-1.5707963267948966
SYN_disconnected_r007_c007,SYN_disconnected_r006_c007,1.5707963267948966
SYN_disconnected_r006_c008,SYN_disconnected_r006_c009,0.0
SYN_disconnected_r006_c009,SYN_disconnected_r006_c008,3.141592653589793
SYN_disconnected_r006_c008,SYN_disconnected_r007_c008,-1.5707963267948966
SYN_disconnected_r007_c008,SYN_disconnected_r006_c008,1.5707963267948966
SYN_disconnected_r006_c009,SYN_disconnected_r007_c009,-1.5707963267948966
SYN_disconnected_r007_c009,SYN_disconnected_r006_c009,1.5707963267948966
SYN_disconnected_r006_c015,SYN_disconnected_r006_c016,0.0
SYN_disconnected_r006_c016,SYN_disconnected_r006_c015,3.141592653589793
SYN_disconnected_r006_c015,SYN_disconnected_r007_c015,-1.5707963267948966
SYN_disconnected_r007_c015,SYN_disconnected_r006_c015,1.5707963267948966
SYN_disconnected_r006_c016,SYN_disconnected_r006_c017,0.0
SYN_disconnected_r006_c017,SYN_disconnected_r006_c016,3.141592653589793
SYN_disconnected_r006_c016,SYN_disconnected_r007_c016,-1.5707963267948966
SYN_disconnected_r007_c016,SYN_disconnected_r006_c016,1.5707963267948966
SYN_disconnected_r006_c017,SYN_disconnected_r006_c018,0.0
SYN_disconnected_r006_c018,SYN_disconnected_r006_c017,3.141592653589793
SYN_disconnected_r006_c017,SYN_disconnected_r007_c017,-1.5707963267948966
SYN_disconnected_r007_c017,SYN_disconnected_r006_c017,1.5707963267948966
SYN_disconnected_r006_c018,SYN_disconnected_r006_c019,0.0
SYN_disconnected_r006_c019,SYN_disconnected_r006_c018,3.141592653589793
SYN_disconnected_r006_c018,SYN_disconnected_r007_c018,-1.5707963267948966
SYN_disconnected_r007_c018,SYN_disconnected_r006_c018,1.5707963267948966
SYN_disconnected_r006_c019,SYN_disconnected_r006_c020,0.0
SYN_disconnected_r006_c020,SYN_disconnected_r006_c019,3.141592653589793
SYN_disconnected_r006_c019,SYN_disconnected_r007_c019,-1.5707963267948966
SYN_disconnected_r007_c019,SYN_disconnected_r006_c019,1.5707963267948966
SYN_disconnected_r006_c020,SYN_disconnected_r006_c021,0.0
SYN_disconnected_r006_c021,SYN_disconnected_r006_c020,3.141592653589793
SYN_disconnected_r006_c020,SYN_disconnected_r007_c020,-1.5707963267948966
SYN_disconnected_r007_c020,SYN_disconnected_r006_c020,1.5707963267948966
SYN_disconnected_r006_c021,SYN_disconnected_r006_c022,0.0
SYN_disconnected_r006_c022,SYN_disconnected_r006_c021,3.141592653589793
SYN_disconnected_r006_c021,SYN_disconnected_r007_c021,-1.5707963267948966
SYN_disconnected_r007_c021,SYN_disconnected_r006_c021,1.5707963267948966
SYN_disconnected_r006_c022,SYN_disconnected_r007_c022,-1.5707963267948966
SYN_disconnected_r007_c022,SYN_disconnected_r006_c022,1.5707963267948966
SYN_disconnected_r007_c002,SYN_disconnected_r007_c003,0.0
SYN_disconnected_r007_c003,SYN_disconnected_r007_c002,3.141592653589793
SYN_disconnected_r007_c002,SYN_disconnected_r008_c002,-1.5707963267948966
SYN_disconnected_r008_c002,SYN_disconnected_r007_c002,1.5707963267948966
SYN_disconnected_r007_c003,SYN_disconnected_r007_c004,0.0
SYN_disconnected_r007_c004,SYN_disconnected_r007_c003,3.141592653589793
SYN_disconnected_r007_c003,SYN_disconnected_r008_c003,-1.5707963267948966
SYN_disconnected_r008_c003,SYN_disconnected_r007_c003,1.5707963267948966
SYN_disconnected_r007_c004,SYN_disconnected_r007_c005,0.0
SYN_disconnected_r007_c005,SYN_disconnected_r007_c004,3.141592653589793
SYN_disconnected_r007_c004,SYN_disconnected_r008_c004,-1.5707963267948966
SYN_disconnected_r008_c004,SYN_disconnected_r007_c004,1.5707963267948966
SYN_disconnected_r007_c005,SYN_disconnected_r007_c006,0.0
SYN_disconnected_r007_c006,SYN_disconnected_r007_c005,3.141592653589793
SYN_disconnected_r007_c005,SYN_disconnected_r008_c005,-1.5707963267948966
SYN_disconnected_r008_c005,SYN_disconnected_r007_c005,1.5707963267948966
SYN_disconnected_r007_c006,SYN_disconnected_r007_c007,0.0
SYN_disconnected_r007_c007,SYN_disconnected_r007_c006,3.141592653589793
SYN_disconnected_r007_c006,SYN_disconnected_r008_c006,-1.5707963267948966
SYN_disconnected_r008_c006,SYN_disconnected_r007_c006,1.5707963267948966
SYN_disconnected_r007_c007,SYN_disconnected_r007_c008,0.0
SYN_disconnected_r007_c008,SYN_disconnected_r007_c007,3.141592653589793
SYN_disconnected_r007_c007,SYN_disconnected_r008_c007,-1.5707963267948966
SYN_disconnected_r008_c007,SYN_disconnected_r007_c007,1.5707963267948966
SYN_disconnected_r007_c008,SYN_disconnected_r007_c009,0.0
SYN_disconnected_r007_c009,SYN_disconnected_r007_c008,3.141592653589793
SYN_disconnected_r007_c008,SYN_disconnected_r008_c008,-1.5707963267948966
SYN_disconnected_r008_c008,SYN_disconnected_r007_c008,1.5707963267948966
SYN_disconnected_r007_c009,SYN_disconnected_r008_c009,-1.5707963267948966
SYN_disconnected_r008_c009,SYN_disconnected_r007_c009,1.5707963267948966
SYN_disconnected_r007_c015,SYN_disconnected_r007_c016,0.0
SYN_disconnected_r007_c016,SYN_disconnected_r007_c015,3.141592653589793
SYN_disconnected_r007_c015,SYN_disconnected_r008_c015,-1.5707963267948966
SYN_disconnected_r008_c015,SYN_disconnected_r007_c015,1.5707963267948966
SYN_disconnected_r007_c016,SYN_disconnected_r007_c017,0.0
SYN_disconnected_r007_c017,SYN_disconnected_r007_c016,3.141592653589793
SYN_disconnected_r007_c016,SYN_disconnected_r008_c016,-1.5707963267948966
SYN_disconnected_r008_c016,SYN_disconnected_r007_c016,1.5707963267948966
SYN_disconnected_r007_c017,SYN_disconnected_r007_c018,0.0
