cell_id,region_id,block_row,block_col,longitude,latitude,scalar_value,original_area_degree2,theta,rho,is_boundary,polygon_wkt
SYN_disk_like_r001_c008,Synthetic-disk_like,1,8,8.0,15.0,-0.01952091489222685,1.0,1.5707963267948966,0.9333333333333333,True,"POLYGON ((7.5 14.5, 8.5 14.5, 8.5 15.5, 7.5 15.5, 7.5 14.5))"
SYN_disk_like_r002_c005,Synthetic-disk_like,2,5,5.0,14.0,0.37689944133498177,1.0,2.0305435914555923,0.923076923076923,True,"POLYGON ((4.5 13.5, 5.5 13.5, 5.5 14.5, 4.5 14.5, 4.5 13.5))"
SYN_disk_like_r002_c006,Synthetic-disk_like,2,6,6.0,14.0,0.2561228611099188,1.0,1.8896244660512551,0.9230769230769231,True,"POLYGON ((5.5 13.5, 6.5 13.5, 6.5 14.5, 5.5 14.5, 5.5 13.5))"
SYN_disk_like_r002_c007,Synthetic-disk_like,2,7,7.0,14.0,0.030678196595548823,1.0,1.7343664393031892,0.9230769230769232,True,"POLYGON ((6.5 13.5, 7.5 13.5, 7.5 14.5, 6.5 14.5, 6.5 13.5))"
SYN_disk_like_r002_c008,Synthetic-disk_like,2,8,8.0,14.0,-0.27209835538305005,1.0,1.5707963267948966,0.8,False,"POLYGON ((7.5 13.5, 8.5 13.5, 8.5 14.5, 7.5 14.5, 7.5 13.5))"
SYN_disk_like_r002_c009,Synthetic-disk_like,2,9,9.0,14.0,-0.6154937529061038,1.0,1.4072262142866039,0.9230769230769231,True,"POLYGON ((8.5 13.5, 9.5 13.5, 9.5 14.5, 8.5 14.5, 8.5 13.5))"
SYN_disk_like_r002_c010,Synthetic-disk_like,2,10,10.0,14.0,-0.957869733228575,1.0,1.251968187538538,0.9230769230769231,True,"POLYGON ((9.5 13.5, 10.5 13.5, 10.5 14.5, 9.5 14.5, 9.5 13.5))"
SYN_disk_like_r002_c011,Synthetic-disk_like,2,11,11.0,14.0,-1.2577116426041222,1.0,1.1110490621342008,0.923076923076923,True,"POLYGON ((10.5 13.5, 11.5 13.5, 11.5 14.5, 10.5 14.5, 10.5 13.5))"
SYN_disk_like_r003_c004,Synthetic-disk_like,3,4,4.0,13.0,0.1764849433583744,1.0,2.2407719234551515,0.9090909090909088,True,"POLYGON ((3.5 12.5, 4.5 12.5, 4.5 13.5, 3.5 13.5, 3.5 12.5))"
SYN_disk_like_r003_c005,Synthetic-disk_like,3,5,5.0,13.0,0.17502116024385117,1.0,2.1069112655207203,0.8571428571428569,False,"POLYGON ((4.5 12.5, 5.5 12.5, 5.5 13.5, 4.5 13.5, 4.5 12.5))"
SYN_disk_like_r003_c006,Synthetic-disk_like,3,6,6.0,13.0,0.05424458001878818,1.0,1.9479423674751482,0.7692307692307692,False,"POLYGON ((5.5 12.5, 6.5 12.5, 6.5 13.5, 5.5 13.5, 5.5 12.5))"
SYN_disk_like_r003_c007,Synthetic-disk_like,3,7,7.0,13.0,-0.17120008449558177,1.0,1.7663196628066418,0.7692307692307693,False,"POLYGON ((6.5 12.5, 7.5 12.5, 7.5 13.5, 6.5 13.5, 6.5 12.5))"
SYN_disk_like_r003_c008,Synthetic-disk_like,3,8,8.0,13.0,-0.47397663647418065,1.0,1.5707963267948966,0.6666666666666666,False,"POLYGON ((7.5 12.5, 8.5 12.5, 8.5 13.5, 7.5 13.5, 7.5 12.5))"
SYN_disk_like_r003_c009,Synthetic-disk_like,3,9,9.0,13.0,-0.8173720339972343,1.0,1.3752729907831516,0.7692307692307693,False,"POLYGON ((8.5 12.5, 9.5 12.5, 9.5 13.5, 8.5 13.5, 8.5 12.5))"
SYN_disk_like_r003_c010,Synthetic-disk_like,3,10,10.0,13.0,-1.1597480143197056,1.0,1.1936502861146452,0.7692307692307692,False,"POLYGON ((9.5 12.5, 10.5 12.5, 10.5 13.5, 9.5 13.5, 9.5 12.5))"
SYN_disk_like_r003_c011,Synthetic-disk_like,3,11,11.0,13.0,-1.4595899236952528,1.0,1.0346813880690728,0.8571428571428571,False,"POLYGON ((10.5 12.5, 11.5 12.5, 11.5 13.5, 10.5 13.5, 10.5 12.5))"
SYN_disk_like_r003_c012,Synthetic-disk_like,3,12,12.0,13.0,-1.6805405590436735,1.0,0.9008207301346418,0.909090909090909,True,"POLYGON ((11.5 12.5, 12.5 12.5, 12.5 13.5, 11.5 13.5, 11.5 12.5))"
SYN_disk_like_r004_c003,Synthetic-disk_like,4,3,3.0,12.0,-0.07586137345445909,1.0,2.4620761250871275,0.909090909090909,True,"POLYGON ((2.5 11.5, 3.5 11.5, 3.5 12.5, 2.5 12.5, 2.5 11.5))"
SYN_disk_like_r004_c004,Synthetic-disk_like,4,4,4.0,12.0,0.0421651309399842,1.0,2.351304770134164,0.8888888888888885,False,"POLYGON ((3.5 11.5, 4.5 11.5, 4.5 12.5, 3.5 12.5, 3.5 11.5))"
SYN_disk_like_r004_c005,Synthetic-disk_like,4,5,5.0,12.0,0.040701347825460976,1.0,2.209609719409783,0.7272727272727274,False,"POLYGON ((4.5 11.5, 5.5 11.5, 5.5 12.5, 4.5 12.5, 4.5 11.5))"
SYN_disk_like_r004_c006,Synthetic-disk_like,4,6,6.0,12.0,-0.08007523239960201,1.0,2.0305435914555923,0.6153846153846154,False,"POLYGON ((5.5 11.5, 6.5 11.5, 6.5 12.5, 5.5 12.5, 5.5 11.5))"
SYN_disk_like_r004_c007,Synthetic-disk_like,4,7,7.0,12.0,-0.30551989691397197,1.0,1.8134838161298312,0.6153846153846154,False,"POLYGON ((6.5 11.5, 7.5 11.5, 7.5 12.5, 6.5 12.5, 6.5 11.5))"
SYN_disk_like_r004_c008,Synthetic-disk_like,4,8,8.0,12.0,-0.6082964488925708,1.0,1.5707963267948966,0.5333333333333333,False,"POLYGON ((7.5 11.5, 8.5 11.5, 8.5 12.5, 7.5 12.5, 7.5 11.5))"
SYN_disk_like_r004_c009,Synthetic-disk_like,4,9,9.0,12.0,-0.9516918464156245,1.0,1.3281088374599619,0.6153846153846153,False,"POLYGON ((8.5 11.5, 9.5 11.5, 9.5 12.5, 8.5 12.5, 8.5 11.5))"
SYN_disk_like_r004_c010,Synthetic-disk_like,4,10,10.0,12.0,-1.2940678267380958,1.0,1.1110490621342008,0.6153846153846154,False,"POLYGON ((9.5 11.5, 10.5 11.5, 10.5 12.5, 9.5 12.5, 9.5 11.5))"
SYN_disk_like_r004_c011,Synthetic-disk_like,4,11,11.0,12.0,-1.593909736113643,1.0,0.9319829341800102,0.7272727272727273,False,"POLYGON ((10.5 11.5, 11.5 11.5, 11.5 12.5, 10.5 12.5, 10.5 11.5))"
SYN_disk_like_r004_c012,Synthetic-disk_like,4,12,12.0,12.0,-1.8148603714620637,1.0,0.7902878834556293,0.8888888888888887,False,"POLYGON ((11.5 11.5, 12.5 11.5, 12.5 12.5, 11.5 12.5, 11.5 11.5))"
SYN_disk_like_r004_c013,Synthetic-disk_like,4,13,13.0,12.0,-1.9301284575517124,1.0,0.6795165285026658,0.909090909090909,True,"POLYGON ((12.5 11.5, 13.5 11.5, 13.5 12.5, 12.5 12.5, 12.5 11.5))"
SYN_disk_like_r005_c002,Synthetic-disk_like,5,2,2.0,11.0,-0.3546109059395276,1.0,2.674021747048923,0.923076923076923,True,"POLYGON ((1.5 10.5, 2.5 10.5, 2.5 11.5, 1.5 11.5, 1.5 10.5))"
SYN_disk_like_r005_c003,Synthetic-disk_like,5,3,3.0,11.0,-0.13140536758320176,1.0,2.596848736196692,0.8571428571428574,False,"POLYGON ((2.5 10.5, 3.5 10.5, 3.5 11.5, 2.5 11.5, 2.5 10.5))"
SYN_disk_like_r005_c004,Synthetic-disk_like,5,4,4.0,11.0,-0.013378863188758472,1.0,2.4933909749992202,0.7272727272727272,False,"POLYGON ((3.5 10.5, 4.5 10.5, 4.5 11.5, 3.5 11.5, 3.5 10.5))"
SYN_disk_like_r005_c005,Synthetic-disk_like,5,5,5.0,11.0,-0.014842646303281692,1.0,2.351304770134164,0.6666666666666665,False,"POLYGON ((4.5 10.5, 5.5 10.5, 5.5 11.5, 4.5 11.5, 4.5 10.5))"
SYN_disk_like_r005_c006,Synthetic-disk_like,5,6,6.0,11.0,-0.13561922652834468,1.0,2.1542938098346407,0.5454545454545454,False,"POLYGON ((5.5 10.5, 6.5 10.5, 6.5 11.5, 5.5 11.5, 5.5 10.5))"
SYN_disk_like_r005_c007,Synthetic-disk_like,5,7,7.0,11.0,-0.36106389104271464,1.0,1.8896244660512551,0.46153846153846156,False,"POLYGON ((6.5 10.5, 7.5 10.5, 7.5 11.5, 6.5 11.5, 6.5 10.5))"
SYN_disk_like_r005_c008,Synthetic-disk_like,5,8,8.0,11.0,-0.6638404430213135,1.0,1.5707963267948966,0.4,False,"POLYGON ((7.5 10.5, 8.5 10.5, 8.5 11.5, 7.5 11.5, 7.5 10.5))"
SYN_disk_like_r005_c009,Synthetic-disk_like,5,9,9.0,11.0,-1.0072358405443673,1.0,1.251968187538538,0.46153846153846156,False,"POLYGON ((8.5 10.5, 9.5 10.5, 9.5 11.5, 8.5 11.5, 8.5 10.5))"
SYN_disk_like_r005_c010,Synthetic-disk_like,5,10,10.0,11.0,-1.3496118208668384,1.0,0.9872988437551525,0.5454545454545454,False,"POLYGON ((9.5 10.5, 10.5 10.5, 10.5 11.5, 9.5 11.5, 9.5 10.5))"
SYN_disk_like_r005_c011,Synthetic-disk_like,5,11,11.0,11.0,-1.6494537302423855,1.0,0.7902878834556293,0.6666666666666667,False,"POLYGON ((10.5 10.5, 11.5 10.5, 11.5 11.5, 10.5 11.5, 10.5 10.5))"
SYN_disk_like_r005_c012,Synthetic-disk_like,5,12,12.0,11.0,-1.8704043655908063,1.0,0.6482016785905729,0.7272727272727272,False,"POLYGON ((11.5 10.5, 12.5 10.5, 12.5 11.5, 11.5 11.5, 11.5 10.5))"
