source,target
SYN_disk_like_r001_c008,SYN_disk_like_r002_c008
SYN_disk_like_r002_c005,SYN_disk_like_r002_c006
SYN_disk_like_r002_c005,SYN_disk_like_r003_c005
SYN_disk_like_r002_c006,SYN_disk_like_r002_c007
SYN_disk_like_r002_c006,SYN_disk_like_r003_c006
SYN_disk_like_r002_c007,SYN_disk_like_r002_c008
SYN_disk_like_r002_c007,SYN_disk_like_r003_c007
SYN_disk_like_r002_c008,SYN_disk_like_r002_c009
SYN_disk_like_r002_c008,SYN_disk_like_r003_c008
SYN_disk_like_r002_c009,SYN_disk_like_r002_c010
SYN_disk_like_r002_c009,SYN_disk_like_r003_c009
SYN_disk_like_r002_c010,SYN_disk_like_r002_c011
SYN_disk_like_r002_c010,SYN_disk_like_r003_c010
SYN_disk_like_r002_c011,SYN_disk_like_r003_c011
SYN_disk_like_r003_c004,SYN_disk_like_r003_c005
SYN_disk_like_r003_c004,SYN_disk_like_r004_c004
SYN_disk_like_r003_c005,SYN_disk_like_r003_c006
SYN_disk_like_r003_c005,SYN_disk_like_r004_c005
SYN_disk_like_r003_c006,SYN_disk_like_r003_c007
SYN_disk_like_r003_c006,SYN_disk_like_r004_c006
SYN_disk_like_r003_c007,SYN_disk_like_r003_c008
SYN_disk_like_r003_c007,SYN_disk_like_r004_c007
SYN_disk_like_r003_c008,SYN_disk_like_r003_c009
SYN_disk_like_r003_c008,SYN_disk_like_r004_c008
SYN_disk_like_r003_c009,SYN_disk_like_r003_c010
SYN_disk_like_r003_c009,SYN_disk_like_r004_c009
SYN_disk_like_r003_c010,SYN_disk_like_r003_c011
SYN_disk_like_r003_c010,SYN_disk_like_r004_c010
SYN_disk_like_r003_c011,SYN_disk_like_r003_c012
SYN_disk_like_r003_c011,SYN_disk_like_r004_c011
SYN_disk_like_r003_c012,SYN_disk_like_r004_c012
SYN_disk_like_r004_c003,SYN_disk_like_r004_c004
SYN_disk_like_r004_c003,SYN_disk_like_r005_c003
SYN_disk_like_r004_c004,SYN_disk_like_r004_c005
SYN_disk_like_r004_c004,SYN_disk_like_r005_c004
SYN_disk_like_r004_c005,SYN_disk_like_r004_c006
SYN_disk_like_r004_c005,SYN_disk_like_r005_c005
SYN_disk_like_r004_c006,SYN_disk_like_r004_c007
SYN_disk_like_r004_c006,SYN_disk_like_r005_c006
SYN_disk_like_r004_c007,SYN_disk_like_r004_c008
SYN_disk_like_r004_c007,SYN_disk_like_r005_c007
SYN_disk_like_r004_c008,SYN_disk_like_r004_c009
SYN_disk_like_r004_c008,SYN_disk_like_r005_c008
SYN_disk_like_r004_c009,SYN_disk_like_r004_c010
SYN_disk_like_r004_c009,SYN_disk_like_r005_c009
SYN_disk_like_r004_c010,SYN_disk_like_r004_c011
SYN_disk_like_r004_c010,SYN_disk_like_r005_c010
SYN_disk_like_r004_c011,SYN_disk_like_r004_c012
SYN_disk_like_r004_c011,SYN_disk_like_r005_c011
SYN_disk_like_r004_c012,SYN_disk_like_r004_c013
SYN_disk_like_r004_c012,SYN_disk_like_r005_c012
SYN_disk_like_r004_c013,SYN_disk_like_r005_c013
SYN_disk_like_r005_c002,SYN_disk_like_r005_c003
SYN_disk_like_r005_c002,SYN_disk_like_r006_c002
SYN_disk_like_r005_c003,SYN_disk_like_r005_c004
SYN_disk_like_r005_c003,SYN_disk_like_r006_c003
SYN_disk_like_r005_c004,SYN_disk_like_r005_c005
SYN_disk_like_r005_c004,SYN_disk_like_r006_c004
SYN_disk_like_r005_c005,SYN_disk_like_r005_c006
SYN_disk_like_r005_c005,SYN_disk_like_r006_c005
SYN_disk_like_r005_c006,SYN_disk_like_r005_c007
SYN_disk_like_r005_c006,SYN_disk_like_r006_c006
SYN_disk_like_r005_c007,SYN_disk_like_r005_c008
SYN_disk_like_r005_c007,SYN_disk_like_r006_c007
SYN_disk_like_r005_c008,SYN_disk_like_r005_c009
SYN_disk_like_r005_c008,SYN_disk_like_r006_c008
SYN_disk_like_r005_c009,SYN_disk_like_r005_c010
SYN_disk_like_r005_c009,SYN_disk_like_r006_c009
SYN_disk_like_r005_c010,SYN_disk_like_r005_c011
SYN_disk_like_r005_c010,SYN_disk_like_r006_c010
SYN_disk_like_r005_c011,SYN_disk_like_r005_c012
SYN_disk_like_r005_c011,SYN_disk_like_r006_c011
SYN_disk_like_r005_c012,SYN_disk_like_r005_c013
SYN_disk_like_r005_c012,SYN_disk_like_r006_c012
SYN_disk_like_r005_c013,SYN_disk_like_r005_c014
SYN_disk_like_r005_c013,SYN_disk_like_r006_c013
SYN_disk_like_r005_c014,SYN_disk_like_r006_c014
SYN_disk_like_r006_c002,SYN_disk_like_r006_c003
SYN_disk_like_r006_c002,SYN_disk_like_r007_c002
SYN_disk_like_r006_c003,SYN_disk_like_r006_c004
SYN_disk_like_r006_c003,SYN_disk_like_r007_c003
SYN_disk_like_r006_c004,SYN_disk_like_r006_c005
SYN_disk_like_r006_c004,SYN_disk_like_r007_c004
SYN_disk_like_r006_c005,SYN_disk_like_r006_c006
SYN_disk_like_r006_c005,SYN_disk_like_r007_c005
SYN_disk_like_r006_c006,SYN_disk_like_r006_c007
SYN_disk_like_r006_c006,SYN_disk_like_r007_c006
SYN_disk_like_r006_c007,SYN_disk_like_r006_c008
SYN_disk_like_r006_c007,SYN_disk_like_r007_c007
SYN_disk_like_r006_c008,SYN_disk_like_r006_c009
SYN_disk_like_r006_c008,SYN_disk_like_r007_c008
SYN_disk_like_r006_c009,SYN_disk_like_r006_c010
SYN_disk_like_r006_c009,SYN_disk_like_r007_c009
SYN_disk_like_r006_c010,SYN_disk_like_r006_c011
SYN_disk_like_r006_c010,SYN_disk_like_r007_c010
SYN_disk_like_r006_c011,SYN_disk_like_r006_c012
SYN_disk_like_r006_c011,SYN_disk_like_r007_c011
SYN_disk_like_r006_c012,SYN_disk_like_r006_c013
SYN_disk_like_r006_c012,SYN_disk_like_r007_c012
SYN_disk_like_r006_c013,SYN_disk_like_r006_c014
SYN_disk_like_r006_c013,SYN_disk_like_r007_c013
SYN_disk_like_r006_c014,SYN_disk_like_r007_c014
SYN_disk_like_r007_c002,SYN_disk_like_r007_c003
SYN_disk_like_r007_c002,SYN_disk_like_r008_c002
SYN_disk_like_r007_c003,SYN_disk_like_r007_c004
SYN_disk_like_r007_c003,SYN_disk_like_r008_c003
SYN_disk_like_r007_c004,SYN_disk_like_r007_c005
SYN_disk_like_r007_c004,SYN_disk_like_r008_c004
SYN_disk_like_r007_c005,SYN_disk_like_r007_c006
SYN_disk_like_r007_c005,SYN_disk_like_r008_c005
SYN_disk_like_r007_c006,SYN_disk_like_r007_c007
SYN_disk_like_r007_c006,SYN_disk_like_r008_c006
SYN_disk_like_r007_c007,SYN_disk_like_r007_c008
SYN_disk_like_r007_c007,SYN_disk_like_r008_c007
SYN_disk_like_r007_c008,SYN_disk_like_r007_c009
SYN_disk_like_r007_c008,SYN_disk_like_r008_c008
SYN_disk_like_r007_c009,SYN_disk_like_r007_c010
SYN_disk_like_r007_c009,SYN_disk_like_r008_c009
SYN_disk_like_r007_c010,SYN_disk_like_r007_c011
SYN_disk_like_r007_c010,SYN_disk_like_r008_c010
SYN_disk_like_r007_c011,SYN_disk_like_r007_c012
SYN_disk_like_r007_c011,SYN_disk_like_r008_c011
SYN_disk_like_r007_c012,SYN_disk_like_r007_c013
SYN_disk_like_r007_c012,SYN_disk_like_r008_c012
SYN_disk_like_r007_c013,SYN_disk_like_r007_c014
SYN_disk_like_r007_c013,SYN_disk_like_r008_c013
SYN_disk_like_r007_c014,SYN_disk_like_r008_c014
SYN_disk_like_r008_c001,SYN_disk_like_r008_c002
SYN_disk_like_r008_c002,SYN_disk_like_r008_c003
SYN_disk_like_r008_c002,SYN_disk_like_r009_c002
SYN_disk_like_r008_c003,SYN_disk_like_r008_c004
SYN_disk_like_r008_c003,SYN_disk_like_r009_c003
SYN_disk_like_r008_c004,SYN_disk_like_r008_c005
SYN_disk_like_r008_c004,SYN_disk_like_r009_c004
SYN_disk_like_r008_c005,SYN_disk_like_r008_c006
SYN_disk_like_r008_c005,SYN_disk_like_r009_c005
SYN_disk_like_r008_c006,SYN_disk_like_r008_c007
SYN_disk_like_r008_c006,SYN_disk_like_r009_c006
SYN_disk_like_r008_c007,SYN_disk_like_r008_c008
SYN_disk_like_r008_c007,SYN_disk_like_r009_c007
SYN_disk_like_r008_c008,SYN_disk_like_r008_c009
SYN_disk_like_r008_c008,SYN_disk_like_r009_c008
SYN_disk_like_r008_c009,SYN_disk_like_r008_c010
SYN_disk_like_r008_c009,SYN_disk_like_r009_c009
SYN_disk_like_r008_c010,SYN_disk_like_r008_c011
SYN_disk_like_r008_c010,SYN_disk_like_r009_c010
SYN_disk_like_r008_c011,SYN_disk_like_r008_c012
SYN_disk_like_r008_c011,SYN_disk_like_r009_c011
SYN_disk_like_r008_c012,SYN_disk_like_r008_c013
SYN_disk_like_r008_c012,SYN_disk_like_r009_c012
SYN_disk_like_r008_c013,SYN_disk_like_r008_c014
SYN_disk_like_r008_c013,SYN_disk_like_r009_c013
SYN_disk_like_r008_c014,SYN_disk_like_r008_c015
SYN_disk_like_r008_c014,SYN_disk_like_r009_c014
