source,target
SYN_elongated_r000_c000,SYN_elongated_r000_c001
SYN_elongated_r000_c000,SYN_elongated_r001_c000
SYN_elongated_r000_c001,SYN_elongated_r000_c002
SYN_elongated_r000_c001,SYN_elongated_r001_c001
SYN_elongated_r000_c002,SYN_elongated_r000_c003
SYN_elongated_r000_c002,SYN_elongated_r001_c002
SYN_elongated_r000_c003,SYN_elongated_r000_c004
SYN_elongated_r000_c003,SYN_elongated_r001_c003
SYN_elongated_r000_c004,SYN_elongated_r000_c005
SYN_elongated_r000_c004,SYN_elongated_r001_c004
SYN_elongated_r000_c005,SYN_elongated_r000_c006
SYN_elongated_r000_c005,SYN_elongated_r001_c005
SYN_elongated_r000_c006,SYN_elongated_r000_c007
SYN_elongated_r000_c006,SYN_elongated_r001_c006
SYN_elongated_r000_c007,SYN_elongated_r000_c008
SYN_elongated_r000_c007,SYN_elongated_r001_c007
SYN_elongated_r000_c008,SYN_elongated_r000_c009
SYN_elongated_r000_c008,SYN_elongated_r001_c008
SYN_elongated_r000_c009,SYN_elongated_r000_c010
SYN_elongated_r000_c009,SYN_elongated_r001_c009
SYN_elongated_r000_c010,SYN_elongated_r000_c011
SYN_elongated_r000_c010,SYN_elongated_r001_c010
SYN_elongated_r000_c011,SYN_elongated_r000_c012
SYN_elongated_r000_c011,SYN_elongated_r001_c011
SYN_elongated_r000_c012,SYN_elongated_r000_c013
SYN_elongated_r000_c012,SYN_elongated_r001_c012
SYN_elongated_r000_c013,SYN_elongated_r000_c014
SYN_elongated_r000_c013,SYN_elongated_r001_c013
SYN_elongated_r000_c014,SYN_elongated_r000_c015
SYN_elongated_r000_c014,SYN_elongated_r001_c014
SYN_elongated_r000_c015,SYN_elongated_r000_c016
SYN_elongated_r000_c015,SYN_elongated_r001_c015
SYN_elongated_r000_c016,SYN_elongated_r000_c017
SYN_elongated_r000_c016,SYN_elongated_r001_c016
SYN_elongated_r000_c017,SYN_elongated_r000_c018
SYN_elongated_r000_c017,SYN_elongated_r001_c017
SYN_elongated_r000_c018,SYN_elongated_r000_c019
SYN_elongated_r000_c018,SYN_elongated_r001_c018
SYN_elongated_r000_c019,SYN_elongated_r000_c020
SYN_elongated_r000_c019,SYN_elongated_r001_c019
SYN_elongated_r000_c020,SYN_elongated_r000_c021
SYN_elongated_r000_c020,SYN_elongated_r001_c020
SYN_elongated_r000_c021,SYN_elongated_r000_c022
SYN_elongated_r000_c021,SYN_elongated_r001_c021
SYN_elongated_r000_c022,SYN_elongated_r000_c023
SYN_elongated_r000_c022,SYN_elongated_r001_c022
SYN_elongated_r000_c023,SYN_elongated_r000_c024
SYN_elongated_r000_c023,SYN_elongated_r001_c023
SYN_elongated_r000_c024,SYN_elongated_r000_c025
SYN_elongated_r000_c024,SYN_elongated_r001_c024
SYN_elongated_r000_c025,SYN_elongated_r000_c026
SYN_elongated_r000_c025,SYN_elongated_r001_c025
SYN_elongated_r000_c026,SYN_elongated_r000_c027
SYN_elongated_r000_c026,SYN_elongated_r001_c026
SYN_elongated_r000_c027,SYN_elongated_r000_c028
SYN_elongated_r000_c027,SYN_elongated_r001_c027
SYN_elongated_r000_c028,SYN_elongated_r001_c028
SYN_elongated_r001_c000,SYN_elongated_r001_c001
SYN_elongated_r001_c000,SYN_elongated_r002_c000
SYN_elongated_r001_c001,SYN_elongated_r001_c002
SYN_elongated_r001_c001,SYN_elongated_r002_c001
SYN_elongated_r001_c002,SYN_elongated_r001_c003
SYN_elongated_r001_c002,SYN_elongated_r002_c002
SYN_elongated_r001_c003,SYN_elongated_r001_c004
SYN_elongated_r001_c003,SYN_elongated_r002_c003
SYN_elongated_r001_c004,SYN_elongated_r001_c005
SYN_elongated_r001_c004,SYN_elongated_r002_c004
SYN_elongated_r001_c005,SYN_elongated_r001_c006
SYN_elongated_r001_c005,SYN_elongated_r002_c005
SYN_elongated_r001_c006,SYN_elongated_r001_c007
SYN_elongated_r001_c006,SYN_elongated_r002_c006
SYN_elongated_r001_c007,SYN_elongated_r001_c008
SYN_elongated_r001_c007,SYN_elongated_r002_c007
SYN_elongated_r001_c008,SYN_elongated_r001_c009
SYN_elongated_r001_c008,SYN_elongated_r002_c008
SYN_elongated_r001_c009,SYN_elongated_r001_c010
SYN_elongated_r001_c009,SYN_elongated_r002_c009
SYN_elongated_r001_c010,SYN_elongated_r001_c011
SYN_elongated_r001_c010,SYN_elongated_r002_c010
SYN_elongated_r001_c011,SYN_elongated_r001_c012
SYN_elongated_r001_c011,SYN_elongated_r002_c011
SYN_elongated_r001_c012,SYN_elongated_r001_c013
SYN_elongated_r001_c012,SYN_elongated_r002_c012
SYN_elongated_r001_c013,SYN_elongated_r001_c014
SYN_elongated_r001_c013,SYN_elongated_r002_c013
SYN_elongated_r001_c014,SYN_elongated_r001_c015
SYN_elongated_r001_c014,SYN_elongated_r002_c014
SYN_elongated_r001_c015,SYN_elongated_r001_c016
SYN_elongated_r001_c015,SYN_elongated_r002_c015
SYN_elongated_r001_c016,SYN_elongated_r001_c017
SYN_elongated_r001_c016,SYN_elongated_r002_c016
SYN_elongated_r001_c017,SYN_elongated_r001_c018
SYN_elongated_r001_c017,SYN_elongated_r002_c017
SYN_elongated_r001_c018,SYN_elongated_r001_c019
SYN_elongated_r001_c018,SYN_elongated_r002_c018
SYN_elongated_r001_c019,SYN_elongated_r001_c020
SYN_elongated_r001_c019,SYN_elongated_r002_c019
SYN_elongated_r001_c020,SYN_elongated_r001_c021
SYN_elongated_r001_c020,SYN_elongated_r002_c020
SYN_elongated_r001_c021,SYN_elongated_r001_c022
SYN_elongated_r001_c021,SYN_elongated_r002_c021
SYN_elongated_r001_c022,SYN_elongated_r001_c023
SYN_elongated_r001_c022,SYN_elongated_r002_c022
SYN_elongated_r001_c023,SYN_elongated_r001_c024
SYN_elongated_r001_c023,SYN_elongated_r002_c023
SYN_elongated_r001_c024,SYN_elongated_r001_c025
SYN_elongated_r001_c024,SYN_elongated_r002_c024
SYN_elongated_r001_c025,SYN_elongated_r001_c026
SYN_elongated_r001_c025,SYN_elongated_r002_c025
SYN_elongated_r001_c026,SYN_elongated_r001_c027
SYN_elongated_r001_c026,SYN_elongated_r002_c026
SYN_elongated_r001_c027,SYN_elongated_r001_c028
SYN_elongated_r001_c027,SYN_elongated_r002_c027
SYN_elongated_r001_c028,SYN_elongated_r002_c028
SYN_elongated_r002_c000,SYN_elongated_r002_c001
SYN_elongated_r002_c000,SYN_elongated_r003_c000
SYN_elongated_r002_c001,SYN_elongated_r002_c002
SYN_elongated_r002_c001,SYN_elongated_r003_c001
SYN_elongated_r002_c002,SYN_elongated_r002_c003
SYN_elongated_r002_c002,SYN_elongated_r003_c002
SYN_elongated_r002_c003,SYN_elongated_r002_c004
SYN_elongated_r002_c003,SYN_elongated_r003_c003
SYN_elongated_r002_c004,SYN_elongated_r002_c005
SYN_elongated_r002_c004,SYN_elongated_r003_c004
SYN_elongated_r002_c005,SYN_elongated_r002_c006
SYN_elongated_r002_c005,SYN_elongated_r003_c005
SYN_elongated_r002_c006,SYN_elongated_r002_c007
SYN_elongated_r002_c006,SYN_elongated_r003_c006
SYN_elongated_r002_c007,SYN_elongated_r002_c008
SYN_elongated_r002_c007,SYN_elongated_r003_c007
SYN_elongated_r002_c008,SYN_elongated_r002_c009
SYN_elongated_r002_c008,SYN_elongated_r003_c008
SYN_elongated_r002_c009,SYN_elongated_r002_c010
SYN_elongated_r002_c009,SYN_elongated_r003_c009
SYN_elongated_r002_c010,SYN_elongated_r002_c011
SYN_elongated_r002_c010,SYN_elongated_r003_c010
SYN_elongated_r002_c011,SYN_elongated_r002_c012
SYN_elongated_r002_c011,SYN_elongated_r003_c011
SYN_elongated_r002_c012,SYN_elongated_r002_c013
SYN_elongated_r002_c012,SYN_elongated_r003_c012
SYN_elongated_r002_c013,SYN_elongated_r002_c014
SYN_elongated_r002_c013,SYN_elongated_r003_c013
SYN_elongated_r002_c014,SYN_elongated_r002_c015
