source,target,angle_rad
SYN_elongated_r000_c000,SYN_elongated_r000_c001,0.0
SYN_elongated_r000_c001,SYN_elongated_r000_c000,3.141592653589793
SYN_elongated_r000_c000,SYN_elongated_r001_c000,-1.5707963267948966
SYN_elongated_r001_c000,SYN_elongated_r000_c000,1.5707963267948966
SYN_elongated_r000_c001,SYN_elongated_r000_c002,0.0
SYN_elongated_r000_c002,SYN_elongated_r000_c001,3.141592653589793
SYN_elongated_r000_c001,SYN_elongated_r001_c001,-1.5707963267948966
SYN_elongated_r001_c001,SYN_elongated_r000_c001,1.5707963267948966
SYN_elongated_r000_c002,SYN_elongated_r000_c003,0.0
SYN_elongated_r000_c003,SYN_elongated_r000_c002,3.141592653589793
SYN_elongated_r000_c002,SYN_elongated_r001_c002,-1.5707963267948966
SYN_elongated_r001_c002,SYN_elongated_r000_c002,1.5707963267948966
SYN_elongated_r000_c003,SYN_elongated_r000_c004,0.0
SYN_elongated_r000_c004,SYN_elongated_r000_c003,3.141592653589793
SYN_elongated_r000_c003,SYN_elongated_r001_c003,-1.5707963267948966
SYN_elongated_r001_c003,SYN_elongated_r000_c003,1.5707963267948966
SYN_elongated_r000_c004,SYN_elongated_r000_c005,0.0
SYN_elongated_r000_c005,SYN_elongated_r000_c004,3.141592653589793
SYN_elongated_r000_c004,SYN_elongated_r001_c004,-1.5707963267948966
SYN_elongated_r001_c004,SYN_elongated_r000_c004,1.5707963267948966
SYN_elongated_r000_c005,SYN_elongated_r000_c006,0.0
SYN_elongated_r000_c006,SYN_elongated_r000_c005,3.141592653589793
SYN_elongated_r000_c005,SYN_elongated_r001_c005,-1.5707963267948966
SYN_elongated_r001_c005,SYN_elongated_r000_c005,1.5707963267948966
SYN_elongated_r000_c006,SYN_elongated_r000_c007,0.0
SYN_elongated_r000_c007,SYN_elongated_r000_c006,3.141592653589793
SYN_elongated_r000_c006,SYN_elongated_r001_c006,-1.5707963267948966
SYN_elongated_r001_c006,SYN_elongated_r000_c006,1.5707963267948966
SYN_elongated_r000_c007,SYN_elongated_r000_c008,0.0
SYN_elongated_r000_c008,SYN_elongated_r000_c007,3.141592653589793
SYN_elongated_r000_c007,SYN_elongated_r001_c007,-1.5707963267948966
SYN_elongated_r001_c007,SYN_elongated_r000_c007,1.5707963267948966
SYN_elongated_r000_c008,SYN_elongated_r000_c009,0.0
SYN_elongated_r000_c009,SYN_elongated_r000_c008,3.141592653589793
SYN_elongated_r000_c008,SYN_elongated_r001_c008,-1.5707963267948966
SYN_elongated_r001_c008,SYN_elongated_r000_c008,1.5707963267948966
SYN_elongated_r000_c009,SYN_elongated_r000_c010,0.0
SYN_elongated_r000_c010,SYN_elongated_r000_c009,3.141592653589793
SYN_elongated_r000_c009,SYN_elongated_r001_c009,-1.5707963267948966
SYN_elongated_r001_c009,SYN_elongated_r000_c009,1.5707963267948966
SYN_elongated_r000_c010,SYN_elongated_r000_c011,0.0
SYN_elongated_r000_c011,SYN_elongated_r000_c010,3.141592653589793
SYN_elongated_r000_c010,SYN_elongated_r001_c010,-1.5707963267948966
SYN_elongated_r001_c010,SYN_elongated_r000_c010,1.5707963267948966
SYN_elongated_r000_c011,SYN_elongated_r000_c012,0.0
SYN_elongated_r000_c012,SYN_elongated_r000_c011,3.141592653589793
SYN_elongated_r000_c011,SYN_elongated_r001_c011,-1.5707963267948966
SYN_elongated_r001_c011,SYN_elongated_r000_c011,1.5707963267948966
SYN_elongated_r000_c012,SYN_elongated_r000_c013,0.0
SYN_elongated_r000_c013,SYN_elongated_r000_c012,3.141592653589793
SYN_elongated_r000_c012,SYN_elongated_r001_c012,-1.5707963267948966
SYN_elongated_r001_c012,SYN_elongated_r000_c012,1.5707963267948966
SYN_elongated_r000_c013,SYN_elongated_r000_c014,0.0
SYN_elongated_r000_c014,SYN_elongated_r000_c013,3.141592653589793
SYN_elongated_r000_c013,SYN_elongated_r001_c013,-1.5707963267948966
SYN_elongated_r001_c013,SYN_elongated_r000_c013,1.5707963267948966
SYN_elongated_r000_c014,SYN_elongated_r000_c015,0.0
SYN_elongated_r000_c015,SYN_elongated_r000_c014,3.141592653589793
SYN_elongated_r000_c014,SYN_elongated_r001_c014,-1.5707963267948966
SYN_elongated_r001_c014,SYN_elongated_r000_c014,1.5707963267948966
SYN_elongated_r000_c015,SYN_elongated_r000_c016,0.0
SYN_elongated_r000_c016,SYN_elongated_r000_c015,3.141592653589793
SYN_elongated_r000_c015,SYN_elongated_r001_c015,-1.5707963267948966
SYN_elongated_r001_c015,SYN_elongated_r000_c015,1.5707963267948966
SYN_elongated_r000_c016,SYN_elongated_r000_c017,0.0
SYN_elongated_r000_c017,SYN_elongated_r000_c016,3.141592653589793
SYN_elongated_r000_c016,SYN_elongated_r001_c016,-1.5707963267948966
SYN_elongated_r001_c016,SYN_elongated_r000_c016,1.5707963267948966
SYN_elongated_r000_c017,SYN_elongated_r000_c018,0.0
SYN_elongated_r000_c018,SYN_elongated_r000_c017,3.141592653589793
SYN_elongated_r000_c017,SYN_elongated_r001_c017,-1.5707963267948966
SYN_elongated_r001_c017,SYN_elongated_r000_c017,1.5707963267948966
SYN_elongated_r000_c018,SYN_elongated_r000_c019,0.0
SYN_elongated_r000_c019,SYN_elongated_r000_c018,3.141592653589793
SYN_elongated_r000_c018,SYN_elongated_r001_c018,-1.5707963267948966
SYN_elongated_r001_c018,SYN_elongated_r000_c018,1.5707963267948966
SYN_elongated_r000_c019,SYN_elongated_r000_c020,0.0
SYN_elongated_r000_c020,SYN_elongated_r000_c019,3.141592653589793
SYN_elongated_r000_c019,SYN_elongated_r001_c019,-1.5707963267948966
SYN_elongated_r001_c019,SYN_elongated_r000_c019,1.5707963267948966
SYN_elongated_r000_c020,SYN_elongated_r000_c021,0.0
SYN_elongated_r000_c021,SYN_elongated_r000_c020,3.141592653589793
SYN_elongated_r000_c020,SYN_elongated_r001_c020,-1.5707963267948966
SYN_elongated_r001_c020,SYN_elongated_r000_c020,1.5707963267948966
SYN_elongated_r000_c021,SYN_elongated_r000_c022,0.0
SYN_elongated_r000_c022,SYN_elongated_r000_c021,3.141592653589793
SYN_elongated_r000_c021,SYN_elongated_r001_c021,-1.5707963267948966
SYN_elongated_r001_c021,SYN_elongated_r000_c021,1.5707963267948966
SYN_elongated_r000_c022,SYN_elongated_r000_c023,0.0
SYN_elongated_r000_c023,SYN_elongated_r000_c022,3.141592653589793
SYN_elongated_r000_c022,SYN_elongated_r001_c022,-1.5707963267948966
SYN_elongated_r001_c022,SYN_elongated_r000_c022,1.5707963267948966
SYN_elongated_r000_c023,SYN_elongated_r000_c024,0.0
SYN_elongated_r000_c024,SYN_elongated_r000_c023,3.141592653589793
