source,target,angle_rad
SYN_hole_r000_c000,SYN_hole_r000_c001,0.0
SYN_hole_r000_c001,SYN_hole_r000_c000,3.141592653589793
SYN_hole_r000_c000,SYN_hole_r001_c000,-1.5707963267948966
SYN_hole_r001_c000,SYN_hole_r000_c000,1.5707963267948966
SYN_hole_r000_c001,SYN_hole_r000_c002,0.0
SYN_hole_r000_c002,SYN_hole_r000_c001,3.141592653589793
SYN_hole_r000_c001,SYN_hole_r001_c001,-1.5707963267948966
SYN_hole_r001_c001,SYN_hole_r000_c001,1.5707963267948966
SYN_hole_r000_c002,SYN_hole_r000_c003,0.0
SYN_hole_r000_c003,SYN_hole_r000_c002,3.141592653589793
SYN_hole_r000_c002,SYN_hole_r001_c002,-1.5707963267948966
SYN_hole_r001_c002,SYN_hole_r000_c002,1.5707963267948966
SYN_hole_r000_c003,SYN_hole_r000_c004,0.0
SYN_hole_r000_c004,SYN_hole_r000_c003,3.141592653589793
SYN_hole_r000_c003,SYN_hole_r001_c003,-1.5707963267948966
SYN_hole_r001_c003,SYN_hole_r000_c003,1.5707963267948966
SYN_hole_r000_c004,SYN_hole_r000_c005,0.0
SYN_hole_r000_c005,SYN_hole_r000_c004,3.141592653589793
SYN_hole_r000_c004,SYN_hole_r001_c004,-1.5707963267948966
SYN_hole_r001_c004,SYN_hole_r000_c004,1.5707963267948966
SYN_hole_r000_c005,SYN_hole_r000_c006,0.0
SYN_hole_r000_c006,SYN_hole_r000_c005,3.141592653589793
SYN_hole_r000_c005,SYN_hole_r001_c005,-1.5707963267948966
SYN_hole_r001_c005,SYN_hole_r000_c005,1.5707963267948966
SYN_hole_r000_c006,SYN_hole_r000_c007,0.0
SYN_hole_r000_c007,SYN_hole_r000_c006,3.141592653589793
SYN_hole_r000_c006,SYN_hole_r001_c006,-1.5707963267948966
SYN_hole_r001_c006,SYN_hole_r000_c006,1.5707963267948966
SYN_hole_r000_c007,SYN_hole_r000_c008,0.0
SYN_hole_r000_c008,SYN_hole_r000_c007,3.141592653589793
SYN_hole_r000_c007,SYN_hole_r001_c007,-1.5707963267948966
SYN_hole_r001_c007,SYN_hole_r000_c007,1.5707963267948966
SYN_hole_r000_c008,SYN_hole_r000_c009,0.0
SYN_hole_r000_c009,SYN_hole_r000_c008,3.141592653589793
SYN_hole_r000_c008,SYN_hole_r001_c008,-1.5707963267948966
SYN_hole_r001_c008,SYN_hole_r000_c008,1.5707963267948966
SYN_hole_r000_c009,SYN_hole_r000_c010,0.0
SYN_hole_r000_c010,SYN_hole_r000_c009,3.141592653589793
SYN_hole_r000_c009,SYN_hole_r001_c009,-1.5707963267948966
SYN_hole_r001_c009,SYN_hole_r000_c009,1.5707963267948966
SYN_hole_r000_c010,SYN_hole_r000_c011,0.0
SYN_hole_r000_c011,SYN_hole_r000_c010,3.141592653589793
SYN_hole_r000_c010,SYN_hole_r001_c010,-1.5707963267948966
SYN_hole_r001_c010,SYN_hole_r000_c010,1.5707963267948966
SYN_hole_r000_c011,SYN_hole_r000_c012,0.0
SYN_hole_r000_c012,SYN_hole_r000_c011,3.141592653589793
SYN_hole_r000_c011,SYN_hole_r001_c011,-1.5707963267948966
SYN_hole_r001_c011,SYN_hole_r000_c011,1.5707963267948966
SYN_hole_r000_c012,SYN_hole_r000_c013,0.0
SYN_hole_r000_c013,SYN_hole_r000_c012,3.141592653589793
SYN_hole_r000_c012,SYN_hole_r001_c012,-1.5707963267948966
SYN_hole_r001_c012,SYN_hole_r000_c012,1.5707963267948966
SYN_hole_r000_c013,SYN_hole_r000_c014,0.0
