cell_id,region_id,block_row,block_col,longitude,latitude,scalar_value,original_area_degree2,theta,rho,is_boundary,polygon_wkt
SYN_l_shape_r000_c000,Synthetic-l_shape,0,0,0.0,16.0,-0.07232577525325448,1.0,1.8134838161298312,0.9411764705882353,True,"POLYGON ((-0.5 15.5, 0.5 15.5, 0.5 16.5, -0.5 16.5, -0.5 15.5))"
SYN_l_shape_r000_c001,Synthetic-l_shape,0,1,1.0,16.0,0.27057203220219683,1.0,1.693953366399516,0.9411764705882355,True,"POLYGON ((0.5 15.5, 1.5 15.5, 1.5 16.5, 0.5 16.5, 0.5 15.5))"
SYN_l_shape_r000_c002,Synthetic-l_shape,0,2,2.0,16.0,0.5718919119844366,1.0,1.5707963267948966,0.9411764705882353,True,"POLYGON ((1.5 15.5, 2.5 15.5, 2.5 16.5, 1.5 16.5, 1.5 15.5))"
SYN_l_shape_r000_c003,Synthetic-l_shape,0,3,3.0,16.0,0.7950974503407624,1.0,1.4476392871902772,0.9411764705882355,True,"POLYGON ((2.5 15.5, 3.5 15.5, 3.5 16.5, 2.5 16.5, 2.5 15.5))"
SYN_l_shape_r000_c004,Synthetic-l_shape,0,4,4.0,16.0,0.9131239547352057,1.0,1.3281088374599619,0.9411764705882353,True,"POLYGON ((3.5 15.5, 4.5 15.5, 4.5 16.5, 3.5 16.5, 3.5 15.5))"
SYN_l_shape_r000_c005,Synthetic-l_shape,0,5,5.0,16.0,0.9116601716206825,1.0,1.2152290281162454,0.9411764705882354,True,"POLYGON ((4.5 15.5, 5.5 15.5, 5.5 16.5, 4.5 16.5, 4.5 15.5))"
SYN_l_shape_r000_c006,Synthetic-l_shape,0,6,6.0,16.0,0.7908835913956195,1.0,1.1110490621342008,0.9411764705882353,True,"POLYGON ((5.5 15.5, 6.5 15.5, 6.5 16.5, 5.5 16.5, 5.5 15.5))"
SYN_l_shape_r000_c007,Synthetic-l_shape,0,7,7.0,16.0,0.5654389268812495,1.0,1.0165828746794332,0.9411764705882352,True,"POLYGON ((6.5 15.5, 7.5 15.5, 7.5 16.5, 6.5 16.5, 6.5 15.5))"
SYN_l_shape_r000_c008,Synthetic-l_shape,0,8,8.0,16.0,0.26266237490265065,1.0,0.9319829341800102,0.9411764705882354,True,"POLYGON ((7.5 15.5, 8.5 15.5, 8.5 16.5, 7.5 16.5, 7.5 15.5))"
SYN_l_shape_r000_c009,Synthetic-l_shape,0,9,9.0,16.0,-0.0807330226204031,1.0,0.8568096323949858,0.9411764705882353,True,"POLYGON ((8.5 15.5, 9.5 15.5, 9.5 16.5, 8.5 16.5, 8.5 15.5))"
SYN_l_shape_r000_c010,Synthetic-l_shape,0,10,10.0,16.0,-0.42310900294287435,1.0,0.7902878834556293,0.9411764705882352,True,"POLYGON ((9.5 15.5, 10.5 15.5, 10.5 16.5, 9.5 16.5, 9.5 15.5))"
SYN_l_shape_r000_c011,Synthetic-l_shape,0,11,11.0,16.0,-0.7229509123184215,1.0,0.7315011244745174,0.9411764705882355,True,"POLYGON ((10.5 15.5, 11.5 15.5, 11.5 16.5, 10.5 16.5, 10.5 15.5))"
SYN_l_shape_r000_c012,Synthetic-l_shape,0,12,12.0,16.0,-0.9439015476668422,1.0,0.6795165285026658,0.9411764705882353,True,"POLYGON ((11.5 15.5, 12.5 15.5, 12.5 16.5, 11.5 16.5, 11.5 15.5))"
SYN_l_shape_r000_c013,Synthetic-l_shape,0,13,13.0,16.0,-1.059169633756491,1.0,0.6334551505440876,0.9411764705882353,True,"POLYGON ((12.5 15.5, 13.5 15.5, 13.5 16.5, 12.5 16.5, 12.5 15.5))"
SYN_l_shape_r000_c014,Synthetic-l_shape,0,14,14.0,16.0,-1.0547783878775872,1.0,0.592524701102128,0.9411764705882355,True,"POLYGON ((13.5 15.5, 14.5 15.5, 14.5 16.5, 13.5 16.5, 13.5 15.5))"
SYN_l_shape_r000_c015,Synthetic-l_shape,0,15,15.0,16.0,-0.9312602686798465,1.0,0.5560297013196526,0.9411764705882353,True,"POLYGON ((14.5 15.5, 15.5 15.5, 15.5 16.5, 14.5 16.5, 14.5 15.5))"
SYN_l_shape_r000_c016,Synthetic-l_shape,0,16,16.0,16.0,-0.7035924131255761,1.0,0.523369288673539,0.9655172413793103,True,"POLYGON ((15.5 15.5, 16.5 15.5, 16.5 16.5, 15.5 16.5, 15.5 15.5))"
