analysis,view,node_group,metric,refined_method,comparator,region_count,mean_difference,ci95_low,ci95_high,paired_sign_flip_p,refined_better_count,paired_sign_flip_p_holm,holm_family_size
shared_boundary_weighted,disk,all_edges,weighted_adj_f1,GeoDisk-Final,GeoDisk,8,0.16382058745813888,0.13482670121552712,0.1906229472404702,0.0078125,8,0.0390625,5
shared_boundary_weighted,disk,all_edges,weighted_adj_f1,GeoDisk-Final,Direct Polar,8,-0.11022481689346958,-0.14118786105914063,-0.0820043217361573,0.0078125,0,0.0390625,5
shared_boundary_weighted,disk,all_edges,weighted_adj_f1,GeoDisk-Final,Harmonic,8,0.05335662573595766,0.013015427933085716,0.10895334910048143,0.03125,6,0.0390625,5
shared_boundary_weighted,disk,all_edges,weighted_adj_f1,GeoDisk-Final,Area-balanced,8,0.07108114493197569,0.062284947737216066,0.08077717144663948,0.0078125,8,0.0390625,5
shared_boundary_weighted,disk,all_edges,weighted_adj_f1,GeoDisk-Final,Regular Topology,8,0.20712488570984336,0.18404014710943314,0.2269937986345527,0.0078125,8,0.0390625,5
shared_boundary_weighted,annulus,all_edges,weighted_adj_f1,GeoAnnulus-Final,GeoAnnulus,8,0.13474704907078272,0.12245383206385457,0.14744941216873456,0.0078125,8,0.0390625,5
shared_boundary_weighted,annulus,all_edges,weighted_adj_f1,GeoAnnulus-Final,Direct Polar,8,-0.18931303631156274,-0.21988566076038613,-0.1624080255409167,0.0078125,0,0.0390625,5
shared_boundary_weighted,annulus,all_edges,weighted_adj_f1,GeoAnnulus-Final,Harmonic,8,0.050457325683723006,0.022150531660309863,0.08178362819892304,0.0078125,8,0.0390625,5
shared_boundary_weighted,annulus,all_edges,weighted_adj_f1,GeoAnnulus-Final,Area-balanced,8,0.11042947519945413,0.0995561049556183,0.12270113324688434,0.0078125,8,0.0390625,5
shared_boundary_weighted,annulus,all_edges,weighted_adj_f1,GeoAnnulus-Final,Regular Topology,8,0.15475571000747373,0.12644765744242287,0.1852527302642713,0.0078125,8,0.0390625,5
shared_boundary_weighted,disk,all_edges,weighted_edge_overlap,GeoDisk-Final,GeoDisk,8,0.046928430126007864,0.024099548054062978,0.06849871354205046,0.015625,7,0.0625,5
shared_boundary_weighted,disk,all_edges,weighted_edge_overlap,GeoDisk-Final,Direct Polar,8,-0.07872714817468897,-0.10811247709500274,-0.05304594492931779,0.0078125,0,0.0390625,5
shared_boundary_weighted,disk,all_edges,weighted_edge_overlap,GeoDisk-Final,Harmonic,8,0.00291714673530806,-0.004814495621447699,0.011314023898773505,0.5390625,4,0.5390625,5
shared_boundary_weighted,disk,all_edges,weighted_edge_overlap,GeoDisk-Final,Area-balanced,8,0.02272823366289639,0.008620248308075066,0.03638833076614076,0.046875,6,0.09375,5
shared_boundary_weighted,disk,all_edges,weighted_edge_overlap,GeoDisk-Final,Regular Topology,8,0.04860893080899138,0.021935974433851323,0.0773262711978229,0.015625,7,0.0625,5
shared_boundary_weighted,annulus,all_edges,weighted_edge_overlap,GeoAnnulus-Final,GeoAnnulus,8,0.044361688773903424,0.02577918921369709,0.0609246267325855,0.0078125,8,0.0390625,5
shared_boundary_weighted,annulus,all_edges,weighted_edge_overlap,GeoAnnulus-Final,Direct Polar,8,-0.08510844069176368,-0.10063031104151843,-0.07013985277318231,0.0078125,0,0.0390625,5
shared_boundary_weighted,annulus,all_edges,weighted_edge_overlap,GeoAnnulus-Final,Harmonic,8,0.011352138719928549,0.005476138281621409,0.017229274433677874,0.0234375,7,0.046875,5
shared_boundary_weighted,annulus,all_edges,weighted_edge_overlap,GeoAnnulus-Final,Area-balanced,8,0.030509593552080046,0.021795991009459316,0.03993703444884072,0.0078125,8,0.0390625,5
shared_boundary_weighted,annulus,all_edges,weighted_edge_overlap,GeoAnnulus-Final,Regular Topology,8,0.03212118404796481,-0.0037231057611760814,0.05924195916489683,0.109375,7,0.109375,5
boundary_interior,disk,boundary,node_adj_f1,GeoDisk-Final,GeoDisk,8,0.08731720841435887,0.06576529029833261,0.1065595779129634,0.0078125,8,0.0390625,5
boundary_interior,disk,boundary,node_adj_f1,GeoDisk-Final,Direct Polar,8,-0.11332618444332734,-0.13708435532556695,-0.08975414237553489,0.0078125,0,0.0390625,5
boundary_interior,disk,boundary,node_adj_f1,GeoDisk-Final,Harmonic,8,0.0754874394662724,0.02818891750527909,0.1426841904015816,0.015625,7,0.0390625,5
boundary_interior,disk,boundary,node_adj_f1,GeoDisk-Final,Area-balanced,8,0.041138209775360424,0.029993874840842843,0.049921968319485276,0.0078125,8,0.0390625,5
boundary_interior,disk,boundary,node_adj_f1,GeoDisk-Final,Regular Topology,8,0.16575159835506137,0.1483564480363017,0.18582275229683953,0.0078125,8,0.0390625,5
boundary_interior,annulus,boundary,node_adj_f1,GeoAnnulus-Final,GeoAnnulus,8,0.06865851630091299,0.03479726188473864,0.09448307613147967,0.015625,7,0.046875,5
boundary_interior,annulus,boundary,node_adj_f1,GeoAnnulus-Final,Direct Polar,8,-0.08042917910223694,-0.11697302434190679,-0.046376408508970596,0.0078125,0,0.0390625,5
boundary_interior,annulus,boundary,node_adj_f1,GeoAnnulus-Final,Harmonic,8,0.09356670547817562,0.04778432695498612,0.14654372364541118,0.015625,7,0.046875,5
boundary_interior,annulus,boundary,node_adj_f1,GeoAnnulus-Final,Area-balanced,8,0.061794623030959867,0.03090298403366441,0.08495700468129205,0.015625,7,0.046875,5
boundary_interior,annulus,boundary,node_adj_f1,GeoAnnulus-Final,Regular Topology,8,0.1776710361569362,0.1479521633826884,0.20896411216972366,0.0078125,8,0.0390625,5
boundary_interior,disk,boundary,node_neighbor_jaccard,GeoDisk-Final,GeoDisk,8,0.09019962988131786,0.0674866966813299,0.11092040827658134,0.0078125,8,0.0390625,5
boundary_interior,disk,boundary,node_neighbor_jaccard,GeoDisk-Final,Direct Polar,8,-0.16016816746168525,-0.1925785093587925,-0.1283912674673544,0.0078125,0,0.0390625,5
boundary_interior,disk,boundary,node_neighbor_jaccard,GeoDisk-Final,Harmonic,8,0.0666090781793683,0.02462584813834264,0.12298844009727875,0.015625,7,0.0390625,5
boundary_interior,disk,boundary,node_neighbor_jaccard,GeoDisk-Final,Area-balanced,8,0.04355142811033134,0.03232607178986632,0.052484188322578056,0.0078125,8,0.0390625,5
boundary_interior,disk,boundary,node_neighbor_jaccard,GeoDisk-Final,Regular Topology,8,0.17378613903282686,0.15301704562140514,0.19900121489730152,0.0078125,8,0.0390625,5
boundary_interior,annulus,boundary,node_neighbor_jaccard,GeoAnnulus-Final,GeoAnnulus,8,0.07748104997113743,0.036817101891999986,0.11064425968121376,0.015625,7,0.046875,5
boundary_interior,annulus,boundary,node_neighbor_jaccard,GeoAnnulus-Final,Direct Polar,8,-0.10611607008040318,-0.15333064622703843,-0.06301341456039683,0.0078125,0,0.0390625,5
boundary_interior,annulus,boundary,node_neighbor_jaccard,GeoAnnulus-Final,Harmonic,8,0.09057544017565196,0.047786232101117744,0.13333899536655272,0.015625,7,0.046875,5
boundary_interior,annulus,boundary,node_neighbor_jaccard,GeoAnnulus-Final,Area-balanced,8,0.06872558989773495,0.03205022143756079,0.09589042931791783,0.015625,7,0.046875,5
