rank,cell_id,transition,before,after,delta,absolute_delta,theta,rho,reference_degree,neighbor_cell_ids,neighbor_mean_delta,neighbor_same_sign_fraction
1,CEG2000_f4_r0030_c0102,M11-M12,53.28779770668197,78.81111534793088,25.52331764124891,25.52331764124891,-0.4411205129886998,0.5279282297080792,4,CEG2000_f4_r0029_c0102|CEG2000_f4_r0030_c0101|CEG2000_f4_r0030_c0103|CEG2000_f4_r0031_c0102,23.86121719054771,1.0
2,CEG2000_f4_r0034_c0096,M11-M12,67.29267452953461,92.59680124332831,25.304126713793707,25.304126713793707,2.1595000629385313,0.7049306145161567,3,CEG2000_f4_r0033_c0096|CEG2000_f4_r0034_c0095|CEG2000_f4_r0034_c0097,21.619780771089665,1.0
3,CEG2000_f4_r0030_c0101,M11-M12,57.25381304127776,82.49286666890784,25.23905362763008,25.23905362763008,-0.5546599389145968,0.4859115576440849,4,CEG2000_f4_r0029_c0101|CEG2000_f4_r0030_c0100|CEG2000_f4_r0030_c0102|CEG2000_f4_r0031_c0101,23.351513318567704,1.0
4,CEG2000_f4_r0031_c0100,M11-M12,60.78177477615948,85.29045796306475,24.508683186905273,24.508683186905273,-0.3546002716901793,0.276743439984968,4,CEG2000_f4_r0030_c0100|CEG2000_f4_r0031_c0099|CEG2000_f4_r0031_c0101|CEG2000_f4_r0032_c0100,23.048238707690935,1.0
5,CEG2000_f4_r0033_c0099,M11-M12,56.641213605813455,81.01153382308551,24.37032021727206,24.37032021727206,0.9016727363798072,0.5589592866799306,4,CEG2000_f4_r0032_c0099|CEG2000_f4_r0033_c0098|CEG2000_f4_r0033_c0100|CEG2000_f4_r0034_c0099,22.072858181941434,1.0
6,CEG2000_f4_r0031_c0102,M11-M12,51.08161101928188,75.43200683852035,24.35039581923847,24.35039581923847,-0.1917043049258803,0.588586219302382,4,CEG2000_f4_r0030_c0102|CEG2000_f4_r0031_c0101|CEG2000_f4_r0031_c0103|CEG2000_f4_r0032_c0102,23.3227268637067,1.0
7,CEG2000_f4_r0030_c0103,M11-M12,49.98235107539315,74.24931917779638,24.266968102403233,24.266968102403233,-0.3643809232754383,0.6535213310281808,4,CEG2000_f4_r0029_c0103|CEG2000_f4_r0030_c0102|CEG2000_f4_r0030_c0104|CEG2000_f4_r0031_c0103,22.13135467944396,1.0
8,CEG2000_f4_r0033_c0100,M11-M12,52.81602155761653,77.05736346468763,24.241341907071096,24.241341907071096,0.5924667531586175,0.8248296251713835,4,CEG2000_f4_r0032_c0100|CEG2000_f4_r0033_c0099|CEG2000_f4_r0033_c0101|CEG2000_f4_r0034_c0100,23.670144841249634,1.0
9,CEG2000_f4_r0034_c0100,M11-M12,49.92162726604701,73.83776089703058,23.91613363098357,23.91613363098357,0.9428149230162756,0.918843790972654,2,CEG2000_f4_r0033_c0100|CEG2000_f4_r0034_c0099,23.834087093837994,1.0
10,CEG2000_f4_r0031_c0101,M11-M12,56.41744297023114,80.28679926198726,23.869356291756112,23.869356291756112,-0.2493725611591326,0.4373174436968576,4,CEG2000_f4_r0030_c0101|CEG2000_f4_r0031_c0100|CEG2000_f4_r0031_c0102|CEG2000_f4_r0032_c0101,24.07522293630482,1.0
