method,view,tolerance,dataset_count,adj_precision,adj_recall,adj_f1,np2
Area-balanced,annulus,1e-06,10,0.5403324997970486,0.7526611159349705,0.626956085934688,0.5549871891411077
Area-balanced,annulus,5e-06,10,0.5403324997970486,0.7526611159349705,0.626956085934688,0.5549871891411077
Area-balanced,annulus,2e-05,10,0.5403324997970486,0.7526611159349705,0.626956085934688,0.5549871891411077
Area-balanced,annulus,0.0001,10,0.5403324997970486,0.7526611159349705,0.626956085934688,0.5549871891411077
Area-balanced,annulus,0.0005,10,0.5405493340174309,0.7526611159349705,0.6271051879340103,0.5553845061574068
Area-balanced,disk,1e-06,10,0.5909279549608794,0.8799092781990326,0.7051272948097712,0.5926759165269019
Area-balanced,disk,5e-06,10,0.5909279549608794,0.8799092781990326,0.7051272948097712,0.5926759165269019
Area-balanced,disk,2e-05,10,0.5909279549608794,0.8799092781990326,0.7051272948097712,0.5926759165269019
Area-balanced,disk,0.0001,10,0.5909279549608794,0.8799092781990326,0.7051272948097712,0.5926759165269019
Area-balanced,disk,0.0005,10,0.5912613801468811,0.8799092781990326,0.7053704131541554,0.5931079303937898
Direct Polar,annulus,1e-06,10,0.5925269111895182,0.8745236295440113,0.6903610661409816,0.571089199875198
Direct Polar,annulus,5e-06,10,0.6053231412259333,0.9921035800759826,0.7408614027440084,0.6486971070282194
Direct Polar,annulus,2e-05,10,0.6303814855203593,0.9946140303231349,0.7591216342690232,0.6801820620296198
Direct Polar,annulus,0.0001,10,0.6304316202650273,0.995558699688857,0.7592482680181313,0.6804114423198523
Direct Polar,annulus,0.0005,10,0.628660067331076,0.9970431801207058,0.7573319344922356,0.6796070177776707
Direct Polar,disk,1e-06,10,0.612471548056392,0.8497581598259545,0.6928660728037858,0.5508677756014044
Direct Polar,disk,5e-06,10,0.6357641368586979,0.9942633200072294,0.762955165574376,0.6731546850976396
Direct Polar,disk,2e-05,10,0.6765372407585867,0.9942633200072294,0.7898660115479179,0.7083892305679735
Direct Polar,disk,0.0001,10,0.6955652166901656,0.9952079893729515,0.801793061132417,0.7315929573089047
Direct Polar,disk,0.0005,10,0.6942446892352135,0.9966924698048002,0.8001332088326771,0.7306065754756716
GeoAnnulus,annulus,1e-06,10,0.5280616248972414,0.7191573862950978,0.6070780361667578,0.5301138371085737
GeoAnnulus,annulus,5e-06,10,0.5280616248972414,0.7191573862950978,0.6070780361667578,0.5301138371085737
GeoAnnulus,annulus,2e-05,10,0.5280616248972414,0.7191573862950978,0.6070780361667578,0.5301138371085737
GeoAnnulus,annulus,0.0001,10,0.5280616248972414,0.7191573862950978,0.6070780361667578,0.5301138371085737
GeoAnnulus,annulus,0.0005,10,0.5280261488832628,0.7191573862950978,0.6070533723039184,0.5300988354829508
GeoDisk,disk,1e-06,10,0.5261093624624972,0.7927769482018066,0.6308884807752485,0.5299896455280951
GeoDisk,disk,5e-06,10,0.5261093624624972,0.7927769482018066,0.6308884807752485,0.5299896455280951
GeoDisk,disk,2e-05,10,0.5261093624624972,0.7927769482018066,0.6308884807752485,0.5299896455280951
GeoDisk,disk,0.0001,10,0.5261093624624972,0.7927769482018066,0.6308884807752485,0.5299896455280951
GeoDisk,disk,0.0005,10,0.5263778324441437,0.7931901713423024,0.6312094338430654,0.5304245084905731
Harmonic,annulus,1e-06,10,0.5820486690418967,0.7999881108049541,0.672400033885158,0.5829032809068605
Harmonic,annulus,5e-06,10,0.5820486690418967,0.7999881108049541,0.672400033885158,0.5829032809068605
Harmonic,annulus,2e-05,10,0.5820486690418967,0.7999881108049541,0.672400033885158,0.5829032809068605
Harmonic,annulus,0.0001,10,0.5820065269923541,0.7998531580384224,0.6723257089132333,0.5827974937873577
Harmonic,annulus,0.0005,10,0.5822666371119667,0.7998531580384224,0.6725063166516817,0.5830835710544963
Harmonic,disk,1e-06,10,0.5997715244224375,0.8694357578541284,0.707966513529527,0.6030372433245645
Harmonic,disk,5e-06,10,0.5997715244224375,0.8694357578541284,0.707966513529527,0.6030372433245645
Harmonic,disk,2e-05,10,0.5997715244224375,0.8694357578541284,0.707966513529527,0.6030372433245645
Harmonic,disk,0.0001,10,0.5998777213239868,0.8694357578541284,0.7080425060420293,0.6031217777627755
Harmonic,disk,0.0005,10,0.6001347780695829,0.8689913134096839,0.7080833923136499,0.603310410649603
Regular Topology,annulus,1e-06,10,0.48090612828072776,0.6885195931792489,0.5646638205136121,0.4495623089973213
Regular Topology,annulus,5e-06,10,0.4809423132218694,0.6885195931792489,0.5646884878826574,0.4497410974176467
Regular Topology,annulus,2e-05,10,0.48055925810219574,0.6883846404127171,0.5643800646868199,0.4500303329461257
Regular Topology,annulus,0.0001,10,0.48055925810219574,0.6883846404127171,0.5643800646868199,0.4500303329461257
Regular Topology,annulus,0.0005,10,0.48059486927205003,0.6883846404127171,0.5644044766404146,0.45007387908213864
Regular Topology,disk,1e-06,10,0.4226244947711364,0.7533337148126618,0.5376807699122532,0.4251732459799051
Regular Topology,disk,5e-06,10,0.42260901392374073,0.7533337148126618,0.5376656860088712,0.4253147767370953
Regular Topology,disk,2e-05,10,0.42242770905103233,0.75319876204613,0.5374642211347983,0.42560401226557437
Regular Topology,disk,0.0001,10,0.42242770905103233,0.75319876204613,0.5374642211347983,0.42560401226557437
Regular Topology,disk,0.0005,10,0.4224430124846769,0.75319876204613,0.5374791741417557,0.42563595217564487
