variant,removed_objective_term,view,region_count,adj_f1,np2,local_direction_error_deg,angular_error_deg,radial_spearman,area_cv,invalid_polygon_count
Full objective,none,annulus,2,0.7014131383675251,0.5835667369108486,20.841527739299067,1.8838377401176398,0.9651349372631566,1.4483925876697965,0
Full objective,none,disk,2,0.7587888858118711,0.6156227513685739,16.87897178921005,4.554465714151266,0.9728443551229421,1.0316410370202151,0
No NP@2,neighborhood,annulus,2,0.7014131383675251,0.5835667369108486,20.841527739299067,1.8838377401176398,0.9651349372631566,1.4483925876697965,0
No NP@2,neighborhood,disk,2,0.7507416202460477,0.6062464121410343,17.113394161086497,4.514776667617272,0.974564984928074,1.0315103430733057,0
No angular,angular,annulus,2,0.7014131383675251,0.5835667369108486,20.841527739299067,1.8838377401176398,0.9651349372631566,1.4483925876697965,0
No angular,angular,disk,2,0.7587888858118711,0.6156227513685739,16.87897178921005,4.554465714151266,0.9728443551229421,1.0316410370202151,0
No area CV,area_cv,annulus,2,0.7014131383675251,0.5835667369108486,20.841527739299067,1.8838377401176398,0.9651349372631566,1.4483925876697965,0
No area CV,area_cv,disk,2,0.7587888858118711,0.6156227513685739,16.87897178921005,4.554465714151266,0.9728443551229421,1.0316410370202151,0
No local direction,local_direction,annulus,2,0.7014131383675251,0.5835667369108486,20.841527739299067,1.8838377401176398,0.9651349372631566,1.4483925876697965,0
No local direction,local_direction,disk,2,0.7587888858118711,0.6156227513685739,16.87897178921005,4.554465714151266,0.9728443551229421,1.0316410370202151,0
No radial,radial,annulus,2,0.7014131383675251,0.5835667369108486,20.841527739299067,1.8838377401176398,0.9651349372631566,1.4483925876697965,0
No radial,radial,disk,2,0.7587888858118711,0.6156227513685739,16.87897178921005,4.554465714151266,0.9728443551229421,1.0316410370202151,0
