dataset,dataset_family,method,view,cell_count,slot_objective_initial,slot_objective_final,final_power_objective_initial,final_power_objective_optimized,final_power_f1_before_refinement,selected_candidate,adj_precision,adj_recall,adj_f1,original_edge_count,display_edge_count,preserved_edge_count,lost_edge_count,new_edge_count,np2,np3,local_direction_error_deg,angular_error_deg,radial_spearman,area_cv,overlap_ratio,gap_ratio,invalid_polygon_count
湖北,ceg,GeoDisk-Final,disk,130,0.5409996345901458,0.5655722018316786,0.6327789674610121,0.8436898578869286,0.5823223570190641,force_4,0.6257142857142857,0.9733333333333334,0.7617391304347825,225,350,219,6,131,0.6296832361758535,0.6360492194729143,16.787816515354038,2.9691988954186,0.9607696404429937,0.6957682015187512,0.0,1.2722360648694803e-15,0
湖北,ceg,GeoAnnulus-Final,annulus,130,0.5409996345901458,0.5655722018316786,0.6369834249272301,0.7755602732122008,0.5828779599271402,force_4,0.5975609756097561,0.8711111111111111,0.7088607594936708,225,328,196,29,132,0.5965785802050131,0.6245062530729456,21.086496670801594,1.262302969434641,0.9529913012604296,0.9267175071141432,3.673585310895937e-16,0.0,0
湖南,ceg,GeoDisk-Final,disk,137,0.6101042822755209,0.6557759355366675,0.7447223156957701,0.8946680177076907,0.6655737704918032,force_4,0.6584699453551912,0.9958677685950413,0.7927631578947367,242,366,241,1,125,0.6592319911826815,0.6592964318020283,12.447515650650766,3.7329551610344005,0.9785082233464633,0.3242384454847634,0.0,1.5549551903960315e-15,0
湖南,ceg,GeoAnnulus-Final,annulus,137,0.6101042822755209,0.6557759355366675,0.7287046277282976,0.848537276957901,0.6518771331058021,force_4,0.6491228070175439,0.9173553719008265,0.7602739726027398,242,342,222,20,120,0.6511536841851411,0.6724421559543837,18.25841642906623,1.5054329338182333,0.9402990647226838,0.6094188751705556,0.0,1.4694341243583748e-15,0
江西,ceg,GeoDisk-Final,disk,107,0.5972186309899061,0.619126205635961,0.764344561078144,0.8945052418075431,0.6905263157894737,force_4,0.6619718309859155,1.0,0.7966101694915254,188,284,188,0,96,0.6708418718003222,0.6759663502779831,13.827840377738845,3.112161758530374,0.9751366602010229,0.48738074812149185,0.0,0.0,0
江西,ceg,GeoAnnulus-Final,annulus,107,0.5972186309899061,0.619126205635961,0.7296646184547861,0.860022777471682,0.6593406593406593,force_4,0.6518518518518519,0.9361702127659575,0.7685589519650656,188,270,176,12,94,0.661353850626803,0.6862789944263747,18.842949781038786,1.7362958465304263,0.9629401046258743,0.5763383690550928,9.183963277239842e-16,1.6531133899031716e-15,0
广东,ceg,GeoDisk-Final,disk,108,0.6106537869581978,0.6403952303645959,0.6763948682670018,0.8089341509994622,0.6568421052631579,force_4,0.6137931034482759,0.9834254143646409,0.7558386411889597,181,290,178,3,112,0.6015622665612943,0.5918158613891107,16.97012706306605,6.139732532883928,0.9849190698028905,1.3675138725216789,0.0,5.654382510531023e-16,0
广东,ceg,GeoAnnulus-Final,annulus,108,0.6106537869581978,0.6403952303645959,0.6274531097256446,0.7198363321203659,0.6167400881057269,force_4,0.568904593639576,0.8895027624309392,0.6939655172413793,181,283,161,20,122,0.5705548936166841,0.58964956874877,20.59655880779656,2.5053725108006386,0.9772785732658835,1.9700676682254503,0.0,0.0,0
福建,ceg,GeoDisk-Final,disk,74,0.6139691682905417,0.6375874752445353,0.7722192818691596,0.8903687597166448,0.694006309148265,force_1,0.6578947368421053,1.0,0.7936507936507937,125,190,125,0,65,0.6628024091259387,0.6492640981427019,12.655822126839375,2.953860083474787,0.9574083672713808,0.4817032627071205,0.0,1.2722360648694803e-15,0
福建,ceg,GeoAnnulus-Final,annulus,74,0.6139691682905417,0.6375874752445353,0.716328008553545,0.8666823444311782,0.6378737541528239,force_4,0.6647398843930635,0.92,0.7718120805369127,125,173,115,10,58,0.6841557268027857,0.7101116670448845,17.377714446795423,1.2219708031771361,0.9606960385042574,0.6122162043052364,9.183963277239842e-16,5.510377966343905e-16,0
广西,ceg,GeoDisk-Final,disk,142,0.6122249212809838,0.6364772327880677,0.7358475165648845,0.8770972622053836,0.6624405705229793,force_3,0.6447368421052632,0.9879032258064516,0.7802547770700636,248,380,245,3,135,0.6412952409611155,0.641150350124813,14.097116593409682,1.8245990967043337,0.9743918053777209,0.37068540042374265,0.0,7.067978138163779e-16,0
广西,ceg,GeoAnnulus-Final,annulus,142,0.6122249212809838,0.6364772327880677,0.706668683976994,0.8474930749518818,0.6368159203980099,force_4,0.637883008356546,0.9233870967741935,0.7545304777594728,248,359,229,19,130,0.6436849409785506,0.6683761053271724,18.740651421017247,1.082944489465927,0.9655064743467502,0.4492366723619121,0.0,5.510377966343905e-16,0
安徽,ceg,GeoDisk-Final,disk,96,0.5685140724749311,0.6354978091639454,0.6838626664861159,0.866013193516827,0.6168674698795181,force_1,0.6334661354581673,0.99375,0.7737226277372263,160,251,159,1,92,0.6292073427679562,0.6364366046962138,16.07762481020081,3.5550991217745485,0.9614080303852416,0.40130532083452164,4.2407868828982674e-16,1.4135956276327557e-16,0
安徽,ceg,GeoAnnulus-Final,annulus,96,0.5685140724749311,0.6354978091639454,0.6428589244103695,0.85643308761822,0.5786802030456852,force_4,0.6536796536796536,0.94375,0.772378516624041,160,231,151,9,80,0.6515721851695634,0.6693707768896445,19.446620784929415,2.0190661198205855,0.9511665762344004,0.7234533020788712,0.0,7.347170621791874e-16,0
浙江,ceg,GeoDisk-Final,disk,65,0.6277113191888243,0.6482454713027521,0.8008736432651622,0.8912080397349497,0.7101449275362319,harmonic,0.650887573964497,1.0,0.7885304659498208,110,169,110,0,59,0.6573721305949218,0.6677065289237271,7.233716642910035,2.671938497863552,0.8864510489510489,0.29638364883918605,4.2407868828982674e-16,1.2722360648694803e-15,0
浙江,ceg,GeoAnnulus-Final,annulus,65,0.6277113191888243,0.6482454713027521,0.7652838170042681,0.8561536832688021,0.6718146718146718,force_4,0.6451612903225806,0.9090909090909091,0.7547169811320754,110,155,100,10,55,0.6590869611058942,0.6946146478004469,14.560860082187721,1.6814067319578279,0.9159965034965035,0.2940461418409525,0.0,1.102075593268781e-15,0
NE-Admin0-Africa,external,GeoDisk-Final,disk,50,0.5535610210775681,0.5948393946427918,0.7048457964938212,0.8572798721511309,0.6434782608695652,force_4,0.7235772357723578,0.8165137614678899,0.7672413793103449,109,123,89,20,34,0.6846186350629074,0.7754105859979846,22.710840681798036,5.948830629635265,0.9432302504840531,0.6618635397374645,4.2407868828982674e-16,4.2407868828982674e-16,0
NE-Admin0-Africa,external,GeoAnnulus-Final,annulus,50,0.5535610210775681,0.5948393946427918,0.614157176686707,0.7005527267477994,0.5674418604651162,force_4,0.6206896551724138,0.6605504587155964,0.6400000000000001,109,116,72,37,44,0.5424469395518259,0.6620767629559208,25.962358895455232,3.665080719689597,0.8848700939451211,0.7233297781845756,0.0,2.0204719209927652e-15,0
NCEP-AirTemp-Africa-2000,external,GeoDisk-Final,disk,401,0.4164745676780631,0.48443075593680024,0.49345447414781823,0.7738224518090602,0.4756756756756757,force_2,0.5906221821460775,0.8839406207827261,0.7081081081081082,741,1109,655,86,454,0.5871242561396568,0.6057825411148277,17.94017727983392,3.2517832574644485,0.8292087801271198,0.8528434403369131,4.2407868828982674e-16,2.8271912552655114e-16,0
NCEP-AirTemp-Africa-2000,external,GeoAnnulus-Final,annulus,401,0.4164745676780631,0.48443075593680024,0.4723349755369658,0.7159516205989739,0.4520775623268698,force_2,0.5576208178438662,0.8097165991902834,0.6604292790313705,741,1076,600,141,476,0.5480693195134366,0.5769400416327435,21.76960530064075,1.328266879605014,0.8353170048837486,0.9224220149881883,3.673585310895937e-16,1.2857548588135778e-15,0
