dataset,layer,month,cell_count,cell_identity_accuracy,deterministic_cell_tracking,geometry_reoptimized_per_layer,cell_reordering,temporal_layer_mismatch_count,logical_temporal_adjacency_jaccard,rendered_adjacency_jaccard,source_final_geometry_sha256
湖北,D1,1,130,1.0,True,False,False,0,1.0,1.0,02d1374d263b9336f9ebdbbde415b099d8606c20f5636833116a90af72694128
湖北,"Δ1,2",2,130,1.0,True,False,False,0,1.0,1.0,02d1374d263b9336f9ebdbbde415b099d8606c20f5636833116a90af72694128
湖北,"Δ2,3",3,130,1.0,True,False,False,0,1.0,0.9969512195121951,02d1374d263b9336f9ebdbbde415b099d8606c20f5636833116a90af72694128
湖北,"Δ3,4",4,130,1.0,True,False,False,0,1.0,0.9939024390243902,02d1374d263b9336f9ebdbbde415b099d8606c20f5636833116a90af72694128
湖北,"Δ4,5",5,130,1.0,True,False,False,0,1.0,0.9939024390243902,02d1374d263b9336f9ebdbbde415b099d8606c20f5636833116a90af72694128
湖北,"Δ5,6",6,130,1.0,True,False,False,0,1.0,0.9939024390243902,02d1374d263b9336f9ebdbbde415b099d8606c20f5636833116a90af72694128
湖北,"Δ6,7",7,130,1.0,True,False,False,0,1.0,0.9939024390243902,02d1374d263b9336f9ebdbbde415b099d8606c20f5636833116a90af72694128
湖北,"Δ7,8",8,130,1.0,True,False,False,0,1.0,0.9878048780487805,02d1374d263b9336f9ebdbbde415b099d8606c20f5636833116a90af72694128
湖北,"Δ8,9",9,130,1.0,True,False,False,0,1.0,0.9878048780487805,02d1374d263b9336f9ebdbbde415b099d8606c20f5636833116a90af72694128
湖北,"Δ9,10",10,130,1.0,True,False,False,0,1.0,0.9878048780487805,02d1374d263b9336f9ebdbbde415b099d8606c20f5636833116a90af72694128
湖北,"Δ10,11",11,130,1.0,True,False,False,0,1.0,0.9878048780487805,02d1374d263b9336f9ebdbbde415b099d8606c20f5636833116a90af72694128
湖北,"Δ11,12",12,130,1.0,True,False,False,0,1.0,0.9818181818181818,02d1374d263b9336f9ebdbbde415b099d8606c20f5636833116a90af72694128
NCEP-AirTemp-Africa-2000,D1,1,401,1.0,True,False,False,0,1.0,1.0,750d66103e4cb9b4aa36de63fa45720edab4b340c0c52aede9bef3c4bc5552b1
NCEP-AirTemp-Africa-2000,"Δ1,2",2,401,1.0,True,False,False,0,1.0,1.0,750d66103e4cb9b4aa36de63fa45720edab4b340c0c52aede9bef3c4bc5552b1
NCEP-AirTemp-Africa-2000,"Δ2,3",3,401,1.0,True,False,False,0,1.0,1.0,750d66103e4cb9b4aa36de63fa45720edab4b340c0c52aede9bef3c4bc5552b1
NCEP-AirTemp-Africa-2000,"Δ3,4",4,401,1.0,True,False,False,0,1.0,1.0,750d66103e4cb9b4aa36de63fa45720edab4b340c0c52aede9bef3c4bc5552b1
NCEP-AirTemp-Africa-2000,"Δ4,5",5,401,1.0,True,False,False,0,1.0,1.0,750d66103e4cb9b4aa36de63fa45720edab4b340c0c52aede9bef3c4bc5552b1
NCEP-AirTemp-Africa-2000,"Δ5,6",6,401,1.0,True,False,False,0,1.0,1.0,750d66103e4cb9b4aa36de63fa45720edab4b340c0c52aede9bef3c4bc5552b1
NCEP-AirTemp-Africa-2000,"Δ6,7",7,401,1.0,True,False,False,0,1.0,1.0,750d66103e4cb9b4aa36de63fa45720edab4b340c0c52aede9bef3c4bc5552b1
NCEP-AirTemp-Africa-2000,"Δ7,8",8,401,1.0,True,False,False,0,1.0,1.0,750d66103e4cb9b4aa36de63fa45720edab4b340c0c52aede9bef3c4bc5552b1
NCEP-AirTemp-Africa-2000,"Δ8,9",9,401,1.0,True,False,False,0,1.0,0.9972170686456401,750d66103e4cb9b4aa36de63fa45720edab4b340c0c52aede9bef3c4bc5552b1
NCEP-AirTemp-Africa-2000,"Δ9,10",10,401,1.0,True,False,False,0,1.0,0.9972170686456401,750d66103e4cb9b4aa36de63fa45720edab4b340c0c52aede9bef3c4bc5552b1
NCEP-AirTemp-Africa-2000,"Δ10,11",11,401,1.0,True,False,False,0,1.0,0.9972170686456401,750d66103e4cb9b4aa36de63fa45720edab4b340c0c52aede9bef3c4bc5552b1
NCEP-AirTemp-Africa-2000,"Δ11,12",12,401,1.0,True,False,False,0,1.0,0.9962894248608535,750d66103e4cb9b4aa36de63fa45720edab4b340c0c52aede9bef3c4bc5552b1
