method,view,neighbor_model,adj_precision,adj_recall,adj_f1,np2
Area-balanced,annulus,4-neighbor,0.5364281444285864,0.7741086813140856,0.6335687776535293,0.5617927284806409
Area-balanced,annulus,8-neighbor,0.8381388208581194,0.622723646302389,0.7143668208615408,0.6040173638662513
Area-balanced,disk,4-neighbor,0.591452517006341,0.9083599523312392,0.7163142781836964,0.5943003367438344
Area-balanced,disk,8-neighbor,0.9017242480574895,0.7129703515953179,0.7961509296202727,0.7254491659367798
Direct Polar,annulus,4-neighbor,0.6504238728003993,0.9950349572397729,0.7747005742116814,0.6953881243943181
Direct Polar,annulus,8-neighbor,0.9140649083761782,0.7207410969926291,0.7919503624243759,0.7092303703128395
Direct Polar,disk,4-neighbor,0.7017080452873186,0.994645279110989,0.8088609934104533,0.7267294227702666
Direct Polar,disk,8-neighbor,0.9167012139461074,0.6744644309602764,0.7609308488993034,0.6858480865030097
GeoAnnulus,annulus,4-neighbor,0.5217456209550062,0.7358629470557152,0.6104484639578964,0.5330548079572919
GeoAnnulus,annulus,8-neighbor,0.7833724290430638,0.5688131347339742,0.6589200801393132,0.5587606189690342
GeoAnnulus-Final,annulus,4-neighbor,0.6251694314127154,0.9022315625849134,0.7383918373763031,0.629578904689319
GeoAnnulus-Final,annulus,8-neighbor,0.9400074564148453,0.6982971166423559,0.8010955503434413,0.6946160563742017
GeoDisk,disk,4-neighbor,0.5202868031034176,0.8095075163506311,0.6333543506198414,0.5243796406027815
GeoDisk,disk,8-neighbor,0.8022677520801527,0.6424957291587174,0.7134239540289633,0.6456803444152815
GeoDisk-Final,disk,4-neighbor,0.6375062928910865,0.9798022625424659,0.7723575412806686,0.6376800828121935
GeoDisk-Final,disk,8-neighbor,0.9611280332999743,0.7601825673563883,0.8488172841851607,0.7725315484014199
Harmonic,annulus,4-neighbor,0.5861146827738246,0.8277135991614679,0.6862283481524587,0.5884343744188373
Harmonic,annulus,8-neighbor,0.8835081786159333,0.6419348513943544,0.7435579337136962,0.645349365423486
Harmonic,disk,4-neighbor,0.6043507428517575,0.902838915454638,0.7240031968509896,0.6104653599505006
Harmonic,disk,8-neighbor,0.9109801028110369,0.7000660319073249,0.7916907345556159,0.713569969065184
Regular Topology,annulus,4-neighbor,0.47397439690804444,0.7026903751782485,0.5660278997020722,0.45440166983149805
Regular Topology,annulus,8-neighbor,0.7114429257107323,0.5431275665604157,0.6158907955242491,0.5357567186863711
Regular Topology,disk,4-neighbor,0.4101655783627136,0.7706285939146603,0.5346524053974913,0.42411773227015587
Regular Topology,disk,8-neighbor,0.6506554572244622,0.6290980455642297,0.6387972465308319,0.5718605946257909
