method,view,reference_policy,inclusion_threshold,cell_count,adj_f1,np2
Area-balanced,annulus,full_macro_cell,0.0,107.375,0.651055144239,0.5784615577997797
Area-balanced,annulus,full_macro_cell,0.25,106.0,0.6502237816834243,0.5789863061462819
Area-balanced,annulus,full_macro_cell,0.5,95.625,0.651715643653115,0.5865449464876297
Area-balanced,annulus,full_macro_cell,0.75,85.375,0.6510378018524724,0.589911514123628
Area-balanced,annulus,province_clipped,0.0,107.375,0.5764584001658237,0.38051829640290935
Area-balanced,annulus,province_clipped,0.25,106.0,0.5756191723033383,0.37936492389372506
Area-balanced,annulus,province_clipped,0.5,95.625,0.578444084203072,0.3871341453922591
Area-balanced,annulus,province_clipped,0.75,85.375,0.5745838592672412,0.3892581369121273
Area-balanced,disk,full_macro_cell,0.0,107.375,0.7342870985330512,0.6071199463229331
Area-balanced,disk,full_macro_cell,0.25,106.0,0.7353198084696785,0.6083564722934472
Area-balanced,disk,full_macro_cell,0.5,95.625,0.7464428804925194,0.6250478205379625
Area-balanced,disk,full_macro_cell,0.75,85.375,0.7542170153835664,0.6340908657517643
Area-balanced,disk,province_clipped,0.0,107.375,0.6426169849632477,0.40251939140245024
Area-balanced,disk,province_clipped,0.25,106.0,0.6425822103794555,0.40232114874369407
Area-balanced,disk,province_clipped,0.5,95.625,0.6495033699670401,0.41192932657347614
Area-balanced,disk,province_clipped,0.75,85.375,0.651702738344437,0.411519645582651
Direct Polar,annulus,full_macro_cell,0.0,107.375,0.8244166948840405,0.7230374917570281
Direct Polar,annulus,full_macro_cell,0.25,106.0,0.8245863447486731,0.7237839553452918
Direct Polar,annulus,full_macro_cell,0.5,95.625,0.8276808240580257,0.7320268259673873
Direct Polar,annulus,full_macro_cell,0.75,85.375,0.8294956888250629,0.7346790782213488
Direct Polar,annulus,province_clipped,0.0,107.375,0.7020101071062353,0.4455302874846482
Direct Polar,annulus,province_clipped,0.25,106.0,0.7020909223156107,0.44523709149097973
Direct Polar,annulus,province_clipped,0.5,95.625,0.7083771419168913,0.45178869834088303
Direct Polar,annulus,province_clipped,0.75,85.375,0.704878589610326,0.448043054991168
Direct Polar,disk,full_macro_cell,0.0,107.375,0.8623558854912692,0.7612407195056294
Direct Polar,disk,full_macro_cell,0.25,106.0,0.8630937425678187,0.7625982233289721
Direct Polar,disk,full_macro_cell,0.5,95.625,0.8701623133401053,0.7722378835635646
Direct Polar,disk,full_macro_cell,0.75,85.375,0.8728795164346184,0.7760996207970468
Direct Polar,disk,province_clipped,0.0,107.375,0.7282613390086863,0.46963953186152085
Direct Polar,disk,province_clipped,0.25,106.0,0.7286802956291818,0.4697238062638817
Direct Polar,disk,province_clipped,0.5,95.625,0.7342680168520526,0.4746689531086744
Direct Polar,disk,province_clipped,0.75,85.375,0.7340074708393379,0.4719242693400575
GeoAnnulus,annulus,full_macro_cell,0.0,107.375,0.6310758515925226,0.5537775865531007
GeoAnnulus,annulus,full_macro_cell,0.25,106.0,0.6299098294573791,0.5543125807734737
GeoAnnulus,annulus,full_macro_cell,0.5,95.625,0.629342770784073,0.5606822272455478
GeoAnnulus,annulus,full_macro_cell,0.75,85.375,0.6242898907771618,0.5603024903389862
GeoAnnulus,annulus,province_clipped,0.0,107.375,0.5492549460917022,0.3622465844745317
GeoAnnulus,annulus,province_clipped,0.25,106.0,0.5479986134530243,0.36081291266426796
GeoAnnulus,annulus,province_clipped,0.5,95.625,0.5507542987067965,0.3682645155186877
GeoAnnulus,annulus,province_clipped,0.75,85.375,0.5416127204511415,0.36551686528367805
GeoAnnulus-Final,annulus,full_macro_cell,0.0,107.375,0.7481371571694196,0.6397676028363044
GeoAnnulus-Final,annulus,full_macro_cell,0.25,106.0,0.7487327375056287,0.6405429152319354
GeoAnnulus-Final,annulus,full_macro_cell,0.5,95.625,0.7527508374675118,0.6516244468547638
GeoAnnulus-Final,annulus,full_macro_cell,0.75,85.375,0.751808219811735,0.657227706227004
GeoAnnulus-Final,annulus,province_clipped,0.0,107.375,0.6515243357498329,0.41337406521060516
GeoAnnulus-Final,annulus,province_clipped,0.25,106.0,0.6521597963039527,0.41325987873524134
GeoAnnulus-Final,annulus,province_clipped,0.5,95.625,0.6590807361428078,0.42175863628808524
GeoAnnulus-Final,annulus,province_clipped,0.75,85.375,0.654018913641788,0.4205004415038932
GeoDisk,disk,full_macro_cell,0.0,107.375,0.6536047255284027,0.54296776042189
GeoDisk,disk,full_macro_cell,0.25,106.0,0.6533708841462863,0.5449036631935791
GeoDisk,disk,full_macro_cell,0.5,95.625,0.6592331571629136,0.5575353673829372
GeoDisk,disk,full_macro_cell,0.75,85.375,0.6585743821628969,0.5601523021437905
GeoDisk,disk,province_clipped,0.0,107.375,0.5764077160448411,0.36802427292953244
GeoDisk,disk,province_clipped,0.25,106.0,0.5760081767676091,0.36808188931742586
GeoDisk,disk,province_clipped,0.5,95.625,0.5826411096661012,0.3778494826155809
GeoDisk,disk,province_clipped,0.75,85.375,0.5803466264601365,0.37720469200382367
GeoDisk-Final,disk,full_macro_cell,0.0,107.375,0.7803887204272386,0.6439995611462604
GeoDisk-Final,disk,full_macro_cell,0.25,106.0,0.7813412978660341,0.6463819970799974
GeoDisk-Final,disk,full_macro_cell,0.5,95.625,0.793878157296069,0.6655087815222804
GeoDisk-Final,disk,full_macro_cell,0.75,85.375,0.7991819717043159,0.6735219925930586
