region,method,view,cell_count,adj_precision,adj_recall,adj_f1,original_edge_count,display_edge_count,preserved_edge_count,lost_edge_count,new_edge_count,np2,np3,local_direction_error_deg,angular_error_deg,radial_spearman
湖北,Direct Polar,disk,130,0.7124600638977636,0.9911111111111112,0.8289962825278812,225.0,313.0,223.0,2.0,90.0,0.7113096230394993,0.7022954805479934,18.6681975103236,1.64454835853788,0.9624356470797089
湖北,Direct Polar,annulus,130,0.6696428571428571,1.0,0.802139037433155,225.0,336.0,225.0,0.0,111.0,0.6829594587757245,0.6865782664778889,21.916415398832246,1.3235915164532714,0.9647735186879515
湖北,Harmonic,disk,130,0.5542168674698795,0.8177777777777778,0.6606822262118491,225.0,332.0,184.0,41.0,148.0,0.5555089261360423,0.5836871710739094,19.300915731646285,2.674524918220203,0.8663207199333597
湖北,Harmonic,annulus,130,0.5379746835443038,0.7555555555555555,0.6284658040665434,225.0,316.0,170.0,55.0,146.0,0.5346873303331777,0.5669386892938258,23.057950859626015,1.2931410608813152,0.8762129757336574
湖北,Area-balanced,disk,130,0.5619596541786743,0.8666666666666667,0.6818181818181819,225.0,347.0,195.0,30.0,152.0,0.5527420763285023,0.5606685684316987,21.161069271867987,3.340604829533866,0.9935162299089157
湖北,Area-balanced,annulus,130,0.49240121580547114,0.72,0.5848375451263538,225.0,329.0,162.0,63.0,167.0,0.5167574305777243,0.5606862404985087,22.94035659941012,1.7073360022687256,0.9856614182905679
湖北,Regular Topology,disk,130,0.3690205011389522,0.72,0.4879518072289156,225.0,439.0,162.0,63.0,277.0,0.3896436986873666,0.39435869565726656,36.09104880423567,3.0806143839062674,0.9609444345819279
湖北,Regular Topology,annulus,130,0.4341317365269461,0.6444444444444445,0.5187835420393561,225.0,334.0,145.0,80.0,189.0,0.41427942368569276,0.4308155635422201,33.44601092595365,3.0806143839062683,0.9609444345819279
湖北,GeoDisk,disk,130,0.4676056338028169,0.7377777777777778,0.5724137931034483,225.0,355.0,166.0,59.0,189.0,0.44952997032326264,0.46769937930109684,30.366000725436308,2.661056805693684,0.9782545166532384
湖北,GeoAnnulus,annulus,130,0.48598130841121495,0.6933333333333334,0.5714285714285714,225.0,321.0,156.0,69.0,165.0,0.4798701381310336,0.5283436307192884,27.995051323276744,2.132289787864355,0.9710715700064182
湖南,Direct Polar,disk,137,0.7619047619047619,0.9917355371900827,0.8617594254937163,242.0,315.0,240.0,2.0,75.0,0.7617867128816034,0.7577631404101333,12.099428049222452,1.0157853507168981,0.9615061511751637
湖南,Direct Polar,annulus,137,0.7038123167155426,0.9917355371900827,0.823327615780446,242.0,341.0,240.0,2.0,101.0,0.7146751853701979,0.7239618300718912,19.119706737086354,0.7082722797023392,0.9793902962644911
湖南,Harmonic,disk,137,0.6454293628808865,0.9628099173553719,0.7728026533996684,242.0,361.0,233.0,9.0,128.0,0.6580558897147788,0.6741723763221278,13.709221291045308,5.460231948295701,0.9271939813691265
湖南,Harmonic,annulus,137,0.6242603550295858,0.871900826446281,0.7275862068965517,242.0,338.0,211.0,31.0,127.0,0.6257124398053416,0.6552613626433712,18.590133326603475,1.353841851425502,0.9405370843989769
湖南,Area-balanced,disk,137,0.6294277929155313,0.9545454545454546,0.7586206896551725,242.0,367.0,231.0,11.0,136.0,0.6371082453750078,0.6396667023187445,15.883289381356226,1.7516297379685069,0.9967984020012322
湖南,Area-balanced,annulus,137,0.5804597701149425,0.8347107438016529,0.6847457627118645,242.0,348.0,202.0,40.0,146.0,0.5934783434484006,0.6340802798430385,20.787812409780848,1.2811971873210342,0.9919633356357457
湖南,Regular Topology,disk,137,0.4351648351648352,0.8181818181818182,0.5681492109038738,242.0,455.0,198.0,44.0,257.0,0.4564745564413022,0.4553946548710927,30.902652109630296,2.482247305773643,0.9608247615136183
湖南,Regular Topology,annulus,137,0.5071225071225072,0.7355371900826446,0.6003372681281619,242.0,351.0,178.0,64.0,173.0,0.48915729885754144,0.519765657339601,28.96100003031945,2.4822473057736434,0.9608247615136183
湖南,GeoDisk,disk,137,0.5308310991957105,0.8181818181818182,0.6439024390243903,242.0,373.0,198.0,44.0,175.0,0.5589203613203685,0.5810638963365939,25.81470148033699,2.168259594320291,0.9822838687998207
湖南,GeoAnnulus,annulus,137,0.5441176470588235,0.7644628099173554,0.6357388316151202,242.0,340.0,185.0,57.0,155.0,0.550706937930108,0.6007997858332225,25.106153555819358,1.9603187555707553,0.9799036720368883
江西,Direct Polar,disk,107,0.7768595041322314,1.0,0.8744186046511627,188.0,242.0,188.0,0.0,54.0,0.7856043915174872,0.7847375606970427,12.401595278762034,1.1756505331485756,0.9801230431630715
江西,Direct Polar,annulus,107,0.704119850187266,1.0,0.8263736263736264,188.0,267.0,188.0,0.0,79.0,0.7301873055573036,0.73482157333065,17.397848756846216,0.7878340999082742,0.9779286428025628
