file,date,bytes,sha256,latitude_count,longitude_count,same_grid_as_first,scalar_variable
20000101.nc,2000-01-01,22554554,8e1e2baa22f9394aac2a61acbeb2a704a513785002a2ff9b05fadb0f87a59eb9,353,613,True,PM2.5
20000102.nc,2000-01-02,22554554,721aee6a85954869df7341cfbf9ef3ffb626b24861ff829ddaf84bff21ddf929,353,613,True,PM2.5
20000103.nc,2000-01-03,22554554,0e5a56eeaef39564215a3f30dde20e50f66c19e1a69a66fa4228c7ec12a0fb65,353,613,True,PM2.5
20000104.nc,2000-01-04,22554554,d63f1561a69de400289cf5afd75d1c24b83e2ed4dc4ed5e73c518741ee62fe5c,353,613,True,PM2.5
20000105.nc,2000-01-05,22554554,3b3d05ab02d6c0ba4e9c42f72ecbb5e5f118e09a2a5998eb5c8a798521a0e9bb,353,613,True,PM2.5
20000106.nc,2000-01-06,22554554,061f15196d5c7efead0fb2937e96b86350d76d8ee34e07b16680a97f1939b9df,353,613,True,PM2.5
20000107.nc,2000-01-07,22554554,c53b31abd67ce7ae0c33dfa05dc753e94de3f2348769c903feff03a73d629909,353,613,True,PM2.5
20000108.nc,2000-01-08,22554554,16607cc102c375ecbbdbc9268730f4046fa049f7c579404104776e2c993e8591,353,613,True,PM2.5
20000109.nc,2000-01-09,22554554,d94602937525f230788feb8ff4dfec2bd72d5aa915a04143cb12196e5a8cf589,353,613,True,PM2.5
20000110.nc,2000-01-10,22554554,3a1bea5128a97ae9681b428a5f2689bbd0dd7b39fdbca2066f22622892468c62,353,613,True,PM2.5
20000111.nc,2000-01-11,22554554,736997208c4432eb96e656638429b25aabd21a911148d333a7f4bfa348bbc664,353,613,True,PM2.5
20000112.nc,2000-01-12,22554554,6d536b0292eb99ac5297a3bed25a95fb9332527888f76dcf8cce61ce6bb772ff,353,613,True,PM2.5
20000113.nc,2000-01-13,22554554,04ae3127c2443e70632b4d869da401666ae419f354c5328fe2abb96035f0d2da,353,613,True,PM2.5
20000114.nc,2000-01-14,22554554,bf96a6b6d5356f533b17e93d0b3fb38dcd1ced924e2cb32b89b3eb4ef5337ae0,353,613,True,PM2.5
20000115.nc,2000-01-15,22554554,89ee9f7c18ed36f75461cf0b6ae0e417ce023d86984e53196ad186f0caf36c5a,353,613,True,PM2.5
20000116.nc,2000-01-16,22554554,566dd1e3aa99dacd288822df5d402f6cc65814b15b026cfa25a6a1d56186669a,353,613,True,PM2.5
20000117.nc,2000-01-17,22554554,bf5c7a408a9af837f2550924543df95e3ed5f74fa5a1898cd336d8e886c2b029,353,613,True,PM2.5
20000118.nc,2000-01-18,22554554,9a7c20ee36f249a9a7242501c47cb49e2902bfe84d8fc25aa15945933531e1a0,353,613,True,PM2.5
20000119.nc,2000-01-19,22554554,f965f2c574945557462e0ef6a5758fa7d57fa6edc044414ce89f74063a9f11c0,353,613,True,PM2.5
20000120.nc,2000-01-20,22554554,35ae3c2087d2523d9a78d82d5c0eeb8fa71db739f4590bdceb74b3949f3e1a7a,353,613,True,PM2.5
20000121.nc,2000-01-21,22554554,66a92de59024acd7a70807b07a300b880eb2b4cd5bec27c7400f583944b31a6a,353,613,True,PM2.5
20000122.nc,2000-01-22,22554554,cbecf2da687aca055e085be501dff540bcdd204a1a57536a02ab83528c67dc0d,353,613,True,PM2.5
20000123.nc,2000-01-23,22554554,51c0eb615d180fbda3ed1bcea141f39146d886349ffbb6d5f3b508dfbbd72f84,353,613,True,PM2.5
20000124.nc,2000-01-24,22554554,b8cb4622027460e29201ce814f4cecb83dd3d54c9613b0580c02e0d54e07e042,353,613,True,PM2.5
20000125.nc,2000-01-25,22554554,50c44bba409f3c64b23e8f0536586824f527a407f6a4cd4f93e334228b97e6d9,353,613,True,PM2.5
20000126.nc,2000-01-26,22554554,99f241a8427fa25a687b84cdb76c3d4a4e522952adfe63a054da32c048b1300a,353,613,True,PM2.5
20000127.nc,2000-01-27,22554554,97276b1fb508e275218a222af9764511757b3e6b60cfab7813181b8cce77a13d,353,613,True,PM2.5
