file,date,variable,value_count,missing_count,missing_fraction
20000101.nc,2000-01-01,elevation,216389,121773,0.5627504170729566
20000101.nc,2000-01-01,PM2.5,216389,121773,0.5627504170729566
20000101.nc,2000-01-01,bcpr,216389,121773,0.5627504170729566
20000101.nc,2000-01-01,lrad,216389,121773,0.5627504170729566
20000101.nc,2000-01-01,prec,216389,121773,0.5627504170729566
20000101.nc,2000-01-01,pres,216389,121773,0.5627504170729566
20000101.nc,2000-01-01,rain,216389,121773,0.5627504170729566
20000101.nc,2000-01-01,rhum,216389,121773,0.5627504170729566
20000101.nc,2000-01-01,shum,216389,121773,0.5627504170729566
20000101.nc,2000-01-01,snow,216389,121773,0.5627504170729566
20000101.nc,2000-01-01,srad,216389,121773,0.5627504170729566
20000101.nc,2000-01-01,temp,216389,121773,0.5627504170729566
20000101.nc,2000-01-01,wind,216389,121773,0.5627504170729566
20000102.nc,2000-01-02,elevation,216389,121773,0.5627504170729566
20000102.nc,2000-01-02,PM2.5,216389,121773,0.5627504170729566
20000102.nc,2000-01-02,bcpr,216389,121773,0.5627504170729566
20000102.nc,2000-01-02,lrad,216389,121773,0.5627504170729566
20000102.nc,2000-01-02,prec,216389,121773,0.5627504170729566
20000102.nc,2000-01-02,pres,216389,121773,0.5627504170729566
20000102.nc,2000-01-02,rain,216389,121773,0.5627504170729566
20000102.nc,2000-01-02,rhum,216389,121773,0.5627504170729566
20000102.nc,2000-01-02,shum,216389,121773,0.5627504170729566
20000102.nc,2000-01-02,snow,216389,121773,0.5627504170729566
20000102.nc,2000-01-02,srad,216389,121773,0.5627504170729566
20000102.nc,2000-01-02,temp,216389,121773,0.5627504170729566
20000102.nc,2000-01-02,wind,216389,121773,0.5627504170729566
20000103.nc,2000-01-03,elevation,216389,121773,0.5627504170729566
20000103.nc,2000-01-03,PM2.5,216389,121773,0.5627504170729566
20000103.nc,2000-01-03,bcpr,216389,121773,0.5627504170729566
20000103.nc,2000-01-03,lrad,216389,121773,0.5627504170729566
20000103.nc,2000-01-03,prec,216389,121773,0.5627504170729566
20000103.nc,2000-01-03,pres,216389,121773,0.5627504170729566
20000103.nc,2000-01-03,rain,216389,121773,0.5627504170729566
20000103.nc,2000-01-03,rhum,216389,121773,0.5627504170729566
20000103.nc,2000-01-03,shum,216389,121773,0.5627504170729566
20000103.nc,2000-01-03,snow,216389,121773,0.5627504170729566
20000103.nc,2000-01-03,srad,216389,121773,0.5627504170729566
20000103.nc,2000-01-03,temp,216389,121773,0.5627504170729566
