variable,file_count,value_count,missing_count,missing_fraction
PM2.5,366,79198374,44568918,0.5627504170729566
bcpr,366,79198374,44568918,0.5627504170729566
elevation,366,79198374,44568918,0.5627504170729566
lrad,366,79198374,44568918,0.5627504170729566
prec,366,79198374,44568918,0.5627504170729566
pres,366,79198374,44568918,0.5627504170729566
rain,366,79198374,44568918,0.5627504170729566
rhum,366,79198374,44568918,0.5627504170729566
shum,366,79198374,44568918,0.5627504170729566
snow,366,79198374,44568918,0.5627504170729566
srad,366,79198374,44568918,0.5627504170729566
temp,366,79198374,44568918,0.5627504170729566
wind,366,79198374,44568918,0.5627504170729566
