variable,dimensions,dtype,units,files_present,global_min,global_max
PM2.5,lat|lon,float64,µg/m3,366,4.6479351126949835,501.8057318147638
bcpr,lat|lon,float64,kg m-2 s-1,366,-7.449889247027819e-10,0.020492413353531136
elevation,lat|lon,float64,,366,-154.0,6796.0
lrad,lat|lon,float64,W m-2,366,97.37512132076617,486.248667315474
prec,lat|lon,float64,kg m-2 s-1,366,-4.173452928577807e-12,0.0051303024160833976
pres,lat|lon,float64,Pa,366,48863.914452458346,106523.10770037374
rain,lat|lon,float64,kg m-2 s-1,366,-1.8442639012291618e-11,0.005130352241087993
rhum,lat|lon,float64,%,366,2.135000100181205,100.00000000009226
shum,lat|lon,float64,kg kg-1,366,4.250013330900939e-05,0.027619998429045133
snow,lat|lon,float64,kg m-2 s-1,366,-1.8914071602453916e-11,0.0018662056472511378
srad,lat|lon,float64,W m-2,366,3.375612248608658,470.24920232801236
temp,lat|lon,float64,K,366,226.28377901226824,314.7187219056771
wind,lat|lon,float64,m s-1,366,0.04999998574403419,26.696247034154673
