region,parameter,value,cell_count,view,adj_precision,adj_recall,adj_f1,original_edge_count,display_edge_count,preserved_edge_count,lost_edge_count,new_edge_count,np2,np3,local_direction_error_deg,angular_error_deg,radial_spearman,area_cv,overlap_ratio,gap_ratio,invalid_polygon_count
湖北,coarsen_factor,3.0,212,disk,0.4672413793103448,0.7226666666666667,0.5675392670157068,375,580,271,104,309,0.4320188415435429,0.4558672892438697,31.657882619481178,1.5601194595669716,0.9829116881383084,0.8656602584972859,1.4135956276327557e-16,3.972203713648044e-14,0
湖北,coarsen_factor,3.0,212,annulus,0.47026022304832715,0.6746666666666666,0.5542168674698795,375,538,253,122,285,0.4326423043082149,0.47388692394999604,31.237936685650585,1.5167602817230512,0.9727352760036928,0.9024420238159225,3.1225475142615464e-15,7.499191149542488e-08,0
广东,coarsen_factor,3.0,183,disk,0.4662698412698413,0.7320872274143302,0.5696969696969697,321,504,235,86,269,0.45207995501892995,0.4730796620523582,32.68046504261974,2.5566051066488202,0.9785545886757578,2.3920021396630995,1.4135956276327557e-16,7.845455733361795e-14,0
广东,coarsen_factor,3.0,183,annulus,0.4796573875802998,0.6978193146417445,0.5685279187817259,321,467,224,97,243,0.43733988680966523,0.4747264422247109,31.402268055285976,2.4067821505311606,0.9716835196165204,2.2040532214244495,1.8367926554479685e-16,6.847671188229506e-08,0
湖北,coarsen_factor,4.0,130,disk,0.4676056338028169,0.7377777777777778,0.5724137931034483,225,355,166,59,189,0.44952997032326264,0.46769937930109684,30.36686340853679,2.663396084034466,0.9781835065342965,0.7572004602502703,0.0,3.222998031002683e-14,0
湖北,coarsen_factor,4.0,130,annulus,0.48598130841121495,0.6933333333333334,0.5714285714285714,225,321,156,69,165,0.4798701381310336,0.5283436307192884,27.9986355524691,2.132385725827012,0.9712627510958773,0.7131281155853497,2.3878304520823588e-15,5.4364797201355384e-08,0
广东,coarsen_factor,4.0,108,disk,0.49491525423728816,0.8066298342541437,0.6134453781512604,181,295,146,35,149,0.49245797901512667,0.5047434790748249,28.835246849423992,3.782164548457272,0.9796983813960578,1.9124412449614865,0.0,2.5020642609099777e-14,0
广东,coarsen_factor,4.0,108,annulus,0.49814126394052044,0.7403314917127072,0.5955555555555555,181,269,134,47,135,0.48907359097272685,0.5265509046657437,28.117149114374694,2.337188940606529,0.972705707508074,2.2408652585009348,7.347170621791874e-16,3.9792106184304156e-08,0
湖北,coarsen_factor,5.0,78,disk,0.4852941176470588,0.7674418604651163,0.5945945945945945,129,204,99,30,105,0.48173621193163046,0.5054901707199608,31.634795770791914,4.4117100437286405,0.9731660744318972,0.7008098461142225,2.8271912552655114e-16,2.841327211541839e-14,0
湖北,coarsen_factor,5.0,78,annulus,0.5081081081081081,0.7286821705426356,0.5987261146496815,129,185,94,35,91,0.5006055270508115,0.5489248661084181,28.31578364979361,3.5370803190585045,0.9721544278506303,0.6837578964028888,1.8367926554479685e-16,3.703541635785344e-08,0
广东,coarsen_factor,5.0,70,disk,0.5580110497237569,0.8938053097345132,0.6870748299319728,113,181,101,12,80,0.5615482256575799,0.5621156888119883,24.361543235787746,3.889003228437159,0.9785145656547983,1.5806482255849366,0.0,4.325602620556233e-14,0
广东,coarsen_factor,5.0,70,annulus,0.5329341317365269,0.7876106194690266,0.6357142857142857,113,167,89,24,78,0.5546668911092838,0.6045816686618491,25.41073219985007,2.6014113632658598,0.9741055025807015,1.9767396118478704,3.673585310895937e-16,2.9164283181564808e-08,0
湖北,layer_count,4.0,130,disk,0.45558739255014324,0.7066666666666667,0.5540069686411149,225,349,159,66,190,0.449369537095201,0.4761924362193038,34.05638974547974,3.327109157354618,0.975528820549236,0.7803502150728837,7.067978138163779e-16,3.816708194608441e-14,0
湖北,layer_count,4.0,130,annulus,0.48089171974522293,0.6711111111111111,0.5602968460111318,225,314,151,74,163,0.4498969322271195,0.4998834050002931,32.386405109370436,2.85519224632469,0.9620150486828989,0.7009513065422154,0.0,7.3806023053288e-08,0
广东,layer_count,4.0,108,disk,0.47079037800687284,0.7569060773480663,0.5805084745762712,181,291,137,44,154,0.4747830665721452,0.49282737034685886,32.19145082385942,3.709655998253616,0.9706288643097354,1.8256854200079156,2.8271912552655114e-16,3.166454205897373e-14,0
广东,layer_count,4.0,108,annulus,0.4770992366412214,0.6906077348066298,0.5643340857787811,181,262,125,56,137,0.43838549472256905,0.4991697688491545,32.014930398972645,2.561083961559943,0.9613592843465089,2.2351433010489994,7.347170621791874e-16,5.34285053701479e-08,0
湖北,layer_count,5.0,130,disk,0.4676056338028169,0.7377777777777778,0.5724137931034483,225,355,166,59,189,0.44952997032326264,0.46769937930109684,30.36686340853679,2.663396084034466,0.9781835065342965,0.7572004602502703,0.0,3.222998031002683e-14,0
湖北,layer_count,5.0,130,annulus,0.48598130841121495,0.6933333333333334,0.5714285714285714,225,321,156,69,165,0.4798701381310336,0.5283436307192884,27.9986355524691,2.132385725827012,0.9712627510958773,0.7131281155853497,2.3878304520823588e-15,5.4364797201355384e-08,0
广东,layer_count,5.0,108,disk,0.49491525423728816,0.8066298342541437,0.6134453781512604,181,295,146,35,149,0.49245797901512667,0.5047434790748249,28.835246849423992,3.782164548457272,0.9796983813960578,1.9124412449614865,0.0,2.5020642609099777e-14,0
广东,layer_count,5.0,108,annulus,0.49814126394052044,0.7403314917127072,0.5955555555555555,181,269,134,47,135,0.48907359097272685,0.5265509046657437,28.117149114374694,2.337188940606529,0.972705707508074,2.2408652585009348,7.347170621791874e-16,3.9792106184304156e-08,0
湖北,layer_count,6.0,130,disk,0.4828571428571429,0.7511111111111111,0.5878260869565217,225,350,169,56,181,0.4746232452280908,0.4944139664531857,27.663402660692704,2.302451408088261,0.984487020169605,0.7445172581947446,4.2407868828982674e-16,5.2303038222411965e-14,0
湖北,layer_count,6.0,130,annulus,0.5015384615384615,0.7244444444444444,0.5927272727272727,225,325,163,62,162,0.5036263992219576,0.5481402181316499,25.533553482262246,1.963831855174799,0.9768288519575578,0.7174362100947386,0.0,4.5207776366144184e-08,0
广东,layer_count,6.0,108,disk,0.5068027210884354,0.8232044198895028,0.6273684210526316,181,294,149,32,145,0.5200896586049522,0.5243473919903808,23.635045172521693,3.135503962377791,0.980260462812122,1.8597516965456882,1.5549551903960315e-15,3.449173331423924e-14,0
广东,layer_count,6.0,108,annulus,0.4945054945054945,0.7458563535911602,0.5947136563876652,181,273,135,46,138,0.5015472027415181,0.5345875702447893,23.59553887884604,1.7485036545963086,0.9788409690664684,2.251369211349479,1.8367926554479685e-16,4.498751112977111e-08,0
湖北,optimize_passes,2.0,130,disk,0.4676056338028169,0.7377777777777778,0.5724137931034483,225,355,166,59,189,0.44952997032326264,0.46769937930109684,30.36686340853679,2.663396084034466,0.9781835065342965,0.7572004602502703,0.0,3.222998031002683e-14,0
湖北,optimize_passes,2.0,130,annulus,0.48598130841121495,0.6933333333333334,0.5714285714285714,225,321,156,69,165,0.4798701381310336,0.5283436307192884,27.9986355524691,2.132385725827012,0.9712627510958773,0.7131281155853497,2.3878304520823588e-15,5.4364797201355384e-08,0
广东,optimize_passes,2.0,108,disk,0.49491525423728816,0.8066298342541437,0.6134453781512604,181,295,146,35,149,0.49245797901512667,0.5047434790748249,28.835246849423992,3.782164548457272,0.9796983813960578,1.9124412449614865,0.0,2.5020642609099777e-14,0
广东,optimize_passes,2.0,108,annulus,0.49814126394052044,0.7403314917127072,0.5955555555555555,181,269,134,47,135,0.48907359097272685,0.5265509046657437,28.117149114374694,2.337188940606529,0.972705707508074,2.2408652585009348,7.347170621791874e-16,3.9792106184304156e-08,0
湖北,optimize_passes,5.0,130,disk,0.4676056338028169,0.7377777777777778,0.5724137931034483,225,355,166,59,189,0.44952997032326264,0.46769937930109684,30.36686340853679,2.663396084034466,0.9781835065342965,0.7572004602502703,0.0,3.222998031002683e-14,0
湖北,optimize_passes,5.0,130,annulus,0.48598130841121495,0.6933333333333334,0.5714285714285714,225,321,156,69,165,0.4798701381310336,0.5283436307192884,27.9986355524691,2.132385725827012,0.9712627510958773,0.7131281155853497,2.3878304520823588e-15,5.4364797201355384e-08,0
广东,optimize_passes,5.0,108,disk,0.49491525423728816,0.8066298342541437,0.6134453781512604,181,295,146,35,149,0.49245797901512667,0.5047434790748249,28.835246849423992,3.782164548457272,0.9796983813960578,1.9124412449614865,0.0,2.5020642609099777e-14,0
广东,optimize_passes,5.0,108,annulus,0.49814126394052044,0.7403314917127072,0.5955555555555555,181,269,134,47,135,0.48907359097272685,0.5265509046657437,28.117149114374694,2.337188940606529,0.972705707508074,2.2408652585009348,7.347170621791874e-16,3.9792106184304156e-08,0
湖北,optimize_passes,8.0,130,disk,0.4676056338028169,0.7377777777777778,0.5724137931034483,225,355,166,59,189,0.44952997032326264,0.46769937930109684,30.36686340853679,2.663396084034466,0.9781835065342965,0.7572004602502703,0.0,3.222998031002683e-14,0
湖北,optimize_passes,8.0,130,annulus,0.48598130841121495,0.6933333333333334,0.5714285714285714,225,321,156,69,165,0.4798701381310336,0.5283436307192884,27.9986355524691,2.132385725827012,0.9712627510958773,0.7131281155853497,2.3878304520823588e-15,5.4364797201355384e-08,0
广东,optimize_passes,8.0,108,disk,0.49491525423728816,0.8066298342541437,0.6134453781512604,181,295,146,35,149,0.49245797901512667,0.5047434790748249,28.835246849423992,3.782164548457272,0.9796983813960578,1.9124412449614865,0.0,2.5020642609099777e-14,0
广东,optimize_passes,8.0,108,annulus,0.49814126394052044,0.7403314917127072,0.5955555555555555,181,269,134,47,135,0.48907359097272685,0.5265509046657437,28.117149114374694,2.337188940606529,0.972705707508074,2.2408652585009348,7.347170621791874e-16,3.9792106184304156e-08,0
湖北,warp_strength,0.0,130,disk,0.4676056338028169,0.7377777777777778,0.5724137931034483,225,355,166,59,189,0.44952997032326264,0.46769937930109684,30.369340022118287,2.644803129165508,0.9789536932089746,0.7599123933117882,2.8271912552655114e-16,9.89516939342929e-16,0
湖北,warp_strength,0.0,130,annulus,0.48598130841121495,0.6933333333333334,0.5714285714285714,225,321,156,69,165,0.4798701381310336,0.5283436307192884,28.042613662682268,2.1377700904459025,0.9726993404252413,0.7094932140478781,2.5715097176271556e-15,5.510377966343905e-16,0
广东,warp_strength,0.0,108,disk,0.49491525423728816,0.8066298342541437,0.6134453781512604,181,295,146,35,149,0.49245797901512667,0.5047434790748249,28.712982712444585,3.779290912751793,0.9815846885211542,1.9089303222417646,1.2722360648694803e-15,1.2722360648694803e-15,0
广东,warp_strength,0.0,108,annulus,0.49814126394052044,0.7403314917127072,0.5955555555555555,181,269,134,47,135,0.48907359097272685,0.5265509046657437,28.033945453994747,2.3213128028128986,0.9753922661407871,2.235336641192327,0.0,1.8367926554479685e-16,0
湖北,warp_strength,0.01,130,disk,0.4676056338028169,0.7377777777777778,0.5724137931034483,225,355,166,59,189,0.44952997032326264,0.46769937930109684,30.366381484664284,2.653260416048099,0.9783637629900722,0.7583816629475324,0.0,1.6397709280539966e-14,0
湖北,warp_strength,0.01,130,annulus,0.48598130841121495,0.6933333333333334,0.5714285714285714,225,321,156,69,165,0.4798701381310336,0.5283436307192884,28.01904670510125,2.1336214792084345,0.9720657116716056,0.7110561638859062,1.102075593268781e-15,5.436468974898504e-08,0
广东,warp_strength,0.01,108,disk,0.49491525423728816,0.8066298342541437,0.6134453781512604,181,295,146,35,149,0.49245797901512667,0.5047434790748249,28.774336717102145,3.7806598104925593,0.9812988844112911,1.910653273310114,0.0,1.342915846251118e-14,0
广东,warp_strength,0.01,108,annulus,0.49814126394052044,0.7403314917127072,0.5955555555555555,181,269,134,47,135,0.48907359097272685,0.5265509046657437,28.072562735916122,2.3289763969646726,0.9746301218478187,2.238067608765638,5.510377966343905e-16,3.979200056872647e-08,0
湖北,warp_strength,0.02,130,disk,0.4676056338028169,0.7377777777777778,0.5724137931034483,225,355,166,59,189,0.44952997032326264,0.46769937930109684,30.366863408536787,2.6633960840344666,0.9781835065342965,0.7572004602502703,0.0,3.222998031002683e-14,0
湖北,warp_strength,0.02,130,annulus,0.48598130841121495,0.6933333333333334,0.5714285714285714,225,321,156,69,165,0.4798701381310336,0.5283436307192884,27.9986355524691,2.1323857258270125,0.9712627510958773,0.7131281155853496,2.5715097176271556e-15,5.436479701767612e-08,0
广东,warp_strength,0.02,108,disk,0.49491525423728816,0.8066298342541437,0.6134453781512604,181,295,146,35,149,0.49245797901512667,0.5047434790748249,28.835246849424,3.782164548457272,0.9796983813960578,1.9124412449614865,0.0,2.5020642609099777e-14,0
广东,warp_strength,0.02,108,annulus,0.49814126394052044,0.7403314917127072,0.5955555555555555,181,269,134,47,135,0.48907359097272685,0.5265509046657437,28.117149114374694,2.337188940606529,0.972705707508074,2.240865258500934,9.183963277239842e-16,3.9792106184304156e-08,0
