source,target,status
CEG2000_f4_r0028_c0108,CEG2000_f4_r0028_c0109,preserved
CEG2000_f4_r0028_c0108,CEG2000_f4_r0029_c0107,new
CEG2000_f4_r0028_c0108,CEG2000_f4_r0029_c0108,preserved
CEG2000_f4_r0028_c0109,CEG2000_f4_r0028_c0110,preserved
CEG2000_f4_r0028_c0109,CEG2000_f4_r0029_c0108,new
CEG2000_f4_r0028_c0109,CEG2000_f4_r0029_c0109,preserved
CEG2000_f4_r0028_c0110,CEG2000_f4_r0028_c0111,preserved
CEG2000_f4_r0028_c0110,CEG2000_f4_r0029_c0109,new
CEG2000_f4_r0028_c0110,CEG2000_f4_r0029_c0110,preserved
CEG2000_f4_r0028_c0111,CEG2000_f4_r0028_c0112,preserved
CEG2000_f4_r0028_c0111,CEG2000_f4_r0029_c0110,new
CEG2000_f4_r0028_c0111,CEG2000_f4_r0029_c0111,preserved
CEG2000_f4_r0028_c0112,CEG2000_f4_r0029_c0111,new
CEG2000_f4_r0028_c0112,CEG2000_f4_r0029_c0112,preserved
CEG2000_f4_r0029_c0106,CEG2000_f4_r0029_c0107,preserved
CEG2000_f4_r0029_c0106,CEG2000_f4_r0030_c0106,preserved
CEG2000_f4_r0029_c0106,CEG2000_f4_r0030_c0107,new
CEG2000_f4_r0029_c0107,CEG2000_f4_r0029_c0108,preserved
CEG2000_f4_r0029_c0107,CEG2000_f4_r0030_c0107,preserved
CEG2000_f4_r0029_c0108,CEG2000_f4_r0029_c0109,preserved
CEG2000_f4_r0029_c0108,CEG2000_f4_r0030_c0107,new
CEG2000_f4_r0029_c0108,CEG2000_f4_r0030_c0108,preserved
CEG2000_f4_r0029_c0109,CEG2000_f4_r0029_c0110,preserved
CEG2000_f4_r0029_c0109,CEG2000_f4_r0030_c0108,new
CEG2000_f4_r0029_c0109,CEG2000_f4_r0030_c0109,preserved
CEG2000_f4_r0029_c0110,CEG2000_f4_r0029_c0111,preserved
CEG2000_f4_r0029_c0110,CEG2000_f4_r0030_c0109,new
CEG2000_f4_r0029_c0110,CEG2000_f4_r0030_c0110,preserved
CEG2000_f4_r0029_c0111,CEG2000_f4_r0029_c0112,preserved
CEG2000_f4_r0029_c0111,CEG2000_f4_r0030_c0110,new
CEG2000_f4_r0029_c0111,CEG2000_f4_r0030_c0111,preserved
CEG2000_f4_r0029_c0112,CEG2000_f4_r0029_c0113,preserved
CEG2000_f4_r0029_c0112,CEG2000_f4_r0030_c0111,new
CEG2000_f4_r0029_c0112,CEG2000_f4_r0030_c0112,preserved
CEG2000_f4_r0029_c0113,CEG2000_f4_r0030_c0112,new
CEG2000_f4_r0029_c0113,CEG2000_f4_r0030_c0113,preserved
CEG2000_f4_r0030_c0105,CEG2000_f4_r0030_c0106,lost
CEG2000_f4_r0030_c0105,CEG2000_f4_r0031_c0106,new
CEG2000_f4_r0030_c0105,CEG2000_f4_r0031_c0107,new
CEG2000_f4_r0030_c0105,CEG2000_f4_r0032_c0105,new
CEG2000_f4_r0030_c0105,CEG2000_f4_r0032_c0106,new
CEG2000_f4_r0030_c0106,CEG2000_f4_r0030_c0107,preserved
CEG2000_f4_r0030_c0106,CEG2000_f4_r0031_c0106,preserved
CEG2000_f4_r0030_c0106,CEG2000_f4_r0031_c0107,new
CEG2000_f4_r0030_c0107,CEG2000_f4_r0030_c0108,preserved
CEG2000_f4_r0030_c0107,CEG2000_f4_r0031_c0107,preserved
CEG2000_f4_r0030_c0108,CEG2000_f4_r0030_c0109,preserved
CEG2000_f4_r0030_c0108,CEG2000_f4_r0031_c0107,new
CEG2000_f4_r0030_c0108,CEG2000_f4_r0031_c0108,preserved
CEG2000_f4_r0030_c0109,CEG2000_f4_r0030_c0110,preserved
CEG2000_f4_r0030_c0109,CEG2000_f4_r0031_c0108,new
CEG2000_f4_r0030_c0109,CEG2000_f4_r0031_c0109,preserved
CEG2000_f4_r0030_c0110,CEG2000_f4_r0030_c0111,preserved
CEG2000_f4_r0030_c0110,CEG2000_f4_r0031_c0109,new
CEG2000_f4_r0030_c0110,CEG2000_f4_r0031_c0110,preserved
CEG2000_f4_r0030_c0111,CEG2000_f4_r0030_c0112,preserved
CEG2000_f4_r0030_c0111,CEG2000_f4_r0031_c0110,new
CEG2000_f4_r0030_c0111,CEG2000_f4_r0031_c0111,preserved
CEG2000_f4_r0030_c0112,CEG2000_f4_r0030_c0113,preserved
CEG2000_f4_r0030_c0112,CEG2000_f4_r0031_c0111,new
CEG2000_f4_r0030_c0112,CEG2000_f4_r0031_c0112,preserved
CEG2000_f4_r0030_c0113,CEG2000_f4_r0031_c0112,new
CEG2000_f4_r0030_c0113,CEG2000_f4_r0031_c0113,preserved
CEG2000_f4_r0031_c0106,CEG2000_f4_r0031_c0107,preserved
CEG2000_f4_r0031_c0106,CEG2000_f4_r0032_c0106,lost
CEG2000_f4_r0031_c0107,CEG2000_f4_r0031_c0108,preserved
CEG2000_f4_r0031_c0107,CEG2000_f4_r0032_c0106,new
CEG2000_f4_r0031_c0107,CEG2000_f4_r0032_c0107,preserved
CEG2000_f4_r0031_c0108,CEG2000_f4_r0031_c0109,preserved
CEG2000_f4_r0031_c0108,CEG2000_f4_r0032_c0107,new
CEG2000_f4_r0031_c0108,CEG2000_f4_r0032_c0108,preserved
CEG2000_f4_r0031_c0109,CEG2000_f4_r0031_c0110,preserved
CEG2000_f4_r0031_c0109,CEG2000_f4_r0032_c0108,new
CEG2000_f4_r0031_c0109,CEG2000_f4_r0032_c0109,preserved
CEG2000_f4_r0031_c0110,CEG2000_f4_r0031_c0111,preserved
CEG2000_f4_r0031_c0110,CEG2000_f4_r0032_c0109,new
CEG2000_f4_r0031_c0110,CEG2000_f4_r0032_c0110,preserved
CEG2000_f4_r0031_c0111,CEG2000_f4_r0031_c0112,preserved
CEG2000_f4_r0031_c0111,CEG2000_f4_r0032_c0110,new
CEG2000_f4_r0031_c0111,CEG2000_f4_r0032_c0111,preserved
CEG2000_f4_r0031_c0112,CEG2000_f4_r0031_c0113,preserved
CEG2000_f4_r0031_c0112,CEG2000_f4_r0032_c0111,new
CEG2000_f4_r0031_c0112,CEG2000_f4_r0032_c0112,preserved
CEG2000_f4_r0031_c0113,CEG2000_f4_r0031_c0114,preserved
CEG2000_f4_r0031_c0113,CEG2000_f4_r0032_c0112,new
CEG2000_f4_r0031_c0113,CEG2000_f4_r0032_c0113,lost
CEG2000_f4_r0031_c0114,CEG2000_f4_r0032_c0112,new
CEG2000_f4_r0031_c0114,CEG2000_f4_r0032_c0113,new
CEG2000_f4_r0031_c0114,CEG2000_f4_r0032_c0114,lost
CEG2000_f4_r0032_c0104,CEG2000_f4_r0032_c0105,preserved
CEG2000_f4_r0032_c0104,CEG2000_f4_r0032_c0106,new
CEG2000_f4_r0032_c0104,CEG2000_f4_r0033_c0105,new
