source,target,status
CEG2000_f4_r0005_c0091,CEG2000_f4_r0006_c0091,preserved
CEG2000_f4_r0006_c0090,CEG2000_f4_r0006_c0091,preserved
CEG2000_f4_r0006_c0090,CEG2000_f4_r0007_c0090,preserved
CEG2000_f4_r0006_c0090,CEG2000_f4_r0007_c0091,new
CEG2000_f4_r0006_c0091,CEG2000_f4_r0007_c0091,preserved
CEG2000_f4_r0006_c0091,CEG2000_f4_r0007_c0092,new
CEG2000_f4_r0007_c0090,CEG2000_f4_r0007_c0091,preserved
CEG2000_f4_r0007_c0090,CEG2000_f4_r0008_c0090,preserved
CEG2000_f4_r0007_c0090,CEG2000_f4_r0008_c0091,new
CEG2000_f4_r0007_c0091,CEG2000_f4_r0007_c0092,preserved
CEG2000_f4_r0007_c0091,CEG2000_f4_r0008_c0091,preserved
CEG2000_f4_r0007_c0091,CEG2000_f4_r0008_c0092,new
CEG2000_f4_r0007_c0092,CEG2000_f4_r0008_c0092,preserved
CEG2000_f4_r0008_c0090,CEG2000_f4_r0008_c0091,preserved
CEG2000_f4_r0008_c0091,CEG2000_f4_r0008_c0092,preserved
CEG2000_f4_r0008_c0091,CEG2000_f4_r0009_c0092,new
CEG2000_f4_r0008_c0092,CEG2000_f4_r0008_c0093,preserved
CEG2000_f4_r0008_c0092,CEG2000_f4_r0009_c0092,preserved
CEG2000_f4_r0008_c0092,CEG2000_f4_r0009_c0093,new
CEG2000_f4_r0008_c0093,CEG2000_f4_r0008_c0094,preserved
CEG2000_f4_r0008_c0093,CEG2000_f4_r0009_c0093,preserved
CEG2000_f4_r0008_c0093,CEG2000_f4_r0009_c0094,new
CEG2000_f4_r0008_c0094,CEG2000_f4_r0008_c0095,preserved
CEG2000_f4_r0008_c0094,CEG2000_f4_r0009_c0094,preserved
CEG2000_f4_r0008_c0094,CEG2000_f4_r0009_c0095,new
CEG2000_f4_r0008_c0095,CEG2000_f4_r0009_c0095,preserved
CEG2000_f4_r0008_c0095,CEG2000_f4_r0009_c0096,new
CEG2000_f4_r0009_c0092,CEG2000_f4_r0009_c0093,preserved
CEG2000_f4_r0009_c0093,CEG2000_f4_r0009_c0094,preserved
CEG2000_f4_r0009_c0093,CEG2000_f4_r0010_c0093,preserved
CEG2000_f4_r0009_c0093,CEG2000_f4_r0010_c0094,new
CEG2000_f4_r0009_c0094,CEG2000_f4_r0009_c0095,preserved
CEG2000_f4_r0009_c0094,CEG2000_f4_r0010_c0094,preserved
CEG2000_f4_r0009_c0094,CEG2000_f4_r0010_c0095,new
CEG2000_f4_r0009_c0095,CEG2000_f4_r0009_c0096,preserved
CEG2000_f4_r0009_c0095,CEG2000_f4_r0010_c0095,preserved
CEG2000_f4_r0009_c0095,CEG2000_f4_r0010_c0096,new
CEG2000_f4_r0009_c0096,CEG2000_f4_r0009_c0097,preserved
CEG2000_f4_r0009_c0096,CEG2000_f4_r0010_c0096,preserved
CEG2000_f4_r0009_c0096,CEG2000_f4_r0010_c0097,new
CEG2000_f4_r0009_c0097,CEG2000_f4_r0009_c0098,preserved
CEG2000_f4_r0009_c0097,CEG2000_f4_r0010_c0097,preserved
CEG2000_f4_r0009_c0097,CEG2000_f4_r0010_c0098,new
CEG2000_f4_r0009_c0098,CEG2000_f4_r0009_c0099,preserved
CEG2000_f4_r0009_c0098,CEG2000_f4_r0010_c0097,new
CEG2000_f4_r0009_c0098,CEG2000_f4_r0010_c0098,preserved
