source,target,status
CEG2000_f4_r0008_c0085,CEG2000_f4_r0008_c0086,preserved
CEG2000_f4_r0008_c0085,CEG2000_f4_r0009_c0085,preserved
CEG2000_f4_r0008_c0085,CEG2000_f4_r0009_c0086,new
CEG2000_f4_r0008_c0086,CEG2000_f4_r0009_c0086,preserved
CEG2000_f4_r0008_c0086,CEG2000_f4_r0009_c0087,new
CEG2000_f4_r0008_c0088,CEG2000_f4_r0008_c0089,preserved
CEG2000_f4_r0008_c0088,CEG2000_f4_r0009_c0087,new
CEG2000_f4_r0008_c0088,CEG2000_f4_r0009_c0088,preserved
CEG2000_f4_r0008_c0089,CEG2000_f4_r0008_c0090,preserved
CEG2000_f4_r0008_c0089,CEG2000_f4_r0009_c0088,new
CEG2000_f4_r0008_c0089,CEG2000_f4_r0009_c0089,preserved
CEG2000_f4_r0008_c0090,CEG2000_f4_r0009_c0089,new
CEG2000_f4_r0008_c0090,CEG2000_f4_r0009_c0090,preserved
CEG2000_f4_r0009_c0083,CEG2000_f4_r0009_c0084,preserved
CEG2000_f4_r0009_c0083,CEG2000_f4_r0010_c0083,preserved
CEG2000_f4_r0009_c0083,CEG2000_f4_r0010_c0084,new
CEG2000_f4_r0009_c0084,CEG2000_f4_r0009_c0085,preserved
CEG2000_f4_r0009_c0084,CEG2000_f4_r0010_c0084,preserved
CEG2000_f4_r0009_c0084,CEG2000_f4_r0010_c0085,new
CEG2000_f4_r0009_c0085,CEG2000_f4_r0009_c0086,preserved
CEG2000_f4_r0009_c0085,CEG2000_f4_r0010_c0085,preserved
CEG2000_f4_r0009_c0085,CEG2000_f4_r0010_c0086,new
CEG2000_f4_r0009_c0086,CEG2000_f4_r0009_c0087,preserved
CEG2000_f4_r0009_c0086,CEG2000_f4_r0010_c0086,preserved
CEG2000_f4_r0009_c0086,CEG2000_f4_r0010_c0087,new
CEG2000_f4_r0009_c0087,CEG2000_f4_r0009_c0088,preserved
CEG2000_f4_r0009_c0087,CEG2000_f4_r0010_c0087,preserved
CEG2000_f4_r0009_c0088,CEG2000_f4_r0009_c0089,preserved
CEG2000_f4_r0009_c0088,CEG2000_f4_r0010_c0087,new
CEG2000_f4_r0009_c0088,CEG2000_f4_r0010_c0088,preserved
CEG2000_f4_r0009_c0089,CEG2000_f4_r0009_c0090,preserved
CEG2000_f4_r0009_c0089,CEG2000_f4_r0010_c0088,new
CEG2000_f4_r0009_c0089,CEG2000_f4_r0010_c0089,preserved
CEG2000_f4_r0009_c0090,CEG2000_f4_r0009_c0091,preserved
CEG2000_f4_r0009_c0090,CEG2000_f4_r0010_c0089,new
CEG2000_f4_r0009_c0090,CEG2000_f4_r0010_c0090,preserved
CEG2000_f4_r0009_c0091,CEG2000_f4_r0009_c0092,preserved
CEG2000_f4_r0009_c0091,CEG2000_f4_r0010_c0090,new
CEG2000_f4_r0009_c0091,CEG2000_f4_r0010_c0091,preserved
CEG2000_f4_r0009_c0092,CEG2000_f4_r0010_c0091,new
CEG2000_f4_r0009_c0092,CEG2000_f4_r0010_c0092,preserved
CEG2000_f4_r0010_c0083,CEG2000_f4_r0010_c0084,preserved
CEG2000_f4_r0010_c0083,CEG2000_f4_r0011_c0083,preserved
CEG2000_f4_r0010_c0083,CEG2000_f4_r0011_c0084,new
CEG2000_f4_r0010_c0084,CEG2000_f4_r0010_c0085,preserved
CEG2000_f4_r0010_c0084,CEG2000_f4_r0011_c0084,preserved
CEG2000_f4_r0010_c0084,CEG2000_f4_r0011_c0085,new
CEG2000_f4_r0010_c0085,CEG2000_f4_r0010_c0086,preserved
CEG2000_f4_r0010_c0085,CEG2000_f4_r0011_c0085,preserved
CEG2000_f4_r0010_c0085,CEG2000_f4_r0011_c0086,new
CEG2000_f4_r0010_c0086,CEG2000_f4_r0010_c0087,preserved
CEG2000_f4_r0010_c0086,CEG2000_f4_r0011_c0086,preserved
CEG2000_f4_r0010_c0086,CEG2000_f4_r0011_c0087,new
CEG2000_f4_r0010_c0087,CEG2000_f4_r0010_c0088,preserved
CEG2000_f4_r0010_c0087,CEG2000_f4_r0011_c0087,preserved
CEG2000_f4_r0010_c0088,CEG2000_f4_r0010_c0089,preserved
CEG2000_f4_r0010_c0088,CEG2000_f4_r0011_c0087,new
CEG2000_f4_r0010_c0088,CEG2000_f4_r0011_c0088,preserved
CEG2000_f4_r0010_c0089,CEG2000_f4_r0010_c0090,preserved
CEG2000_f4_r0010_c0089,CEG2000_f4_r0011_c0088,new
CEG2000_f4_r0010_c0089,CEG2000_f4_r0011_c0089,preserved
CEG2000_f4_r0010_c0089,CEG2000_f4_r0012_c0088,new
