source,target,status
CEG2000_f4_r0022_c0115,CEG2000_f4_r0022_c0116,preserved
CEG2000_f4_r0022_c0115,CEG2000_f4_r0023_c0115,preserved
CEG2000_f4_r0022_c0116,CEG2000_f4_r0023_c0116,preserved
CEG2000_f4_r0023_c0113,CEG2000_f4_r0023_c0114,preserved
CEG2000_f4_r0023_c0113,CEG2000_f4_r0024_c0113,preserved
CEG2000_f4_r0023_c0113,CEG2000_f4_r0024_c0114,new
CEG2000_f4_r0023_c0114,CEG2000_f4_r0023_c0115,preserved
CEG2000_f4_r0023_c0114,CEG2000_f4_r0024_c0114,preserved
CEG2000_f4_r0023_c0114,CEG2000_f4_r0024_c0115,new
CEG2000_f4_r0023_c0115,CEG2000_f4_r0023_c0116,preserved
CEG2000_f4_r0023_c0115,CEG2000_f4_r0024_c0115,preserved
CEG2000_f4_r0023_c0116,CEG2000_f4_r0023_c0117,preserved
CEG2000_f4_r0023_c0116,CEG2000_f4_r0024_c0116,preserved
CEG2000_f4_r0023_c0117,CEG2000_f4_r0024_c0116,new
CEG2000_f4_r0023_c0117,CEG2000_f4_r0024_c0117,preserved
CEG2000_f4_r0024_c0113,CEG2000_f4_r0024_c0114,preserved
CEG2000_f4_r0024_c0113,CEG2000_f4_r0025_c0113,preserved
CEG2000_f4_r0024_c0113,CEG2000_f4_r0025_c0114,new
CEG2000_f4_r0024_c0114,CEG2000_f4_r0024_c0115,preserved
CEG2000_f4_r0024_c0114,CEG2000_f4_r0025_c0114,preserved
CEG2000_f4_r0024_c0114,CEG2000_f4_r0025_c0115,new
CEG2000_f4_r0024_c0115,CEG2000_f4_r0024_c0116,preserved
CEG2000_f4_r0024_c0115,CEG2000_f4_r0025_c0115,preserved
CEG2000_f4_r0024_c0115,CEG2000_f4_r0025_c0116,new
CEG2000_f4_r0024_c0116,CEG2000_f4_r0024_c0117,preserved
CEG2000_f4_r0024_c0116,CEG2000_f4_r0025_c0116,preserved
CEG2000_f4_r0024_c0117,CEG2000_f4_r0024_c0118,preserved
CEG2000_f4_r0024_c0117,CEG2000_f4_r0025_c0116,new
CEG2000_f4_r0024_c0117,CEG2000_f4_r0025_c0117,preserved
CEG2000_f4_r0024_c0118,CEG2000_f4_r0025_c0117,new
CEG2000_f4_r0024_c0118,CEG2000_f4_r0025_c0118,preserved
CEG2000_f4_r0025_c0112,CEG2000_f4_r0025_c0113,preserved
CEG2000_f4_r0025_c0112,CEG2000_f4_r0026_c0112,preserved
CEG2000_f4_r0025_c0113,CEG2000_f4_r0025_c0114,preserved
CEG2000_f4_r0025_c0113,CEG2000_f4_r0026_c0113,preserved
CEG2000_f4_r0025_c0113,CEG2000_f4_r0026_c0114,new
CEG2000_f4_r0025_c0114,CEG2000_f4_r0025_c0115,preserved
CEG2000_f4_r0025_c0114,CEG2000_f4_r0026_c0114,preserved
CEG2000_f4_r0025_c0114,CEG2000_f4_r0026_c0115,new
CEG2000_f4_r0025_c0115,CEG2000_f4_r0025_c0116,preserved
CEG2000_f4_r0025_c0115,CEG2000_f4_r0026_c0115,preserved
CEG2000_f4_r0025_c0115,CEG2000_f4_r0026_c0116,new
CEG2000_f4_r0025_c0116,CEG2000_f4_r0025_c0117,preserved
CEG2000_f4_r0025_c0116,CEG2000_f4_r0026_c0116,preserved
CEG2000_f4_r0025_c0117,CEG2000_f4_r0025_c0118,preserved
CEG2000_f4_r0025_c0117,CEG2000_f4_r0026_c0116,new
CEG2000_f4_r0025_c0117,CEG2000_f4_r0026_c0117,preserved
CEG2000_f4_r0025_c0118,CEG2000_f4_r0025_c0119,preserved
CEG2000_f4_r0025_c0118,CEG2000_f4_r0026_c0117,new
CEG2000_f4_r0025_c0118,CEG2000_f4_r0026_c0118,preserved
CEG2000_f4_r0025_c0119,CEG2000_f4_r0026_c0118,new
CEG2000_f4_r0025_c0119,CEG2000_f4_r0026_c0119,preserved
CEG2000_f4_r0026_c0111,CEG2000_f4_r0026_c0112,preserved
CEG2000_f4_r0026_c0111,CEG2000_f4_r0027_c0111,preserved
CEG2000_f4_r0026_c0112,CEG2000_f4_r0026_c0113,preserved
CEG2000_f4_r0026_c0112,CEG2000_f4_r0027_c0112,preserved
CEG2000_f4_r0026_c0113,CEG2000_f4_r0026_c0114,preserved
CEG2000_f4_r0026_c0113,CEG2000_f4_r0027_c0113,preserved
CEG2000_f4_r0026_c0114,CEG2000_f4_r0026_c0115,preserved
CEG2000_f4_r0026_c0114,CEG2000_f4_r0027_c0114,preserved
CEG2000_f4_r0026_c0115,CEG2000_f4_r0026_c0116,preserved
CEG2000_f4_r0026_c0115,CEG2000_f4_r0027_c0115,preserved
CEG2000_f4_r0026_c0116,CEG2000_f4_r0026_c0117,preserved
CEG2000_f4_r0026_c0116,CEG2000_f4_r0027_c0116,preserved
CEG2000_f4_r0026_c0117,CEG2000_f4_r0026_c0118,preserved
CEG2000_f4_r0026_c0117,CEG2000_f4_r0027_c0117,preserved
CEG2000_f4_r0026_c0118,CEG2000_f4_r0026_c0119,preserved
CEG2000_f4_r0026_c0118,CEG2000_f4_r0027_c0118,preserved
CEG2000_f4_r0026_c0119,CEG2000_f4_r0027_c0119,preserved
CEG2000_f4_r0027_c0111,CEG2000_f4_r0027_c0112,preserved
CEG2000_f4_r0027_c0112,CEG2000_f4_r0027_c0113,preserved
CEG2000_f4_r0027_c0112,CEG2000_f4_r0028_c0112,preserved
CEG2000_f4_r0027_c0113,CEG2000_f4_r0027_c0114,preserved
CEG2000_f4_r0027_c0113,CEG2000_f4_r0028_c0112,new
CEG2000_f4_r0027_c0113,CEG2000_f4_r0028_c0113,preserved
CEG2000_f4_r0027_c0114,CEG2000_f4_r0027_c0115,preserved
CEG2000_f4_r0027_c0114,CEG2000_f4_r0028_c0113,new
CEG2000_f4_r0027_c0114,CEG2000_f4_r0028_c0114,preserved
CEG2000_f4_r0027_c0115,CEG2000_f4_r0027_c0116,preserved
CEG2000_f4_r0027_c0115,CEG2000_f4_r0028_c0114,new
CEG2000_f4_r0027_c0115,CEG2000_f4_r0028_c0115,preserved
CEG2000_f4_r0027_c0116,CEG2000_f4_r0027_c0117,preserved
CEG2000_f4_r0027_c0116,CEG2000_f4_r0028_c0115,new
CEG2000_f4_r0027_c0116,CEG2000_f4_r0028_c0116,preserved
CEG2000_f4_r0027_c0116,CEG2000_f4_r0028_c0117,new
CEG2000_f4_r0027_c0117,CEG2000_f4_r0027_c0118,preserved
CEG2000_f4_r0027_c0117,CEG2000_f4_r0028_c0117,preserved
CEG2000_f4_r0027_c0117,CEG2000_f4_r0028_c0118,new
CEG2000_f4_r0027_c0118,CEG2000_f4_r0027_c0119,preserved
CEG2000_f4_r0027_c0118,CEG2000_f4_r0028_c0118,preserved
CEG2000_f4_r0027_c0118,CEG2000_f4_r0028_c0119,new
CEG2000_f4_r0027_c0119,CEG2000_f4_r0027_c0120,preserved
CEG2000_f4_r0027_c0119,CEG2000_f4_r0028_c0119,preserved
CEG2000_f4_r0027_c0119,CEG2000_f4_r0028_c0120,new
CEG2000_f4_r0027_c0120,CEG2000_f4_r0028_c0120,preserved
CEG2000_f4_r0028_c0112,CEG2000_f4_r0028_c0113,preserved
CEG2000_f4_r0028_c0113,CEG2000_f4_r0028_c0114,preserved
CEG2000_f4_r0028_c0113,CEG2000_f4_r0029_c0113,preserved
CEG2000_f4_r0028_c0114,CEG2000_f4_r0028_c0115,preserved
CEG2000_f4_r0028_c0114,CEG2000_f4_r0029_c0113,new
CEG2000_f4_r0028_c0114,CEG2000_f4_r0029_c0114,preserved
CEG2000_f4_r0028_c0115,CEG2000_f4_r0028_c0116,preserved
CEG2000_f4_r0028_c0115,CEG2000_f4_r0029_c0114,new
CEG2000_f4_r0028_c0115,CEG2000_f4_r0029_c0115,preserved
CEG2000_f4_r0028_c0116,CEG2000_f4_r0028_c0117,preserved
CEG2000_f4_r0028_c0116,CEG2000_f4_r0029_c0115,new
CEG2000_f4_r0028_c0116,CEG2000_f4_r0029_c0116,preserved
CEG2000_f4_r0028_c0116,CEG2000_f4_r0029_c0117,new
CEG2000_f4_r0028_c0117,CEG2000_f4_r0028_c0118,preserved
CEG2000_f4_r0028_c0117,CEG2000_f4_r0029_c0117,preserved
CEG2000_f4_r0028_c0117,CEG2000_f4_r0029_c0118,new
CEG2000_f4_r0028_c0118,CEG2000_f4_r0028_c0119,preserved
CEG2000_f4_r0028_c0118,CEG2000_f4_r0029_c0118,preserved
CEG2000_f4_r0028_c0118,CEG2000_f4_r0029_c0119,new
CEG2000_f4_r0028_c0119,CEG2000_f4_r0028_c0120,preserved
CEG2000_f4_r0028_c0119,CEG2000_f4_r0029_c0119,preserved
CEG2000_f4_r0029_c0113,CEG2000_f4_r0029_c0114,preserved
CEG2000_f4_r0029_c0114,CEG2000_f4_r0029_c0115,preserved
CEG2000_f4_r0029_c0114,CEG2000_f4_r0030_c0114,preserved
CEG2000_f4_r0029_c0115,CEG2000_f4_r0029_c0116,preserved
CEG2000_f4_r0029_c0115,CEG2000_f4_r0030_c0114,new
CEG2000_f4_r0029_c0115,CEG2000_f4_r0030_c0115,preserved
CEG2000_f4_r0029_c0116,CEG2000_f4_r0029_c0117,preserved
CEG2000_f4_r0029_c0116,CEG2000_f4_r0030_c0116,preserved
CEG2000_f4_r0029_c0116,CEG2000_f4_r0030_c0117,new
CEG2000_f4_r0029_c0117,CEG2000_f4_r0029_c0118,preserved
CEG2000_f4_r0029_c0117,CEG2000_f4_r0030_c0117,preserved
CEG2000_f4_r0029_c0117,CEG2000_f4_r0030_c0118,new
CEG2000_f4_r0029_c0118,CEG2000_f4_r0029_c0119,preserved
CEG2000_f4_r0029_c0118,CEG2000_f4_r0030_c0118,preserved
CEG2000_f4_r0030_c0114,CEG2000_f4_r0030_c0115,preserved
CEG2000_f4_r0030_c0115,CEG2000_f4_r0030_c0116,preserved
CEG2000_f4_r0030_c0115,CEG2000_f4_r0031_c0115,preserved
CEG2000_f4_r0030_c0116,CEG2000_f4_r0030_c0117,preserved
CEG2000_f4_r0030_c0116,CEG2000_f4_r0031_c0116,preserved
CEG2000_f4_r0030_c0116,CEG2000_f4_r0031_c0117,new
CEG2000_f4_r0030_c0117,CEG2000_f4_r0030_c0118,preserved
CEG2000_f4_r0030_c0117,CEG2000_f4_r0031_c0117,preserved
CEG2000_f4_r0030_c0117,CEG2000_f4_r0031_c0118,new
CEG2000_f4_r0030_c0118,CEG2000_f4_r0031_c0118,preserved
CEG2000_f4_r0031_c0115,CEG2000_f4_r0031_c0116,preserved
CEG2000_f4_r0031_c0116,CEG2000_f4_r0031_c0117,preserved
CEG2000_f4_r0031_c0117,CEG2000_f4_r0031_c0118,preserved
