source,target,status
CEG2000_f4_r0027_c0088,CEG2000_f4_r0027_c0089,preserved
CEG2000_f4_r0027_c0088,CEG2000_f4_r0028_c0088,preserved
CEG2000_f4_r0027_c0089,CEG2000_f4_r0028_c0089,preserved
CEG2000_f4_r0027_c0089,CEG2000_f4_r0028_c0090,new
CEG2000_f4_r0027_c0089,CEG2000_f4_r0028_c0091,new
CEG2000_f4_r0027_c0100,CEG2000_f4_r0027_c0101,preserved
CEG2000_f4_r0027_c0100,CEG2000_f4_r0028_c0099,new
CEG2000_f4_r0027_c0100,CEG2000_f4_r0028_c0100,preserved
CEG2000_f4_r0027_c0101,CEG2000_f4_r0027_c0102,preserved
CEG2000_f4_r0027_c0101,CEG2000_f4_r0028_c0101,preserved
CEG2000_f4_r0027_c0102,CEG2000_f4_r0028_c0101,new
CEG2000_f4_r0027_c0102,CEG2000_f4_r0028_c0102,preserved
CEG2000_f4_r0028_c0087,CEG2000_f4_r0028_c0088,preserved
CEG2000_f4_r0028_c0087,CEG2000_f4_r0029_c0087,preserved
CEG2000_f4_r0028_c0088,CEG2000_f4_r0028_c0089,preserved
CEG2000_f4_r0028_c0088,CEG2000_f4_r0029_c0088,preserved
CEG2000_f4_r0028_c0089,CEG2000_f4_r0028_c0090,preserved
CEG2000_f4_r0028_c0089,CEG2000_f4_r0029_c0089,preserved
CEG2000_f4_r0028_c0090,CEG2000_f4_r0028_c0091,preserved
CEG2000_f4_r0028_c0090,CEG2000_f4_r0029_c0090,preserved
CEG2000_f4_r0028_c0091,CEG2000_f4_r0028_c0092,preserved
CEG2000_f4_r0028_c0091,CEG2000_f4_r0029_c0090,new
CEG2000_f4_r0028_c0091,CEG2000_f4_r0029_c0091,preserved
CEG2000_f4_r0028_c0091,CEG2000_f4_r0029_c0092,new
CEG2000_f4_r0028_c0091,CEG2000_f4_r0029_c0093,new
CEG2000_f4_r0028_c0092,CEG2000_f4_r0029_c0092,lost
CEG2000_f4_r0028_c0092,CEG2000_f4_r0029_c0093,new
CEG2000_f4_r0028_c0092,CEG2000_f4_r0029_c0094,new
CEG2000_f4_r0028_c0096,CEG2000_f4_r0028_c0097,preserved
CEG2000_f4_r0028_c0096,CEG2000_f4_r0029_c0096,preserved
CEG2000_f4_r0028_c0097,CEG2000_f4_r0028_c0098,preserved
CEG2000_f4_r0028_c0097,CEG2000_f4_r0029_c0097,preserved
CEG2000_f4_r0028_c0098,CEG2000_f4_r0028_c0099,preserved
CEG2000_f4_r0028_c0098,CEG2000_f4_r0029_c0098,preserved
CEG2000_f4_r0028_c0099,CEG2000_f4_r0028_c0100,preserved
CEG2000_f4_r0028_c0099,CEG2000_f4_r0029_c0098,new
CEG2000_f4_r0028_c0099,CEG2000_f4_r0029_c0099,preserved
