source,target,status
CEG2000_f4_r0016_c0094,CEG2000_f4_r0016_c0095,preserved
CEG2000_f4_r0016_c0094,CEG2000_f4_r0017_c0094,preserved
CEG2000_f4_r0016_c0095,CEG2000_f4_r0016_c0096,preserved
CEG2000_f4_r0016_c0095,CEG2000_f4_r0017_c0094,new
CEG2000_f4_r0016_c0095,CEG2000_f4_r0017_c0095,preserved
CEG2000_f4_r0016_c0096,CEG2000_f4_r0017_c0096,preserved
CEG2000_f4_r0016_c0096,CEG2000_f4_r0017_c0097,new
CEG2000_f4_r0016_c0098,CEG2000_f4_r0017_c0097,new
CEG2000_f4_r0016_c0098,CEG2000_f4_r0017_c0098,preserved
CEG2000_f4_r0017_c0094,CEG2000_f4_r0017_c0095,preserved
CEG2000_f4_r0017_c0094,CEG2000_f4_r0018_c0094,preserved
CEG2000_f4_r0017_c0095,CEG2000_f4_r0017_c0096,preserved
CEG2000_f4_r0017_c0095,CEG2000_f4_r0018_c0094,new
CEG2000_f4_r0017_c0095,CEG2000_f4_r0018_c0095,preserved
CEG2000_f4_r0017_c0096,CEG2000_f4_r0017_c0097,preserved
CEG2000_f4_r0017_c0096,CEG2000_f4_r0018_c0096,preserved
CEG2000_f4_r0017_c0097,CEG2000_f4_r0017_c0098,preserved
CEG2000_f4_r0017_c0097,CEG2000_f4_r0018_c0097,preserved
CEG2000_f4_r0017_c0098,CEG2000_f4_r0018_c0098,preserved
CEG2000_f4_r0017_c0100,CEG2000_f4_r0018_c0099,new
CEG2000_f4_r0017_c0100,CEG2000_f4_r0018_c0100,preserved
CEG2000_f4_r0018_c0094,CEG2000_f4_r0018_c0095,preserved
CEG2000_f4_r0018_c0094,CEG2000_f4_r0019_c0094,preserved
CEG2000_f4_r0018_c0094,CEG2000_f4_r0020_c0094,new
CEG2000_f4_r0018_c0095,CEG2000_f4_r0018_c0096,preserved
CEG2000_f4_r0018_c0095,CEG2000_f4_r0019_c0095,preserved
CEG2000_f4_r0018_c0096,CEG2000_f4_r0018_c0097,preserved
CEG2000_f4_r0018_c0096,CEG2000_f4_r0019_c0095,new
CEG2000_f4_r0018_c0096,CEG2000_f4_r0019_c0096,preserved
CEG2000_f4_r0018_c0096,CEG2000_f4_r0019_c0097,new
CEG2000_f4_r0018_c0097,CEG2000_f4_r0018_c0098,preserved
CEG2000_f4_r0018_c0097,CEG2000_f4_r0019_c0096,new
CEG2000_f4_r0018_c0097,CEG2000_f4_r0019_c0097,preserved
CEG2000_f4_r0018_c0098,CEG2000_f4_r0018_c0099,preserved
CEG2000_f4_r0018_c0098,CEG2000_f4_r0019_c0097,new
CEG2000_f4_r0018_c0098,CEG2000_f4_r0019_c0098,preserved
CEG2000_f4_r0018_c0099,CEG2000_f4_r0018_c0100,preserved
CEG2000_f4_r0018_c0099,CEG2000_f4_r0019_c0098,new
CEG2000_f4_r0018_c0099,CEG2000_f4_r0019_c0099,preserved
CEG2000_f4_r0018_c0100,CEG2000_f4_r0019_c0099,new
CEG2000_f4_r0018_c0100,CEG2000_f4_r0019_c0100,preserved
CEG2000_f4_r0019_c0089,CEG2000_f4_r0019_c0090,preserved
CEG2000_f4_r0019_c0089,CEG2000_f4_r0020_c0089,preserved
CEG2000_f4_r0019_c0089,CEG2000_f4_r0020_c0090,new
CEG2000_f4_r0019_c0090,CEG2000_f4_r0019_c0091,preserved
CEG2000_f4_r0019_c0090,CEG2000_f4_r0020_c0090,preserved
CEG2000_f4_r0019_c0090,CEG2000_f4_r0020_c0091,new
CEG2000_f4_r0019_c0091,CEG2000_f4_r0020_c0091,preserved
CEG2000_f4_r0019_c0091,CEG2000_f4_r0020_c0092,new
CEG2000_f4_r0019_c0094,CEG2000_f4_r0019_c0095,lost
CEG2000_f4_r0019_c0094,CEG2000_f4_r0020_c0093,new
CEG2000_f4_r0019_c0094,CEG2000_f4_r0020_c0094,preserved
CEG2000_f4_r0019_c0095,CEG2000_f4_r0019_c0096,preserved
CEG2000_f4_r0019_c0095,CEG2000_f4_r0020_c0094,new
CEG2000_f4_r0019_c0095,CEG2000_f4_r0020_c0095,preserved
CEG2000_f4_r0019_c0096,CEG2000_f4_r0019_c0097,preserved
CEG2000_f4_r0019_c0096,CEG2000_f4_r0020_c0096,preserved
CEG2000_f4_r0019_c0097,CEG2000_f4_r0019_c0098,preserved
CEG2000_f4_r0019_c0097,CEG2000_f4_r0020_c0096,new
CEG2000_f4_r0019_c0097,CEG2000_f4_r0020_c0097,preserved
CEG2000_f4_r0019_c0098,CEG2000_f4_r0019_c0099,preserved
CEG2000_f4_r0019_c0098,CEG2000_f4_r0020_c0097,new
CEG2000_f4_r0019_c0098,CEG2000_f4_r0020_c0098,preserved
CEG2000_f4_r0019_c0099,CEG2000_f4_r0019_c0100,preserved
CEG2000_f4_r0019_c0099,CEG2000_f4_r0020_c0099,preserved
