dataset,method,view,tolerance,adj_precision,adj_recall,adj_f1,original_edge_count,display_edge_count,preserved_edge_count,lost_edge_count,new_edge_count,np2
湖北,Direct Polar,disk,1e-06,0.6428571428571429,0.84,0.7283236994219654,225,294,189,36,105,0.5564644690922687
湖北,Direct Polar,disk,5e-06,0.6737160120845922,0.9911111111111112,0.8021582733812951,225,331,223,2,108,0.6754041547622447
湖北,Direct Polar,disk,2e-05,0.7124600638977636,0.9911111111111112,0.8289962825278812,225,313,223,2,90,0.7113096230394993
湖北,Direct Polar,disk,0.0001,0.7216828478964401,0.9911111111111112,0.8352059925093633,225,309,223,2,86,0.7196115800454049
湖北,Direct Polar,disk,0.0005,0.7170418006430869,0.9911111111111112,0.832089552238806,225,311,223,2,88,0.7172527882986636
湖北,Direct Polar,annulus,1e-06,0.6343042071197411,0.8711111111111111,0.7340823970037454,225,309,196,29,113,0.5859259593440349
湖北,Direct Polar,annulus,5e-06,0.6627218934911243,0.9955555555555555,0.7957371225577266,225,338,224,1,114,0.6739612248040756
湖北,Direct Polar,annulus,2e-05,0.6696428571428571,1.0,0.802139037433155,225,336,225,0,111,0.6829594587757245
湖北,Direct Polar,annulus,0.0001,0.665680473372781,1.0,0.7992895204262878,225,338,225,0,113,0.6781100397181606
湖北,Direct Polar,annulus,0.0005,0.6637168141592921,1.0,0.797872340425532,225,339,225,0,114,0.6766348482429692
湖北,Harmonic,disk,1e-06,0.5542168674698795,0.8177777777777778,0.6606822262118491,225,332,184,41,148,0.5555089261360423
湖北,Harmonic,disk,5e-06,0.5542168674698795,0.8177777777777778,0.6606822262118491,225,332,184,41,148,0.5555089261360423
湖北,Harmonic,disk,2e-05,0.5542168674698795,0.8177777777777778,0.6606822262118491,225,332,184,41,148,0.5555089261360423
湖北,Harmonic,disk,0.0001,0.5542168674698795,0.8177777777777778,0.6606822262118491,225,332,184,41,148,0.5555089261360423
湖北,Harmonic,disk,0.0005,0.552870090634441,0.8133333333333334,0.658273381294964,225,331,183,42,148,0.5544064321388115
湖北,Harmonic,annulus,1e-06,0.5379746835443038,0.7555555555555555,0.6284658040665434,225,316,170,55,146,0.5346873303331777
湖北,Harmonic,annulus,5e-06,0.5379746835443038,0.7555555555555555,0.6284658040665434,225,316,170,55,146,0.5346873303331777
湖北,Harmonic,annulus,2e-05,0.5379746835443038,0.7555555555555555,0.6284658040665434,225,316,170,55,146,0.5346873303331777
湖北,Harmonic,annulus,0.0001,0.5379746835443038,0.7555555555555555,0.6284658040665434,225,316,170,55,146,0.5346873303331777
湖北,Harmonic,annulus,0.0005,0.5379746835443038,0.7555555555555555,0.6284658040665434,225,316,170,55,146,0.5346873303331777
湖北,Area-balanced,disk,1e-06,0.5619596541786743,0.8666666666666667,0.6818181818181819,225,347,195,30,152,0.5527420763285023
湖北,Area-balanced,disk,5e-06,0.5619596541786743,0.8666666666666667,0.6818181818181819,225,347,195,30,152,0.5527420763285023
湖北,Area-balanced,disk,2e-05,0.5619596541786743,0.8666666666666667,0.6818181818181819,225,347,195,30,152,0.5527420763285023
湖北,Area-balanced,disk,0.0001,0.5619596541786743,0.8666666666666667,0.6818181818181819,225,347,195,30,152,0.5527420763285023
湖北,Area-balanced,disk,0.0005,0.5619596541786743,0.8666666666666667,0.6818181818181819,225,347,195,30,152,0.5527420763285023
湖北,Area-balanced,annulus,1e-06,0.49240121580547114,0.72,0.5848375451263538,225,329,162,63,167,0.5167574305777243
湖北,Area-balanced,annulus,5e-06,0.49240121580547114,0.72,0.5848375451263538,225,329,162,63,167,0.5167574305777243
湖北,Area-balanced,annulus,2e-05,0.49240121580547114,0.72,0.5848375451263538,225,329,162,63,167,0.5167574305777243
湖北,Area-balanced,annulus,0.0001,0.49240121580547114,0.72,0.5848375451263538,225,329,162,63,167,0.5167574305777243
湖北,Area-balanced,annulus,0.0005,0.49240121580547114,0.72,0.5848375451263538,225,329,162,63,167,0.5167574305777243
湖北,Regular Topology,disk,1e-06,0.3690205011389522,0.72,0.4879518072289156,225,439,162,63,277,0.3896436986873666
湖北,Regular Topology,disk,5e-06,0.3690205011389522,0.72,0.4879518072289156,225,439,162,63,277,0.3896436986873666
湖北,Regular Topology,disk,2e-05,0.3690205011389522,0.72,0.4879518072289156,225,439,162,63,277,0.3896436986873666
湖北,Regular Topology,disk,0.0001,0.3690205011389522,0.72,0.4879518072289156,225,439,162,63,277,0.3896436986873666
湖北,Regular Topology,disk,0.0005,0.3690205011389522,0.72,0.4879518072289156,225,439,162,63,277,0.3896436986873666
湖北,Regular Topology,annulus,1e-06,0.4341317365269461,0.6444444444444445,0.5187835420393561,225,334,145,80,189,0.41427942368569276
湖北,Regular Topology,annulus,5e-06,0.4341317365269461,0.6444444444444445,0.5187835420393561,225,334,145,80,189,0.41427942368569276
湖北,Regular Topology,annulus,2e-05,0.4341317365269461,0.6444444444444445,0.5187835420393561,225,334,145,80,189,0.41427942368569276
湖北,Regular Topology,annulus,0.0001,0.4341317365269461,0.6444444444444445,0.5187835420393561,225,334,145,80,189,0.41427942368569276
湖北,Regular Topology,annulus,0.0005,0.4341317365269461,0.6444444444444445,0.5187835420393561,225,334,145,80,189,0.41427942368569276
湖北,GeoDisk,disk,1e-06,0.4676056338028169,0.7377777777777778,0.5724137931034483,225,355,166,59,189,0.44952997032326264
湖北,GeoDisk,disk,5e-06,0.4676056338028169,0.7377777777777778,0.5724137931034483,225,355,166,59,189,0.44952997032326264
湖北,GeoDisk,disk,2e-05,0.4676056338028169,0.7377777777777778,0.5724137931034483,225,355,166,59,189,0.44952997032326264
湖北,GeoDisk,disk,0.0001,0.4676056338028169,0.7377777777777778,0.5724137931034483,225,355,166,59,189,0.44952997032326264
湖北,GeoDisk,disk,0.0005,0.4689265536723164,0.7377777777777778,0.5734024179620034,225,354,166,59,188,0.45137454070330213
湖北,GeoAnnulus,annulus,1e-06,0.48598130841121495,0.6933333333333334,0.5714285714285714,225,321,156,69,165,0.4798701381310336
湖北,GeoAnnulus,annulus,5e-06,0.48598130841121495,0.6933333333333334,0.5714285714285714,225,321,156,69,165,0.4798701381310336
湖北,GeoAnnulus,annulus,2e-05,0.48598130841121495,0.6933333333333334,0.5714285714285714,225,321,156,69,165,0.4798701381310336
湖北,GeoAnnulus,annulus,0.0001,0.48598130841121495,0.6933333333333334,0.5714285714285714,225,321,156,69,165,0.4798701381310336
湖北,GeoAnnulus,annulus,0.0005,0.48598130841121495,0.6933333333333334,0.5714285714285714,225,321,156,69,165,0.4798701381310336
湖北,GeoDisk-Final,disk,1e-06,0.6257142857142857,0.9733333333333334,0.7617391304347825,225,350,219,6,131,0.6296832361758535
湖北,GeoDisk-Final,disk,5e-06,0.6257142857142857,0.9733333333333334,0.7617391304347825,225,350,219,6,131,0.6296832361758535
湖北,GeoDisk-Final,disk,2e-05,0.6257142857142857,0.9733333333333334,0.7617391304347825,225,350,219,6,131,0.6296832361758535
湖北,GeoDisk-Final,disk,0.0001,0.6257142857142857,0.9733333333333334,0.7617391304347825,225,350,219,6,131,0.6296832361758535
湖北,GeoDisk-Final,disk,0.0005,0.6257142857142857,0.9733333333333334,0.7617391304347825,225,350,219,6,131,0.6296832361758535
