dataset_family,dataset,view,selected_candidate,topology_only_objective,topology_only_adj_f1,best_multistart_candidate,best_multistart_objective,best_multistart_adj_f1,final_objective,final_adj_f1,multistart_objective_gain,force_objective_gain,multistart_adj_f1_gain,force_adj_f1_gain,force_candidate_count
ceg,安徽,annulus,force_4,0.6428589244103695,0.5786802030456852,harmonic,0.7798891140353283,0.7025641025641024,0.85643308761822,0.772378516624041,0.13703018962495883,0.07654397358289167,0.12388389951841716,0.0698144140599386,4
ceg,安徽,disk,force_1,0.6838626664861159,0.6168674698795181,topology_harmonic_50,0.8395687400062358,0.751219512195122,0.866013193516827,0.7737226277372263,0.1557060735201199,0.026444453510591215,0.13435204231560383,0.02250311554210438,4
ceg,广东,annulus,force_4,0.6274531097256446,0.6167400881057269,topology_geographic_50,0.6420576829914152,0.6197802197802199,0.7198363321203659,0.6939655172413793,0.014604573265770582,0.07777864912895072,0.0030401316744930185,0.07418529746115943,4
ceg,广东,disk,force_4,0.6763948682670018,0.6568421052631579,geographic,0.7269274783672712,0.6836518046709129,0.8089341509994622,0.7558386411889597,0.05053261010026944,0.08200667263219097,0.026809699407755017,0.0721868365180468,4
ceg,广西,annulus,force_4,0.706668683976994,0.6368159203980099,topology_harmonic_50,0.7986062967686004,0.7128712871287128,0.8474930749518818,0.7545304777594728,0.0919376127916064,0.048886778183281354,0.0760553667307029,0.04165919063075996,4
ceg,广西,disk,force_3,0.7358475165648845,0.6624405705229793,topology_harmonic_50,0.8513456076207951,0.7579617834394904,0.8770972622053836,0.7802547770700636,0.11549809105591069,0.0257516545845885,0.09552121291651106,0.022292993630573243,4
ceg,江西,annulus,force_4,0.7296646184547861,0.6593406593406593,topology_harmonic_50,0.7963263803246565,0.7149122807017544,0.8600227774716819,0.7685589519650656,0.06666176186987038,0.06369639714702535,0.05557162136109506,0.05364667126331124,4
ceg,江西,disk,force_4,0.764344561078144,0.6905263157894737,topology_harmonic_50,0.883322647658274,0.788135593220339,0.8945052418075431,0.7966101694915254,0.11897808658012998,0.011182594149269143,0.09760927743086534,0.008474576271186418,4
ceg,浙江,annulus,force_4,0.7652838170042681,0.6718146718146718,harmonic,0.8197742587790419,0.7218045112781956,0.8561536832688021,0.7547169811320754,0.0544904417747738,0.03637942448976028,0.049989839463523755,0.032912469853879855,4
ceg,浙江,disk,harmonic,0.8008736432651622,0.7101449275362319,harmonic,0.8912080397349497,0.7885304659498208,0.8912080397349497,0.7885304659498208,0.09033439646978747,0.0,0.07838553841358886,0.0,4
ceg,湖北,annulus,force_4,0.6369834249272301,0.5828779599271402,topology_harmonic_50,0.69310482039474,0.6329113924050633,0.7755602732122008,0.7088607594936708,0.05612139546750983,0.0824554528174608,0.050033432477923134,0.07594936708860744,4
ceg,湖北,disk,force_4,0.6327789674610121,0.5823223570190641,topology_harmonic_50,0.7923221829704049,0.7190226876090751,0.8436898578869286,0.7617391304347825,0.15954321550939277,0.05136767491652372,0.13670033059001097,0.04271644282570741,4
ceg,湖南,annulus,force_4,0.7287046277282976,0.6518771331058021,harmonic,0.8093074658265997,0.7228915662650601,0.848537276957901,0.7602739726027398,0.08060283809830215,0.039229811131301306,0.07101443315925804,0.03738240633767964,4
ceg,湖南,disk,force_4,0.7447223156957701,0.6655737704918032,topology_harmonic_50,0.87413064673054,0.7750410509031198,0.8946680177076907,0.7927631578947367,0.1294083310347699,0.020537370977150693,0.10946728041131659,0.017722106991616915,4
ceg,福建,annulus,force_4,0.716328008553545,0.6378737541528239,topology_harmonic_50,0.8184059654348728,0.7278688524590166,0.8666823444311782,0.7718120805369127,0.10207795688132781,0.048276378996305436,0.08999509830619268,0.04394322807789619,4
ceg,福建,disk,force_1,0.7722192818691596,0.694006309148265,topology_harmonic_50,0.8877464506904313,0.7898089171974522,0.8903687597166448,0.7936507936507937,0.11552716882127179,0.0026223090262134097,0.09580260804918717,0.003841876453341553,4
external,NCEP-AirTemp-Africa-2000,annulus,force_2,0.4723349755369658,0.4520775623268698,harmonic,0.6987032457226809,0.6418808091853472,0.7159516205989739,0.6604292790313705,0.22636827018571515,0.017248374876292938,0.18980324685847738,0.01854846984602332,2
external,NCEP-AirTemp-Africa-2000,disk,force_2,0.49345447414781823,0.4756756756756757,harmonic,0.767522960402269,0.7017353579175705,0.7738224518090602,0.7081081081081082,0.27406848625445074,0.006299491406791202,0.22605968224189477,0.006372750190537735,2
external,NE-Admin0-Africa,annulus,force_4,0.614157176686707,0.5674418604651162,topology_geographic_50,0.6483050562232167,0.5925925925925924,0.7005527267477994,0.6400000000000001,0.03414787953650966,0.05224767052458279,0.025150732127476205,0.047407407407407676,4
external,NE-Admin0-Africa,disk,force_4,0.7048457964938212,0.6434782608695652,topology_geographic_50,0.7351971092263215,0.6637554585152838,0.8572798721511309,0.7672413793103449,0.030351312732500357,0.12208276292480935,0.02027719764571867,0.10348592079506103,4
synthetic,Synthetic-concave_u,annulus,force_4,0.6360876634953865,0.6099865047233468,geographic,0.7459532427130839,0.7017543859649122,0.8098054955905942,0.7673796791443851,0.10986557921769746,0.06385225287751028,0.09176788124156543,0.06562529317947285,4
synthetic,Synthetic-concave_u,disk,force_4,0.643527485844668,0.6232073011734028,geographic,0.778945760488679,0.7275132275132276,0.8173509340005864,0.7621550591327202,0.13541827464401102,0.03840517351190742,0.10430592633982472,0.034641831619492636,4
synthetic,Synthetic-disconnected,annulus,force_1,0.6472801709297122,0.6020558002936858,geographic,0.7662508794057177,0.7010014306151645,0.7931912836748483,0.7231638418079096,0.11897070847600544,0.02694040426913058,0.09894563032147874,0.02216241119274509,4
