case,method,view,cell_count,adj_precision,adj_recall,adj_f1,np2,np3,local_direction_error_deg,angular_error_deg,radial_spearman
disk_like,Direct Polar,disk,149,1.0,1.0,1.0,1.0,1.0,4.642886398994796,0.15692793019378282,0.9801226931156121
disk_like,Harmonic,disk,149,0.6568627450980392,1.0,0.7928994082840237,0.6700188986182296,0.6779805551406407,3.2867270916676783,0.15529761735125755,0.9781674653686282
disk_like,Area-balanced,disk,149,0.6633663366336634,1.0,0.7976190476190476,0.672779804676661,0.6834032462789968,9.328424250518783,0.31019892846980573,0.9810897097426973
disk_like,Regular Topology,disk,149,0.4626262626262626,0.8544776119402985,0.6002621231979031,0.4975454113605723,0.4902843246512769,27.886352801224383,2.2234905937886396,0.9717314165008148
disk_like,GeoDisk,disk,149,0.5980392156862745,0.9104477611940298,0.7218934911242604,0.5975398716206077,0.6096401963291618,19.580708683787634,1.2036905268196432,0.9835684865423375
disk_like,Direct Polar,annulus,149,0.7204301075268817,1.0,0.8375,0.7509079901105168,0.7566829508258092,15.524869798677635,0.12374363830433194,0.9800549799729315
disk_like,Harmonic,annulus,149,0.6467532467532467,0.9291044776119403,0.7626339969372128,0.6517124181345929,0.6854115384268366,12.436880736303143,0.2364656059283151,0.9762266939965547
disk_like,Area-balanced,annulus,149,0.597911227154047,0.8544776119402985,0.7035330261136712,0.6247183996641162,0.6593898752864357,16.442787015949673,0.27237363936962306,0.9924143465297878
disk_like,Regular Topology,annulus,149,0.5414507772020726,0.7798507462686567,0.6391437308868502,0.5523604475677388,0.5809895580952904,28.07193147282528,2.2234905937886396,0.9715491447345735
disk_like,GeoAnnulus,annulus,149,0.5926892950391645,0.8470149253731343,0.6973886328725039,0.6080322488203697,0.6568625136648938,19.417323174530708,0.885771354186167,0.9833414577860079
elongated,Direct Polar,disk,203,0.7939914163090128,1.0,0.8851674641148326,0.8156089984972534,0.8163836146535854,23.405827183537397,1.7306209401084123,0.9735918967896966
elongated,Harmonic,disk,203,0.5209125475285171,0.7405405405405405,0.6116071428571428,0.5121685551457342,0.5400997136497435,20.680570507292092,1.267031528527731,0.8968748933687598
elongated,Area-balanced,disk,203,0.5884476534296029,0.8810810810810811,0.7056277056277057,0.5756244154746495,0.579408034832597,27.229898706954256,2.361466277927889,0.9800172639654582
elongated,Regular Topology,disk,203,0.31704260651629074,0.6837837837837838,0.4332191780821918,0.328752496787576,0.3321616254236451,41.04517374374429,1.8893450849913307,0.9678234474769746
elongated,GeoDisk,disk,203,0.45636363636363636,0.6783783783783783,0.5456521739130435,0.40352010582306,0.4059682664853675,35.48736373181456,0.9686466518775824,0.9797201389977708
elongated,Direct Polar,annulus,203,0.8008658008658008,1.0,0.889423076923077,0.8303228662255031,0.83416929616482,21.011711227667636,0.3754847507831151,0.9721530772887576
elongated,Harmonic,annulus,203,0.5141242937853108,0.7378378378378379,0.6059933407325194,0.5126550696209978,0.5510256891555528,23.34177406785293,1.3295251851514225,0.9135376401631282
elongated,Area-balanced,annulus,203,0.5425330812854442,0.7756756756756756,0.6384872080088987,0.5425939638399281,0.5645282358414945,22.26702762285534,0.9593124199981038,0.9698155709680033
elongated,Regular Topology,annulus,203,0.4375,0.6243243243243243,0.5144766146993318,0.3561719837191329,0.37193921832584687,38.30853249865486,1.8893450849913298,0.9674168743749142
elongated,GeoAnnulus,annulus,203,0.47609942638623326,0.672972972972973,0.5576707726763718,0.41945955822606534,0.4364727280501177,33.39005061792228,0.7478618467152262,0.9751262228258744
l_shape,Direct Polar,disk,145,0.7734138972809668,1.0,0.8722316865417377,0.7892054918498818,0.792532080401373,20.469732448586427,1.9450529892522876,0.9799173882303797
l_shape,Harmonic,disk,145,0.3546666666666667,0.51953125,0.4215530903328051,0.4193683393253578,0.44238968892678393,29.946728146845984,1.7612467612119236,0.6244060567345692
l_shape,Area-balanced,disk,145,0.596401028277635,0.90625,0.7193798449612402,0.5962469163536626,0.5931416311362157,22.602884477148958,4.696730080082089,0.984231271213727
l_shape,Regular Topology,disk,145,0.4104803493449782,0.734375,0.5266106442577031,0.39319585660791806,0.37700635371532976,37.39763089299299,4.018512576837261,0.9644050370506879
l_shape,GeoDisk,disk,145,0.49742268041237114,0.75390625,0.5993788819875776,0.5025083645303933,0.5035699722658143,31.8148566900671,1.8694654907760364,0.9740027536384108
l_shape,Direct Polar,annulus,145,0.7420289855072464,1.0,0.8519134775374376,0.7754687216096953,0.7794422651191153,20.24935253507455,1.370765423063303,0.9814623291212913
l_shape,Harmonic,annulus,145,0.3543307086614173,0.52734375,0.42386185243328095,0.4221694211110516,0.44468330083902374,32.897432765680335,1.1661882428922017,0.662748471250915
l_shape,Area-balanced,annulus,145,0.5361930294906166,0.78125,0.6359300476947536,0.5583174200051418,0.5816988365330138,21.54407354317659,1.4761328354196446,0.9817150283041375
l_shape,Regular Topology,annulus,145,0.46648793565683644,0.6796875,0.5532591414944357,0.4225002815759473,0.41356557825915746,37.089954469178004,4.018512576837261,0.9608546432333328
l_shape,GeoAnnulus,annulus,145,0.5013477088948787,0.7265625,0.5933014354066984,0.498703436058797,0.5202991406670576,28.135381214805772,1.3883243553028985,0.9694214969705991
concave_u,Direct Polar,disk,172,0.8070652173913043,1.0,0.8932330827067669,0.8301706402282848,0.8366281811719923,17.71738876872746,0.7627324779441811,0.9758327640887372
concave_u,Harmonic,disk,172,0.3194805194805195,0.41414141414141414,0.3607038123167155,0.30523133178178175,0.2809738118691748,35.81410797581282,0.8084258244906756,0.028540837491829014
concave_u,Area-balanced,disk,172,0.5969498910675382,0.9225589225589226,0.7248677248677249,0.5957549906995668,0.5892274086319788,21.995222906935393,4.0787264085588575,0.9631843432388238
concave_u,Regular Topology,disk,172,0.34937888198757766,0.7575757575757576,0.4782146652497343,0.3592179489762417,0.305114075007784,33.59694008349437,3.1469428962883823,0.9546761837414164
concave_u,GeoDisk,disk,172,0.5083682008368201,0.8181818181818182,0.6270967741935485,0.5169952921492409,0.5041594340597512,29.270212413846018,1.496533230420777,0.9794815056605636
concave_u,Direct Polar,annulus,172,0.7694300518134715,1.0,0.8696925329428989,0.8066763121739183,0.8234711977955496,18.66231795667272,0.3605725648745914,0.9761651840283803
concave_u,Harmonic,annulus,172,0.31675392670157065,0.4074074074074074,0.3564064801178202,0.28359914011153775,0.30899871731124046,37.024019099092044,0.8914489430789185,0.21297511768744987
concave_u,Area-balanced,annulus,172,0.5842696629213483,0.8754208754208754,0.7008086253369272,0.5907438683158313,0.591013627155055,19.315121740950662,1.1642374033122018,0.9467761937753512
concave_u,Regular Topology,annulus,172,0.4916467780429594,0.6936026936026936,0.5754189944134078,0.4060957651359402,0.3606027519239578,31.37057417546337,3.1469428962883814,0.9445268176451524
concave_u,GeoAnnulus,annulus,172,0.5045045045045045,0.7542087542087542,0.6045883940620783,0.5084863871954286,0.5326791124225012,27.166643527356175,1.3297479201506344,0.9639397825976342
hole,Direct Polar,disk,264,0.7960526315789473,1.0,0.8864468864468864,0.810417277888429,0.8035805529308238,16.464757432590932,0.45256343844802055,0.9924264121013122
hole,Harmonic,disk,264,0.3732193732193732,0.5413223140495868,0.44182124789207416,0.4104701429430551,0.43573337269389345,30.79911816130077,1.1740039268150977,0.6110247683128353
hole,Area-balanced,disk,264,0.6196403872752421,0.9256198347107438,0.7423363711681855,0.6195820407090888,0.6230934687689766,18.58111933360298,2.379447275030722,0.9931738433872718
hole,Regular Topology,disk,264,0.3075,0.762396694214876,0.4382422802850356,0.36803535872149024,0.3264789917546582,34.36337912978293,1.6547217043060216,0.9607613871612768
hole,GeoDisk,disk,264,0.4986149584487535,0.743801652892562,0.5970149253731344,0.4851594491897657,0.49472557455207,28.775227830201544,1.0343701851125817,0.9758607936312639
hole,Direct Polar,annulus,264,0.7267267267267268,1.0,0.8417391304347827,0.7488901009121598,0.7551292321948415,18.992738656037275,0.18499379887937367,0.9881895032596392
hole,Harmonic,annulus,264,0.351506456241033,0.506198347107438,0.4149026248941575,0.39901767887361633,0.4323172180573259,32.308055496154566,0.8763569823276209,0.6149426757628249
hole,Area-balanced,annulus,264,0.576056338028169,0.8450413223140496,0.6850921273031825,0.5883833762413484,0.6029558210875366,19.156470375797507,0.6608668612080495,0.9828010743370071
hole,Regular Topology,annulus,264,0.47969924812030074,0.6590909090909091,0.5552654482158398,0.41229518239814644,0.41219189493331454,32.44047140582236,1.654721704306022,0.9585945567605229
hole,GeoAnnulus,annulus,264,0.48575712143928035,0.6694214876033058,0.5629887054735013,0.466227072559376,0.5026954910245336,28.478455957632242,0.8909181285620823,0.9694048925576833
disconnected,Direct Polar,disk,160,0.8202898550724638,0.9964788732394366,0.8998410174880763,0.8349567904736732,0.8406925711788494,15.884138227445352,0.8514433576543874,0.9835398446751511
disconnected,Harmonic,disk,160,0.45843828715365237,0.6408450704225352,0.5345080763582967,0.45760897607561235,0.47007533342531105,28.095315433386283,1.1123568052027113,0.5967372839465955
disconnected,Area-balanced,disk,160,0.636150234741784,0.954225352112676,0.7633802816901408,0.6319214600454442,0.6186709668907007,15.640079826651169,1.6157998279033468,0.9969954896895421
disconnected,Regular Topology,disk,160,0.3552397868561279,0.704225352112676,0.4722550177095632,0.31855561807240096,0.30107320563772066,33.779206983780284,3.2552729001643628,0.9483361929404432
disconnected,GeoDisk,disk,160,0.5213270142180095,0.7746478873239436,0.623229461756374,0.5089379465137369,0.4952625869831261,26.23506995845115,1.2962238653950062,0.9882031581950655
disconnected,Direct Polar,annulus,160,0.7286821705426356,0.9929577464788732,0.8405365126676602,0.7595676233703518,0.7755779361545534,18.283997147753396,0.36627452073777367,0.9815639054279791
disconnected,Harmonic,annulus,160,0.41007194244604317,0.602112676056338,0.4878744650499286,0.42097779309837435,0.4470286407875351,31.832193357015328,0.6878929741225324,0.5927454332622196
disconnected,Area-balanced,annulus,160,0.5903614457831325,0.8626760563380281,0.7010014306151645,0.5931841328549226,0.6015785675682442,17.835327717168884,0.7158706295559086,0.9937242787065143
disconnected,Regular Topology,annulus,160,0.4425,0.6232394366197183,0.5175438596491228,0.3500156642011244,0.34369804373933044,32.903256241949485,3.255272900164362,0.9337867167314944
disconnected,GeoAnnulus,annulus,160,0.5163727959697733,0.721830985915493,0.6020558002936858,0.49037358420119814,0.5174765901186003,26.718944418841165,1.1722511335851373,0.9788313036481588
