dataset,transition,bin_count,encoding_mode,cell_count,cell_identity_accuracy,geometry_centroid_drift,temporal_adjacency_jaccard,delta_sign_accuracy,delta_mae,normalized_delta_mae,delta_bias,magnitude_spearman,top10_change_jaccard,high_change_event_f1
湖北,M01-M02,5,derived_from_value_bins,130,1.0,0.0,1.0,0.8153846153846154,4.046271247858985,0.21094499071576306,-0.9915910277522831,0.3127780941832551,0.08333333333333333,0.3076923076923077
湖北,M01-M02,5,direct_diverging_delta,130,1.0,0.0,1.0,1.0,2.174415463368132,0.11335919458565857,-0.39691344298660586,0.8335637657252932,0.3,0.9846153846153847
湖北,M02-M03,5,derived_from_value_bins,130,1.0,0.0,1.0,0.8384615384615385,3.407606065667815,0.17764934327267976,0.7151773758694916,0.3761245336857614,0.0,0.4507042253521127
湖北,M02-M03,5,direct_diverging_delta,130,1.0,0.0,1.0,0.9461538461538461,1.8512601529586101,0.09651208034680075,-0.7478239524943676,0.5544170131533759,0.4444444444444444,0.3902439024390244
湖北,M03-M04,5,derived_from_value_bins,130,1.0,0.0,1.0,0.9461538461538461,2.593487645698965,0.13520676045455285,0.6634628200724912,0.38403511439257443,0.23809523809523808,0.372093023255814
湖北,M03-M04,5,direct_diverging_delta,130,1.0,0.0,1.0,1.0,2.165685913421711,0.11290409537959943,-0.1575113361380262,0.8577090603687207,0.04,0.616822429906542
湖北,M04-M05,5,derived_from_value_bins,130,1.0,0.0,1.0,0.4307692307692308,3.873602861981725,0.20194323852847276,-0.22233714061982204,0.6310132892336748,0.3684210526315789,0.6067415730337079
湖北,M04-M05,5,direct_diverging_delta,130,1.0,0.0,1.0,0.7461538461538462,1.9035332221966472,0.09923724171875198,0.2659704205023548,0.8216782930410722,0.08333333333333333,0.7252747252747253
湖北,M05-M06,5,derived_from_value_bins,130,1.0,0.0,1.0,0.9230769230769231,3.5239531976527143,0.1837148893453378,0.4634426843558382,0.5635754494225069,0.13043478260869565,0.6923076923076923
湖北,M05-M06,5,direct_diverging_delta,130,1.0,0.0,1.0,1.0,2.3684028817902782,0.12347237575206875,1.5745580062883333,0.8149368916698888,0.13043478260869565,0.0
湖北,M06-M07,5,derived_from_value_bins,130,1.0,0.0,1.0,0.25384615384615383,3.951481569047246,0.20600330324795607,0.8738613346623252,0.44622263652318966,0.3,0.5757575757575758
湖北,M06-M07,5,direct_diverging_delta,130,1.0,0.0,1.0,1.0,2.5111048289802014,0.13091188217196775,-0.0016957153097301614,0.8651281140086391,0.23809523809523808,0.6947368421052631
湖北,M07-M08,5,derived_from_value_bins,130,1.0,0.0,1.0,0.1076923076923077,2.128319600971968,0.11095607065511659,0.4500158880742942,0.24664705790185443,0.18181818181818182,0.2553191489361702
湖北,M07-M08,5,direct_diverging_delta,130,1.0,0.0,1.0,0.3153846153846154,1.383118735776033,0.07210637918341586,-0.5538906810508365,0.26007140998619327,0.18181818181818182,0.16666666666666669
湖北,M08-M09,5,derived_from_value_bins,130,1.0,0.0,1.0,0.2,3.6375143538827204,0.189635193640134,-1.4918594142378365,0.44330646636556265,0.23809523809523808,0.576271186440678
湖北,M08-M09,5,direct_diverging_delta,130,1.0,0.0,1.0,0.4846153846153846,2.0863408812353352,0.10876758646741187,-0.20287973408697413,0.8623534487781463,0.0,0.717391304347826
湖北,M09-M10,5,derived_from_value_bins,130,1.0,0.0,1.0,0.08461538461538462,1.8760489749596558,0.09780440048713543,-0.35284068464167323,0.33293438882027004,0.3,0.36363636363636365
湖北,M09-M10,5,direct_diverging_delta,130,1.0,0.0,1.0,0.38461538461538464,1.3073267165350162,0.06815510013765615,-0.40378908535976493,0.5013739333616181,0.8571428571428571,0.5333333333333333
湖北,M10-M11,5,derived_from_value_bins,130,1.0,0.0,1.0,0.7384615384615385,4.183856509804178,0.21811774805846754,0.19118832161053487,0.6263755788544183,0.4444444444444444,0.8333333333333334
湖北,M10-M11,5,direct_diverging_delta,130,1.0,0.0,1.0,0.9076923076923077,1.983343230168635,0.10339799129765975,-1.019587190654485,0.8780928137620937,0.23809523809523808,0.868421052631579
湖北,M11-M12,5,derived_from_value_bins,130,1.0,0.0,1.0,0.9307692307692308,5.189327366085678,0.2705361420441648,-2.792684546971942,0.33122375108853847,0.13043478260869565,0.5263157894736842
湖北,M11-M12,5,direct_diverging_delta,130,1.0,0.0,1.0,1.0,3.444399373666085,0.1795674954524685,-2.7570771678784833,0.6826447872477617,0.0,0.0
湖北,M01-M02,7,derived_from_value_bins,130,1.0,0.0,1.0,0.8846153846153846,2.8870238111603514,0.15050973445333177,-0.4011070888059634,0.6919339281337474,0.3,0.7076923076923077
湖北,M01-M02,7,direct_diverging_delta,130,1.0,0.0,1.0,1.0,1.284750197676267,0.06697811439712452,0.024661101697937473,0.8847948806978951,0.3684210526315789,0.2631578947368421
湖北,M02-M03,7,derived_from_value_bins,130,1.0,0.0,1.0,0.9615384615384616,2.3737954007735067,0.12375350491943576,0.3777579821858796,0.49087177209927924,0.23809523809523808,0.43636363636363634
湖北,M02-M03,7,direct_diverging_delta,130,1.0,0.0,1.0,0.9923076923076923,1.3900765595425482,0.07246911266812875,0.16277706402424763,0.8558458436217511,0.0,0.6055045871559633
湖北,M03-M04,7,derived_from_value_bins,130,1.0,0.0,1.0,1.0,2.939713857147474,0.15325663414955157,-1.0115834557140015,0.5375508402944333,0.0,0.4957264957264957
