dataset,method,view,cell_count,weighted_adj_precision,weighted_adj_recall,weighted_adj_f1,weighted_edge_overlap,reference_internal_boundary,display_internal_boundary
湖北,Direct Polar,disk,130,0.9985193292822628,1.0,0.9992591161386121,0.2895312564999233,28.000678000081432,39.78689447883399
湖北,Direct Polar,annulus,130,0.9975169231424814,1.0,0.9987569182374624,0.2839140635744503,28.000678000081432,37.96912858835103
湖北,Harmonic,disk,130,0.75367413170966,0.7571470233686458,0.7554065860089727,0.18954260499929793,28.000678000081432,31.01671772926347
湖北,Harmonic,annulus,130,0.6895184634973469,0.7000054070119166,0.6947223619926636,0.17406209706664091,28.000678000081432,26.600748618744678
湖北,Area-balanced,disk,130,0.7020241841749616,0.8142876397495183,0.7540000769754357,0.1890633010718019,28.000678000081432,34.87438157983207
湖北,Area-balanced,annulus,130,0.631069014916893,0.6571480162018252,0.6438445405102834,0.17343977171160938,28.000678000081432,29.212080097425307
湖北,Regular Topology,disk,130,0.5696586641044987,0.7285739295312181,0.6393899728488536,0.1338749766290951,28.000678000081432,31.148833136732787
湖北,Regular Topology,annulus,130,0.5557182950369564,0.6714306703571989,0.6081190106314054,0.13820122383020816,28.000678000081432,19.143240827664602
湖北,GeoDisk,disk,130,0.6085057969735873,0.7000031927799981,0.6510555205079075,0.15233713020743955,28.000678000081432,29.462973600472708
湖北,GeoAnnulus,annulus,130,0.574815328558159,0.6714324560284206,0.6193787023575253,0.13126395798715193,28.000678000081432,21.673017154169052
湖北,GeoDisk-Final,disk,130,0.7617004701536222,0.9571433948850278,0.8483104122688492,0.1859950409087393,28.000678000081432,35.104502719588275
湖北,GeoAnnulus-Final,annulus,130,0.7053647377938302,0.8714311132035628,0.7796529630407213,0.19691923212410026,28.000678000081432,27.491196870481478
湖南,Direct Polar,disk,137,0.9998945962148497,1.0,0.9999472953297889,0.3023842465695287,29.200750000091183,38.987724006054215
湖南,Direct Polar,annulus,137,0.9998301967349484,1.0,0.9999150911585749,0.28383316011152737,29.200750000091183,39.94522615167847
湖南,Harmonic,disk,137,0.8065171304528221,0.9452057224558307,0.8703712527319709,0.23467625565087463,29.200750000091183,34.742321219066646
湖南,Harmonic,annulus,137,0.6887259971922921,0.8767122762256628,0.7714319330852748,0.20734941248695118,29.200750000091183,29.070165674141347
湖南,Area-balanced,disk,137,0.7539350557653591,0.9726024160337504,0.8494215373221266,0.23522759367213086,29.200750000091183,36.33649771299588
湖南,Area-balanced,annulus,137,0.6260038684489725,0.8767130296307275,0.7304446350071534,0.19442344994094163,29.200750000091183,32.00632330523326
湖南,Regular Topology,disk,137,0.5987483869347536,0.8082171177111889,0.6878899218561958,0.21511177674427184,29.200750000091183,34.44424028357213
湖南,Regular Topology,annulus,137,0.5850162823342367,0.7808198077101646,0.6688830444723194,0.20069532609585408,29.200750000091183,21.810543549791017
湖南,GeoDisk,disk,137,0.625353842821674,0.8493142813110306,0.7203274294594922,0.20383338336287005,29.200750000091183,31.38707664115689
湖南,GeoAnnulus,annulus,137,0.6012260711080067,0.8082176656418741,0.6895224251156895,0.1892527163796682,29.200750000091183,25.289499084299216
湖南,GeoDisk-Final,disk,137,0.8409749463483511,0.9999998630172169,0.9136190532004911,0.256577614787332,29.200750000091183,36.75082884621701
湖南,GeoAnnulus-Final,annulus,137,0.74295356455846,0.9315067592441103,0.8266141124432042,0.20403178296404226,29.200750000091183,29.656556722273965
江西,Direct Polar,disk,107,0.9999172041305379,1.0,0.999958600351409,0.3284790425499321,22.80054800007269,33.053593803851754
江西,Direct Polar,annulus,107,0.9998627231271228,1.0,0.999931356852003,0.3162837743355917,22.80054800007269,33.67780327017937
江西,Harmonic,disk,107,0.8223181929183607,0.9473675808143251,0.880424772180318,0.27182140653519815,22.80054800007269,28.900563104924
江西,Harmonic,annulus,107,0.7373116861411536,0.8771923376577662,0.8011923810839627,0.25975491278949026,22.80054800007269,25.035265200910494
江西,Area-balanced,disk,107,0.7712932731051961,0.9473688965721743,0.8503116784287841,0.23677279304807067,22.80054800007269,31.721164588876434
江西,Area-balanced,annulus,107,0.6451850809507876,0.8070184979764212,0.7170844398143424,0.2192702754021805,22.80054800007269,27.06515483044153
江西,Regular Topology,disk,107,0.6527074824934573,0.7543850261844692,0.6998726071454496,0.22300548570700993,22.80054800007269,25.383266033021474
江西,Regular Topology,annulus,107,0.6228865727812724,0.7017534841704741,0.6599722247538623,0.21260852884406695,22.80054800007269,15.411699234157505
江西,GeoDisk,disk,107,0.6060967710685843,0.8771919867887888,0.7168708425565289,0.1971982242397521,22.80054800007269,21.171895246468893
江西,GeoAnnulus,annulus,107,0.5909878190561223,0.8421021284220814,0.6945441228925426,0.2579558638924082,22.80054800007269,20.101559904812515
江西,GeoDisk-Final,disk,107,0.8438251462237676,1.0,0.915298446766449,0.2727080829942897,22.80054800007269,31.392335081072474
江西,GeoAnnulus-Final,annulus,107,0.7198218271742401,0.9473683702689043,0.8180667476810792,0.2756209108754171,22.80054800007269,26.628799928434315
广东,Direct Polar,disk,108,0.9998598305445533,1.0,0.9999299103600633,0.347811811904748,26.00050200006963,29.204891284248056
广东,Direct Polar,annulus,108,0.9997823780423184,1.0,0.9998911771800416,0.3216549403389365,26.00050200006963,28.66150358425775
广东,Harmonic,disk,108,0.5830863342899736,0.5846181739108874,0.5838512493374071,0.20047892677091875,26.00050200006963,26.292831989606018
广东,Harmonic,annulus,108,0.5720844155364925,0.6000034153188373,0.5857114017165219,0.17872578430449115,26.00050200006963,23.137687180797315
广东,Area-balanced,disk,108,0.6718671134429152,0.8000031691699292,0.7303575951832237,0.19799612966096075,26.00050200006963,31.041628142574087
广东,Area-balanced,annulus,108,0.5964392535555647,0.6615422271463796,0.6273061379798779,0.17913984066060565,26.00050200006963,25.006845870457674
广东,Regular Topology,disk,108,0.599208219872577,0.7538472911024742,0.667690999657156,0.16239001600195724,26.00050200006963,26.56906963163286
广东,Regular Topology,annulus,108,0.5789747796458915,0.6615409964009925,0.617510167969863,0.16758392129645014,26.00050200006963,16.60190017102503
广东,GeoDisk,disk,108,0.5930172629258789,0.7230806543661176,0.6516222005869383,0.15639631298388557,26.00050200006963,22.5553877207032
广东,GeoAnnulus,annulus,108,0.5371827127571027,0.6615409194795164,0.5929112201830482,0.14832812995041458,26.00050200006963,14.581377956610849
广东,GeoDisk-Final,disk,108,0.704999970218528,0.9538475064828836,0.8107586418983254,0.2091946979294278,26.00050200006963,31.19159934474443
广东,GeoAnnulus-Final,annulus,108,0.6469302528316543,0.8153875644403707,0.721455865460564,0.2031050146716463,26.00050200006963,25.739340729529026
福建,Direct Polar,disk,74,0.9999329219350922,1.0,0.9999664598426418,0.27726959862748457,13.600310000054224,25.275182971535735
福建,Direct Polar,annulus,74,0.9998872797681427,1.0,0.9999436367074297,0.2802399914512756,13.600310000054224,26.957617862228194
福建,Harmonic,disk,74,0.8507693331678212,0.9999979412231822,0.9193674357610268,0.2409347037809543,13.600310000054224,23.791648277738528
福建,Harmonic,annulus,74,0.7541264410754849,0.8235291695560394,0.7873012558305366,0.15983203912076993,13.600310000054224,20.467037149167894
福建,Area-balanced,disk,74,0.7747585933338391,0.9411776643327385,0.8498981008621455,0.19340789827231092,13.600310000054224,26.56037360129433
福建,Area-balanced,annulus,74,0.6751132130217895,0.6764729627495077,0.675792403904355,0.14518764718118363,13.600310000054224,22.267980150786002
福建,Regular Topology,disk,74,0.6523699005200633,0.8529418814713824,0.739293503208684,0.25472545008856196,13.600310000054224,16.8400294495275
福建,Regular Topology,annulus,74,0.6463276225057536,0.7941179281940127,0.7126411022887882,0.24490185397867745,13.600310000054224,9.737247500197322
福建,GeoDisk,disk,74,0.7080806000115359,0.911764952416442,0.797116828340619,0.196006621938825,13.600310000054224,20.6800322291384
福建,GeoAnnulus,annulus,74,0.6396157830799155,0.7647027163355871,0.6965883123178994,0.15921675828799525,13.600310000054224,16.92827913738457
福建,GeoDisk-Final,disk,74,0.8387332607966231,1.0,0.9122946527146037,0.2330019470697727,13.600310000054224,25.855875115390653
福建,GeoAnnulus-Final,annulus,74,0.7683514653587,0.8529421755831336,0.8084400677656767,0.17791888820230325,13.600310000054224,20.726748624500637
广西,Direct Polar,disk,142,0.9997901552396065,1.0,0.9998950666099422,0.44539568535626883,42.80035000010012,39.92391199611811
广西,Direct Polar,annulus,142,0.9997105446539359,1.0,0.9998552513778367,0.41563656210452776,42.80035000010012,40.7196724029571
广西,Harmonic,disk,142,0.8313086113209441,0.9626170346737987,0.8921571884712393,0.36639352819715443,42.80035000010012,33.71711198628253
广西,Harmonic,annulus,142,0.729599777237663,0.8878510572926216,0.8009837700062611,0.3276050225666327,42.80035000010012,29.50722547692289
广西,Area-balanced,disk,142,0.7322982284729093,0.9345796471289965,0.8211651614996316,0.32389136757060183,42.80035000010012,37.90443644676845
广西,Area-balanced,annulus,142,0.6344996323819484,0.8224311249789727,0.7163446084477967,0.28081551491783663,42.80035000010012,31.747791577121127
广西,Regular Topology,disk,142,0.6057576287376242,0.7476645401266181,0.6692715833055574,0.2464975161703001,42.80035000010012,34.881777035439235
广西,Regular Topology,annulus,142,0.5887814738333175,0.7102810140571081,0.6438494009191067,0.25758380680279497,42.80035000010012,21.63437460752763
广西,GeoDisk,disk,142,0.614923734214388,0.8037390348444983,0.696766306157897,0.2775675195102991,42.80035000010012,24.985833141784507
广西,GeoAnnulus,annulus,142,0.603610249863402,0.7476645401263844,0.6679588537030333,0.2643451287841033,42.80035000010012,26.54204292098628
广西,GeoDisk-Final,disk,142,0.8350374818509306,0.9999998130856169,0.9101039287588857,0.38307786305424657,42.80035000010012,37.389173450801806
广西,GeoAnnulus-Final,annulus,142,0.7184839820737605,0.9252337422474467,0.808856184541632,0.32412757532651965,42.80035000010012,31.844320254950976
安徽,Direct Polar,disk,96,0.9998077096994551,1.0,0.9999038456049488,0.37822942045540336,22.00049200005176,31.846202545836118
安徽,Direct Polar,annulus,96,0.9997543161155509,1.0,0.9998771429657788,0.3686199887503123,22.00049200005176,31.40055375015309
安徽,Harmonic,disk,96,0.7650576031490177,0.9090930330104309,0.8308792791429429,0.26505285934180267,22.00049200005176,27.806497931487353
安徽,Harmonic,annulus,96,0.6995983395183227,0.8909101669177546,0.7837484312891381,0.2736091749201055,22.00049200005176,23.762766130670446
安徽,Area-balanced,disk,96,0.6933584823090343,0.9454544016560135,0.8000166894448101,0.2531025610193376,22.00049200005176,30.45607612695431
安徽,Area-balanced,annulus,96,0.6309139176803162,0.8727251190561461,0.7323758035928642,0.2585383619193412,22.00049200005176,25.93551518840486
安徽,Regular Topology,disk,96,0.5325870586894161,0.7272733718866123,0.6148877710511607,0.2184945992205935,22.00049200005176,22.69984516452558
安徽,Regular Topology,annulus,96,0.5428972687664297,0.7272715537451401,0.6217027739651636,0.21978869997609968,22.00049200005176,13.64759731186528
安徽,GeoDisk,disk,96,0.6180073380180231,0.8545428893134237,0.7172777762614808,0.2768620050313021,22.00049200005176,25.665434951813083
安徽,GeoAnnulus,annulus,96,0.6120264265943128,0.8181794298051485,0.7002452555987254,0.2246290814006594,22.00049200005176,19.157496558844063
安徽,GeoDisk-Final,disk,96,0.7511924839284809,0.9999999999999546,0.8579210918531388,0.259020934201318,22.00049200005176,30.531508903937166
安徽,GeoAnnulus-Final,annulus,96,0.7599843390825243,0.9999996363714497,0.8636261162940291,0.29563218561175236,22.00049200005176,23.67364069931553
浙江,Direct Polar,disk,65,0.9999507477451915,1.0,0.9999753732661346,0.29480179163666403,12.800294000044314,23.017260751757064
浙江,Direct Polar,annulus,65,0.9999268871906947,1.0,0.9999634422589279,0.293404870118186,12.800294000044314,24.885674625286324
浙江,Harmonic,disk,65,0.9193788988044065,1.0,0.9579962553272765,0.2415937400983492,12.800294000044314,23.95614871737525
浙江,Harmonic,annulus,65,0.8357035064691746,0.8750002148390231,0.8549005167803847,0.2095214039414395,12.800294000044314,19.96731735698591
浙江,Area-balanced,disk,65,0.8286103094281314,0.9687507177569042,0.8932171331838212,0.22279815458405522,12.800294000044314,25.116660517922305
浙江,Area-balanced,annulus,65,0.7342111284302096,0.78125174312456,0.7570013553932472,0.1878282151003589,12.800294000044314,21.184534672918478
浙江,Regular Topology,disk,65,0.6823200680062592,0.8125004003816177,0.7417416876039806,0.19111440116871978,12.800294000044314,14.925757403430154
浙江,Regular Topology,annulus,65,0.6793089317098272,0.7499999609388078,0.7129063211852539,0.18438699204282824,12.800294000044314,8.733053599310947
浙江,GeoDisk,disk,65,0.8100178553617595,0.9062488720963175,0.8554355288198103,0.1984570299200045,12.800294000044314,19.57294056182061
浙江,GeoAnnulus,annulus,65,0.7110598031076585,0.7812504931531923,0.744504441510826,0.15283467837706957,12.800294000044314,16.290986983697767
浙江,GeoDisk-Final,disk,65,0.9040999364849884,1.0,0.9496349631248635,0.25664672489280355,12.800294000044314,24.361829450339663
浙江,GeoAnnulus-Final,annulus,65,0.8402841697363068,0.8750011523174881,0.8572913291335834,0.21918186169464926,12.800294000044314,19.658974635094086
NE-Admin0-Africa,Direct Polar,disk,50,0.804929650534767,0.9903380532576113,0.8880597154797598,0.6615246707215383,655.8063423247871,36.0872806071497
NE-Admin0-Africa,Direct Polar,annulus,50,0.788279402336831,0.9903380532576113,0.8778313585957926,0.6504925354260834,655.8063423247871,33.232410627287834
NE-Admin0-Africa,Harmonic,disk,50,0.7564825157458928,0.6381884546904961,0.6923187159666628,0.4288563331437409,655.8063423247871,19.425493143126424
