dataset,cell_id,month,value,previous_value,delta,relative_delta,value_bin,value_reconstructed,delta_bin,delta_reconstructed,theta,rho
NCEP-AirTemp-Africa-2000,NCEP2000_r003_c016,1,22.43903160095215,,,,4,23.02893324851989,4,,-1.7816946533665048,0.9655172413793104
NCEP-AirTemp-Africa-2000,NCEP2000_r003_c016,2,22.412071228027344,22.43903160095215,-0.026960372924804688,-0.001201494494248169,4,23.02893324851989,4,4.440892098500626e-16,-1.7816946533665048,0.9655172413793104
NCEP-AirTemp-Africa-2000,NCEP2000_r003_c016,3,20.962583541870117,22.412071228027344,-1.4494876861572266,-0.06467441904006509,3,20.469008675681216,3,-1.3208207024468313,-1.7816946533665048,0.9655172413793104
NCEP-AirTemp-Africa-2000,NCEP2000_r003_c016,4,17.655004501342773,20.962583541870117,-3.3075790405273438,-0.15778489487809896,2,17.909084102842538,1,-3.9624621073404946,-1.7816946533665048,0.9655172413793104
NCEP-AirTemp-Africa-2000,NCEP2000_r003_c016,5,13.394848823547363,17.655004501342773,-4.26015567779541,-0.24130017511303373,0,12.789234957165185,1,-3.9624621073404946,-1.7816946533665048,0.9655172413793104
NCEP-AirTemp-Africa-2000,NCEP2000_r003_c016,6,12.52767562866211,13.394848823547363,-0.8671731948852539,-0.06473930436309322,0,12.789234957165185,3,-1.3208207024468313,-1.7816946533665048,0.9655172413793104
NCEP-AirTemp-Africa-2000,NCEP2000_r003_c016,7,11.294525146484377,12.52767562866211,-1.2331504821777326,-0.09843410052511287,0,12.789234957165185,3,-1.3208207024468313,-1.7816946533665048,0.9655172413793104
NCEP-AirTemp-Africa-2000,NCEP2000_r003_c016,8,12.899365425109863,11.294525146484377,1.6048402786254865,0.1420901062958828,0,12.789234957165185,5,1.3208207024468321,-1.7816946533665048,0.9655172413793104
NCEP-AirTemp-Africa-2000,NCEP2000_r003_c016,9,11.998671531677246,12.899365425109863,-0.9006938934326172,-0.06982466685371432,0,12.789234957165185,3,-1.3208207024468313,-1.7816946533665048,0.9655172413793104
NCEP-AirTemp-Africa-2000,NCEP2000_r003_c016,10,16.265491485595703,11.998671531677246,4.266819953918457,0.3556076972899695,1,15.349159530003863,7,3.962462107340496,-1.7816946533665048,0.9655172413793104
NCEP-AirTemp-Africa-2000,NCEP2000_r003_c016,11,19.06400489807129,16.265491485595703,2.798513412475586,0.17205218882896203,2,17.909084102842538,6,2.6416414048936643,-1.7816946533665048,0.9655172413793104
NCEP-AirTemp-Africa-2000,NCEP2000_r003_c016,12,20.099035263061523,19.06400489807129,1.0350303649902344,0.05429238874644586,3,20.469008675681216,5,1.3208207024468321,-1.7816946533665048,0.9655172413793104
NCEP-AirTemp-Africa-2000,NCEP2000_r003_c017,1,20.688711166381836,,,,3,20.469008675681216,4,,-1.712560129884791,0.9655172413793104
NCEP-AirTemp-Africa-2000,NCEP2000_r003_c017,2,21.07621192932129,20.688711166381836,0.3875007629394531,0.018730058137653507,3,20.469008675681216,4,4.440892098500626e-16,-1.712560129884791,0.9655172413793104
NCEP-AirTemp-Africa-2000,NCEP2000_r003_c017,3,19.50129508972168,21.07621192932129,-1.5749168395996094,-0.07472485306567735,3,20.469008675681216,3,-1.3208207024468313,-1.712560129884791,0.9655172413793104
NCEP-AirTemp-Africa-2000,NCEP2000_r003_c017,4,15.779672622680664,19.50129508972168,-3.7216224670410156,-0.19083975961178742,1,15.349159530003863,1,-3.9624621073404946,-1.712560129884791,0.9655172413793104
NCEP-AirTemp-Africa-2000,NCEP2000_r003_c017,5,11.576135635375977,15.779672622680664,-4.2035369873046875,-0.26638936610527647,0,12.789234957165185,1,-3.9624621073404946,-1.712560129884791,0.9655172413793104
NCEP-AirTemp-Africa-2000,NCEP2000_r003_c017,6,10.699673652648926,11.576135635375977,-0.8764619827270508,-0.07571282942199083,0,12.789234957165185,3,-1.3208207024468313,-1.712560129884791,0.9655172413793104
NCEP-AirTemp-Africa-2000,NCEP2000_r003_c017,7,9.206782341003418,10.699673652648926,-1.4928913116455078,-0.1395268080233374,0,12.789234957165185,3,-1.3208207024468313,-1.712560129884791,0.9655172413793104
NCEP-AirTemp-Africa-2000,NCEP2000_r003_c017,8,11.827746391296388,9.206782341003418,2.6209640502929705,0.28467752937095286,0,12.789234957165185,6,2.6416414048936643,-1.712560129884791,0.9655172413793104
NCEP-AirTemp-Africa-2000,NCEP2000_r003_c017,9,11.478672981262209,11.827746391296388,-0.3490734100341797,-0.02951309560467497,0,12.789234957165185,4,4.440892098500626e-16,-1.712560129884791,0.9655172413793104
NCEP-AirTemp-Africa-2000,NCEP2000_r003_c017,10,15.843883514404297,11.478672981262209,4.365210533142088,0.38028877904857644,1,15.349159530003863,7,3.962462107340496,-1.712560129884791,0.9655172413793104
NCEP-AirTemp-Africa-2000,NCEP2000_r003_c017,11,18.208669662475582,15.843883514404297,2.3647861480712855,0.14925546163737985,2,17.909084102842538,6,2.6416414048936643,-1.712560129884791,0.9655172413793104
NCEP-AirTemp-Africa-2000,NCEP2000_r003_c017,12,20.412263870239254,18.208669662475582,2.203594207763672,0.12101895682718863,3,20.469008675681216,6,2.6416414048936643,-1.712560129884791,0.9655172413793104
NCEP-AirTemp-Africa-2000,NCEP2000_r003_c018,1,19.32322883605957,,,,3,20.469008675681216,4,,-1.6420361521780986,0.9655172413793104
NCEP-AirTemp-Africa-2000,NCEP2000_r003_c018,2,19.9686222076416,19.32322883605957,0.6453933715820312,0.03339987209475293,3,20.469008675681216,4,4.440892098500626e-16,-1.6420361521780986,0.9655172413793104
NCEP-AirTemp-Africa-2000,NCEP2000_r003_c018,3,18.486133575439453,19.9686222076416,-1.4824886322021484,-0.07424090739895059,2,17.909084102842538,3,-1.3208207024468313,-1.6420361521780986,0.9655172413793104
NCEP-AirTemp-Africa-2000,NCEP2000_r003_c018,4,15.163342475891112,18.486133575439453,-3.3227910995483416,-0.17974505517816763,1,15.349159530003863,1,-3.9624621073404946,-1.6420361521780986,0.9655172413793104
NCEP-AirTemp-Africa-2000,NCEP2000_r003_c018,5,11.991620063781738,15.163342475891112,-3.1717224121093732,-0.20917040007189966,0,12.789234957165185,2,-2.641641404893663,-1.6420361521780986,0.9655172413793104
NCEP-AirTemp-Africa-2000,NCEP2000_r003_c018,6,11.655669212341309,11.991620063781738,-0.3359508514404297,-0.02801546827314028,0,12.789234957165185,4,4.440892098500626e-16,-1.6420361521780986,0.9655172413793104
NCEP-AirTemp-Africa-2000,NCEP2000_r003_c018,7,9.986456871032717,11.655669212341309,-1.669212341308592,-0.1432103391833726,0,12.789234957165185,3,-1.3208207024468313,-1.6420361521780986,0.9655172413793104
NCEP-AirTemp-Africa-2000,NCEP2000_r003_c018,8,12.65580940246582,9.986456871032717,2.6693525314331037,0.26729725726608594,0,12.789234957165185,6,2.6416414048936643,-1.6420361521780986,0.9655172413793104
NCEP-AirTemp-Africa-2000,NCEP2000_r003_c018,9,12.823675155639648,12.65580940246582,0.16786575317382812,0.013263928669874062,0,12.789234957165185,4,4.440892098500626e-16,-1.6420361521780986,0.9655172413793104
NCEP-AirTemp-Africa-2000,NCEP2000_r003_c018,10,16.409040451049805,12.823675155639648,3.5853652954101562,0.2795895288905045,1,15.349159530003863,7,3.962462107340496,-1.6420361521780986,0.9655172413793104
