dataset,cell_id,month,value,previous_value,delta,relative_delta,value_bin,value_reconstructed,delta_bin,delta_reconstructed,theta,rho
安徽,CEG2000_f4_r0028_c0108,1,42.023425950507,,,,2,39.91927578727139,4,,-1.6552352855609225,0.9506062820230394
安徽,CEG2000_f4_r0028_c0108,2,38.60098582296464,42.023425950507,-3.422440127542359,-0.08144124497543657,2,39.91927578727139,3,-3.7230180342670245,-1.6552352855609225,0.9506062820230394
安徽,CEG2000_f4_r0028_c0108,3,47.30339332754364,38.60098582296464,8.702407504579,0.22544521387331337,3,45.621212243553394,6,7.446036068534051,-1.6552352855609225,0.9506062820230394
安徽,CEG2000_f4_r0028_c0108,4,41.92720421672064,47.30339332754364,-5.376189110822999,-0.1136533498473686,2,39.91927578727139,3,-3.7230180342670245,-1.6552352855609225,0.9506062820230394
安徽,CEG2000_f4_r0028_c0108,5,44.67017717302232,41.92720421672064,2.742972956301678,0.06542227194838275,3,45.621212243553394,5,3.7230180342670263,-1.6552352855609225,0.9506062820230394
安徽,CEG2000_f4_r0028_c0108,6,30.39649768832193,44.67017717302232,-14.273679484700388,-0.3195348751229198,0,28.51540287470739,0,-14.8920721370681,-1.6552352855609225,0.9506062820230394
安徽,CEG2000_f4_r0028_c0108,7,29.615581889000925,30.39649768832193,-0.7809157993210043,-0.02569097951113708,0,28.51540287470739,4,8.881784197001252e-16,-1.6552352855609225,0.9506062820230394
安徽,CEG2000_f4_r0028_c0108,8,27.673032796384863,29.615581889000925,-1.942549092616062,-0.06559212984221373,0,28.51540287470739,3,-3.7230180342670245,-1.6552352855609225,0.9506062820230394
安徽,CEG2000_f4_r0028_c0108,9,33.37246478826885,27.673032796384863,5.699431991883987,0.20595617523456072,1,34.21733933098939,6,7.446036068534051,-1.6552352855609225,0.9506062820230394
安徽,CEG2000_f4_r0028_c0108,10,32.41770603125766,33.37246478826885,-0.9547587570111915,-0.028609177148545828,1,34.21733933098939,4,8.881784197001252e-16,-1.6552352855609225,0.9506062820230394
安徽,CEG2000_f4_r0028_c0108,11,32.87939736407719,32.41770603125766,0.4616913328195338,0.014241949519017904,1,34.21733933098939,4,8.881784197001252e-16,-1.6552352855609225,0.9506062820230394
安徽,CEG2000_f4_r0028_c0108,12,43.52842727756622,32.87939736407719,10.64902991348903,0.32388154185343326,3,45.621212243553394,7,11.169054102801075,-1.6552352855609225,0.9506062820230394
安徽,CEG2000_f4_r0028_c0109,1,40.75060273819637,,,,2,39.91927578727139,4,,-1.4639660931128569,0.9431486085918172
安徽,CEG2000_f4_r0028_c0109,2,36.92559654045019,40.75060273819637,-3.825006197746184,-0.09386379441600082,1,34.21733933098939,3,-3.7230180342670245,-1.4639660931128569,0.9431486085918172
安徽,CEG2000_f4_r0028_c0109,3,42.83125816001819,36.92559654045019,5.905661619568001,0.15993408835246947,3,45.621212243553394,6,7.446036068534051,-1.4639660931128569,0.9431486085918172
安徽,CEG2000_f4_r0028_c0109,4,38.42113826197934,42.83125816001819,-4.41011989803885,-0.10296498602872182,2,39.91927578727139,3,-3.7230180342670245,-1.4639660931128569,0.9431486085918172
安徽,CEG2000_f4_r0028_c0109,5,41.13847628424762,38.42113826197934,2.7173380222682866,0.07072507856846347,2,39.91927578727139,5,3.7230180342670263,-1.4639660931128569,0.9431486085918172
安徽,CEG2000_f4_r0028_c0109,6,27.76819840408448,41.13847628424762,-13.370277880163144,-0.32500663825710946,0,28.51540287470739,0,-14.8920721370681,-1.4639660931128569,0.9431486085918172
安徽,CEG2000_f4_r0028_c0109,7,26.656330790333534,27.76819840408448,-1.1118676137509453,-0.0400410425469806,0,28.51540287470739,4,8.881784197001252e-16,-1.4639660931128569,0.9431486085918172
安徽,CEG2000_f4_r0028_c0109,8,26.171848897247457,26.656330790333534,-0.4844818930860768,-0.018175115581239933,0,28.51540287470739,4,8.881784197001252e-16,-1.4639660931128569,0.9431486085918172
