dataset,cell_id,month,value,previous_value,delta,relative_delta,value_bin,value_reconstructed,delta_bin,delta_reconstructed,theta,rho
广东,CEG2000_f4_r0005_c0091,1,30.74133114659621,,,,4,30.55683941099248,4,,-2.5477806525857716,0.91291534680123
广东,CEG2000_f4_r0005_c0091,2,32.66532701543364,30.74133114659621,1.9239958688374301,0.06258661538312929,5,33.55231690034388,5,2.083531987819491,-2.5477806525857716,0.91291534680123
广东,CEG2000_f4_r0005_c0091,3,29.350093315516258,32.66532701543364,-3.315233699917382,-0.10149090803073876,4,30.55683941099248,2,-4.167063975638982,-2.5477806525857716,0.91291534680123
广东,CEG2000_f4_r0005_c0091,4,21.899391765976254,29.350093315516258,-7.450701549540003,-0.25385614517283683,1,21.570406942938284,0,-8.334127951277964,-2.5477806525857716,0.91291534680123
广东,CEG2000_f4_r0005_c0091,5,14.919979457422471,21.899391765976254,-6.979412308553783,-0.31870347739051225,0,18.574929453586883,1,-6.250595963458473,-2.5477806525857716,0.91291534680123
广东,CEG2000_f4_r0005_c0091,6,18.27667259443873,14.919979457422471,3.356693137016258,0.22497974253887812,0,18.574929453586883,6,4.167063975638982,-2.5477806525857716,0.91291534680123
广东,CEG2000_f4_r0005_c0091,7,13.526446811585044,18.27667259443873,-4.7502257828536845,-0.25990648780889664,0,18.574929453586883,2,-4.167063975638982,-2.5477806525857716,0.91291534680123
广东,CEG2000_f4_r0005_c0091,8,16.294072572269997,13.526446811585044,2.767625760684952,0.20460848286591818,0,18.574929453586883,5,2.083531987819491,-2.5477806525857716,0.91291534680123
广东,CEG2000_f4_r0005_c0091,9,20.12757557717454,16.294072572269997,3.833503004904543,0.23526978831729123,1,21.570406942938284,6,4.167063975638982,-2.5477806525857716,0.91291534680123
广东,CEG2000_f4_r0005_c0091,10,19.668308693598863,20.12757557717454,-0.45926688357567613,-0.022817794513538072,0,18.574929453586883,4,0.0,-2.5477806525857716,0.91291534680123
广东,CEG2000_f4_r0005_c0091,11,28.965381338465185,19.668308693598863,9.297072644866322,0.47269304085572417,3,27.561361921641087,8,8.334127951277964,-2.5477806525857716,0.91291534680123
广东,CEG2000_f4_r0005_c0091,12,32.100800695157,28.965381338465185,3.1354193566918127,0.10824712853091517,5,33.55231690034388,6,4.167063975638982,-2.5477806525857716,0.91291534680123
广东,CEG2000_f4_r0006_c0090,1,34.40350256464653,,,,5,33.55231690034388,4,,-2.659504581228711,0.939210940753984
广东,CEG2000_f4_r0006_c0090,2,36.441233873699595,34.40350256464653,2.037731309053065,0.059230344504139616,6,36.547794389695284,5,2.083531987819491,-2.659504581228711,0.939210940753984
广东,CEG2000_f4_r0006_c0090,3,32.50965291540996,36.441233873699595,-3.9315809582896364,-0.10788825021446766,5,33.55231690034388,2,-4.167063975638982,-2.659504581228711,0.939210940753984
广东,CEG2000_f4_r0006_c0090,4,25.066413159580794,32.50965291540996,-7.443239755829165,-0.22895475922786557,2,24.565884432289685,0,-8.334127951277964,-2.659504581228711,0.939210940753984
广东,CEG2000_f4_r0006_c0090,5,16.764826035148094,25.066413159580794,-8.3015871244327,-0.33118368677569243,0,18.574929453586883,0,-8.334127951277964,-2.659504581228711,0.939210940753984
广东,CEG2000_f4_r0006_c0090,6,19.78648224653148,16.764826035148094,3.0216562113833874,0.18023785066712714,0,18.574929453586883,5,2.083531987819491,-2.659504581228711,0.939210940753984
广东,CEG2000_f4_r0006_c0090,7,15.147006845080115,19.78648224653148,-4.6394754014513655,-0.23447702040440532,0,18.574929453586883,2,-4.167063975638982,-2.659504581228711,0.939210940753984
广东,CEG2000_f4_r0006_c0090,8,18.60940355608219,15.147006845080115,3.4623967110020732,0.22858619834364774,0,18.574929453586883,6,4.167063975638982,-2.659504581228711,0.939210940753984
广东,CEG2000_f4_r0006_c0090,9,22.813582977091126,18.60940355608219,4.204179421008938,0.22591693539983812,1,21.570406942938284,6,4.167063975638982,-2.659504581228711,0.939210940753984
广东,CEG2000_f4_r0006_c0090,10,23.250340561903812,22.813582977091126,0.43675758481268545,0.019144629112019244,2,24.565884432289685,4,0.0,-2.659504581228711,0.939210940753984
广东,CEG2000_f4_r0006_c0090,11,33.47837327663299,23.250340561903812,10.228032714729181,0.43990894187107243,5,33.55231690034388,8,8.334127951277964,-2.659504581228711,0.939210940753984
广东,CEG2000_f4_r0006_c0090,12,37.92026483677784,33.47837327663299,4.441891560144846,0.1326794322842791,6,36.547794389695284,6,4.167063975638982,-2.659504581228711,0.939210940753984
广东,CEG2000_f4_r0006_c0091,1,33.79743420860279,,,,5,33.55231690034388,4,,-2.6259434450659813,0.8893090770558567
广东,CEG2000_f4_r0006_c0091,2,35.35869510203426,33.79743420860279,1.5612608934314736,0.04619465737532439,6,36.547794389695284,5,2.083531987819491,-2.6259434450659813,0.8893090770558567
广东,CEG2000_f4_r0006_c0091,3,31.20155649517924,35.35869510203426,-4.157138606855021,-0.11757047580118,4,30.55683941099248,2,-4.167063975638982,-2.6259434450659813,0.8893090770558567
广东,CEG2000_f4_r0006_c0091,4,23.950333878066115,31.20155649517924,-7.251222617113125,-0.23239938745470815,2,24.565884432289685,1,-6.250595963458473,-2.6259434450659813,0.8893090770558567
广东,CEG2000_f4_r0006_c0091,5,16.092495177718927,23.950333878066115,-7.8578387003471875,-0.32808890015280545,0,18.574929453586883,0,-8.334127951277964,-2.6259434450659813,0.8893090770558567
广东,CEG2000_f4_r0006_c0091,6,19.008383522842664,16.092495177718927,2.9158883451237365,0.18119553946866906,0,18.574929453586883,5,2.083531987819491,-2.6259434450659813,0.8893090770558567
广东,CEG2000_f4_r0006_c0091,7,14.772624796149875,19.008383522842664,-4.235758726692788,-0.22283634595243793,0,18.574929453586883,2,-4.167063975638982,-2.6259434450659813,0.8893090770558567
