dataset,cell_id,month,value,previous_value,delta,relative_delta,value_bin,value_reconstructed,delta_bin,delta_reconstructed,theta,rho
广西,CEG2000_f4_r0008_c0085,1,38.90330050186586,,,,6,38.59594544396056,4,,-2.054557375488477,0.930532633158289
广西,CEG2000_f4_r0008_c0085,2,39.27029147239618,38.90330050186586,0.36699097053032403,0.009433414795043485,6,38.59594544396056,4,0.0,-2.054557375488477,0.930532633158289
广西,CEG2000_f4_r0008_c0085,3,38.23612279745215,39.27029147239618,-1.0341686749440342,-0.026334632012369213,6,38.59594544396056,4,0.0,-2.054557375488477,0.930532633158289
广西,CEG2000_f4_r0008_c0085,4,31.131088913719523,38.23612279745215,-7.105033883732624,-0.18581993580703915,3,29.72611939732228,1,-6.267525694015651,-2.054557375488477,0.930532633158289
广西,CEG2000_f4_r0008_c0085,5,20.45782834943206,31.131088913719523,-10.673260564287464,-0.342848931300432,0,20.856293350684005,0,-8.3567009253542,-2.054557375488477,0.930532633158289
广西,CEG2000_f4_r0008_c0085,6,19.15338235543523,20.45782834943206,-1.3044459939968291,-0.06376268153765415,0,20.856293350684005,3,-2.0891752313385505,-2.054557375488477,0.930532633158289
广西,CEG2000_f4_r0008_c0085,7,16.35545585508239,19.15338235543523,-2.7979265003528404,-0.14608002119055813,0,20.856293350684005,3,-2.0891752313385505,-2.054557375488477,0.930532633158289
广西,CEG2000_f4_r0008_c0085,8,21.412475545961023,16.35545585508239,5.057019690878633,0.3091946648070457,0,20.856293350684005,6,4.178350462677099,-2.054557375488477,0.930532633158289
广西,CEG2000_f4_r0008_c0085,9,24.686284731336364,21.412475545961023,3.2738091853753417,0.15289260591790244,1,23.812902032896766,6,4.178350462677099,-2.054557375488477,0.930532633158289
广西,CEG2000_f4_r0008_c0085,10,26.350936691575235,24.686284731336364,1.6646519602388707,0.06743225958687048,2,26.769510715109526,5,2.08917523133855,-2.054557375488477,0.930532633158289
广西,CEG2000_f4_r0008_c0085,11,31.785198805969216,26.350936691575235,5.434262114393981,0.20622652537931946,4,32.68272807953504,7,6.267525694015649,-2.054557375488477,0.930532633158289
广西,CEG2000_f4_r0008_c0085,12,37.597833773835745,31.785198805969216,5.812634967866529,0.18287238042302018,6,38.59594544396056,7,6.267525694015649,-2.054557375488477,0.930532633158289
广西,CEG2000_f4_r0008_c0086,1,40.172816619896594,,,,7,41.552554126173305,4,,-1.877715029163539,0.9098289281322216
