dataset,cell_id,month,value,previous_value,delta,relative_delta,value_bin,value_reconstructed,delta_bin,delta_reconstructed,theta,rho
浙江,CEG2000_f4_r0022_c0115,1,34.49906046290326,,,,3,32.92959099270833,4,,-1.7175235985550037,0.9431637083166222
浙江,CEG2000_f4_r0022_c0115,2,33.45163186006287,34.49906046290326,-1.047428602840391,-0.03036107617964518,3,32.92959099270833,4,0.0,-1.7175235985550037,0.9431637083166222
浙江,CEG2000_f4_r0022_c0115,3,33.37551795372181,33.45163186006287,-0.07611390634105675,-0.0022753421016786742,3,32.92959099270833,4,0.0,-1.7175235985550037,0.9431637083166222
浙江,CEG2000_f4_r0022_c0115,4,29.868027790333706,33.37551795372181,-3.5074901633881055,-0.10509170728830514,2,29.178044233266007,3,-2.9047721073376245,-1.7175235985550037,0.9431637083166222
浙江,CEG2000_f4_r0022_c0115,5,30.818856841744,29.868027790333706,0.9508290514102953,0.031834343334782064,2,29.178044233266007,4,0.0,-1.7175235985550037,0.9431637083166222
浙江,CEG2000_f4_r0022_c0115,6,18.56515249875264,30.818856841744,-12.253704342991362,-0.39760411639907994,0,21.674950714381367,0,-11.619088429350501,-1.7175235985550037,0.9431637083166222
浙江,CEG2000_f4_r0022_c0115,7,19.373849873125284,18.56515249875264,0.8086973743726453,0.043559963993130696,0,21.674950714381367,4,0.0,-1.7175235985550037,0.9431637083166222
浙江,CEG2000_f4_r0022_c0115,8,17.41675893882054,19.373849873125284,-1.9570909343047447,-0.10101714151401327,0,21.674950714381367,3,-2.9047721073376245,-1.7175235985550037,0.9431637083166222
浙江,CEG2000_f4_r0022_c0115,9,22.008421176471376,17.41675893882054,4.591662237650837,0.2636347126224728,0,21.674950714381367,6,5.8095442146752525,-1.7175235985550037,0.9431637083166222
浙江,CEG2000_f4_r0022_c0115,10,24.530752467667117,22.008421176471376,2.5223312911957407,0.11460755276222624,1,25.426497473823687,5,2.9047721073376263,-1.7175235985550037,0.9431637083166222
浙江,CEG2000_f4_r0022_c0115,11,24.858036356822495,24.530752467667117,0.3272838891553782,0.013341779449560562,1,25.426497473823687,4,0.0,-1.7175235985550037,0.9431637083166222
浙江,CEG2000_f4_r0022_c0115,12,26.61546576816865,24.858036356822495,1.7574294113461555,0.07069864192486042,1,25.426497473823687,5,2.9047721073376263,-1.7175235985550037,0.9431637083166222
浙江,CEG2000_f4_r0022_c0116,1,35.65066536744061,,,,4,36.68113775215064,4,,-1.5240425645133664,0.9990473059401506
浙江,CEG2000_f4_r0022_c0116,2,33.66035030211779,35.65066536744061,-1.990315065322818,-0.05582827262294388,3,32.92959099270833,3,-2.9047721073376245,-1.5240425645133664,0.9990473059401506
浙江,CEG2000_f4_r0022_c0116,3,36.03304304870627,33.66035030211779,2.372692746588477,0.07048924700106866,4,36.68113775215064,5,2.9047721073376263,-1.5240425645133664,0.9990473059401506
浙江,CEG2000_f4_r0022_c0116,4,33.62480660771014,36.03304304870627,-2.408236440996127,-0.06683411217145571,3,32.92959099270833,3,-2.9047721073376245,-1.5240425645133664,0.9990473059401506
浙江,CEG2000_f4_r0022_c0116,5,32.076243191262904,33.62480660771014,-1.5485634164472373,-0.04605419547876754,3,32.92959099270833,3,-2.9047721073376245,-1.5240425645133664,0.9990473059401506
浙江,CEG2000_f4_r0022_c0116,6,20.55621794905168,32.076243191262904,-11.520025242211226,-0.35914508982613996,0,21.674950714381367,0,-11.619088429350501,-1.5240425645133664,0.9990473059401506
浙江,CEG2000_f4_r0022_c0116,7,21.232340080243716,20.55621794905168,0.676122131192038,0.03289136809445191,0,21.674950714381367,4,0.0,-1.5240425645133664,0.9990473059401506
浙江,CEG2000_f4_r0022_c0116,8,18.587557550323464,21.232340080243716,-2.6447825299202528,-0.1245638737852156,0,21.674950714381367,3,-2.9047721073376245,-1.5240425645133664,0.9990473059401506
浙江,CEG2000_f4_r0022_c0116,9,23.956240469001276,18.587557550323464,5.368682918677813,0.2888320805002369,1,25.426497473823687,6,5.8095442146752525,-1.5240425645133664,0.9990473059401506
浙江,CEG2000_f4_r0022_c0116,10,26.25225872238331,23.956240469001276,2.2960182533820337,0.09584217758846672,1,25.426497473823687,5,2.9047721073376263,-1.5240425645133664,0.9990473059401506
浙江,CEG2000_f4_r0022_c0116,11,26.76937941177544,26.25225872238331,0.5171206893921294,0.01969814082897255,1,25.426497473823687,4,0.0,-1.5240425645133664,0.9990473059401506
浙江,CEG2000_f4_r0022_c0116,12,30.219016823946497,26.76937941177544,3.4496374121710573,0.1288650498432405,2,29.178044233266007,5,2.9047721073376263,-1.5240425645133664,0.9990473059401506
浙江,CEG2000_f4_r0023_c0113,1,34.80807080409713,,,,4,36.68113775215064,4,,-2.187969531198636,0.8960228127818458
浙江,CEG2000_f4_r0023_c0113,2,40.05861477425098,34.80807080409713,5.250543970153849,0.15084271690046744,5,40.43268451159296,6,5.8095442146752525,-2.187969531198636,0.8960228127818458
浙江,CEG2000_f4_r0023_c0113,3,34.24440677725221,40.05861477425098,-5.814207996998768,-0.145142512534808,3,32.92959099270833,2,-5.80954421467525,-2.187969531198636,0.8960228127818458
浙江,CEG2000_f4_r0023_c0113,4,28.70914346558536,34.24440677725221,-5.535263311666849,-0.16163992408079325,2,29.178044233266007,2,-5.80954421467525,-2.187969531198636,0.8960228127818458
浙江,CEG2000_f4_r0023_c0113,5,30.641653057974136,28.70914346558536,1.9325095923887758,0.06731338379026675,2,29.178044233266007,5,2.9047721073376263,-2.187969531198636,0.8960228127818458
