dataset,cell_id,month,value,previous_value,delta,relative_delta,value_bin,value_reconstructed,delta_bin,delta_reconstructed,theta,rho
湖北,CEG2000_f4_r0027_c0088,1,54.18718672665075,,,,4,51.35394475180705,4,,-2.648542072588538,0.9707946439664888
湖北,CEG2000_f4_r0027_c0088,2,43.33070530127822,54.18718672665075,-10.856481425372529,-0.20035144987575101,3,45.261650143630746,1,-12.787761188764504,-2.648542072588538,0.9707946439664888
湖北,CEG2000_f4_r0027_c0088,3,48.455008919349176,43.33070530127822,5.124303618070954,0.11826033253882416,4,51.35394475180705,5,4.262587062921499,-2.648542072588538,0.9707946439664888
湖北,CEG2000_f4_r0027_c0088,4,37.76233244985767,48.455008919349176,-10.69267646949151,-0.22067226294992348,2,39.16935553545444,1,-12.787761188764504,-2.648542072588538,0.9707946439664888
湖北,CEG2000_f4_r0027_c0088,5,35.92621301803976,37.76233244985767,-1.836119431817906,-0.04862304081073325,1,33.07706092727814,4,-1.7763568394002505e-15,-2.648542072588538,0.9707946439664888
湖北,CEG2000_f4_r0027_c0088,6,26.33086944575103,35.92621301803976,-9.59534357228873,-0.26708474860599934,0,26.98476631910183,2,-8.525174125843003,-2.648542072588538,0.9707946439664888
湖北,CEG2000_f4_r0027_c0088,7,25.94944739524736,26.33086944575103,-0.3814220505036694,-0.014485737027769088,0,26.98476631910183,4,-1.7763568394002505e-15,-2.648542072588538,0.9707946439664888
湖北,CEG2000_f4_r0027_c0088,8,24.19778284603599,25.94944739524736,-1.7516645492113696,-0.06750296152866002,0,26.98476631910183,4,-1.7763568394002505e-15,-2.648542072588538,0.9707946439664888
湖北,CEG2000_f4_r0027_c0088,9,29.26620519771078,24.19778284603599,5.068422351674787,0.20945813027267005,0,26.98476631910183,5,4.262587062921499,-2.648542072588538,0.9707946439664888
湖北,CEG2000_f4_r0027_c0088,10,28.807947057120444,29.26620519771078,-0.45825814059033476,-0.01565826992240798,0,26.98476631910183,4,-1.7763568394002505e-15,-2.648542072588538,0.9707946439664888
湖北,CEG2000_f4_r0027_c0088,11,35.904962255882864,28.807947057120444,7.097015198762421,0.24635615945455772,1,33.07706092727814,6,8.525174125843,-2.648542072588538,0.9707946439664888
湖北,CEG2000_f4_r0027_c0088,12,50.80981387825552,35.904962255882864,14.904851622372654,0.41511954576503035,4,51.35394475180705,7,12.7877611887645,-2.648542072588538,0.9707946439664888
湖北,CEG2000_f4_r0027_c0089,1,56.21546472331705,,,,5,57.44623935998336,4,,-2.6059693292941857,0.9635533921762136
湖北,CEG2000_f4_r0027_c0089,2,44.237765593006955,56.21546472331705,-11.977699130310093,-0.21306768856687905,3,45.261650143630746,1,-12.787761188764504,-2.6059693292941857,0.9635533921762136
湖北,CEG2000_f4_r0027_c0089,3,50.98988316428412,44.237765593006955,6.752117571277168,0.152632427989187,4,51.35394475180705,6,8.525174125843,-2.6059693292941857,0.9635533921762136
湖北,CEG2000_f4_r0027_c0089,4,38.913674256742986,50.98988316428412,-12.076208907541137,-0.23683539082905608,2,39.16935553545444,1,-12.787761188764504,-2.6059693292941857,0.9635533921762136
湖北,CEG2000_f4_r0027_c0089,5,37.79475807620803,38.913674256742986,-1.1189161805349528,-0.028753804463505943,2,39.16935553545444,4,-1.7763568394002505e-15,-2.6059693292941857,0.9635533921762136
湖北,CEG2000_f4_r0027_c0089,6,26.96100104350489,37.79475807620803,-10.833757032703144,-0.28664707975794773,0,26.98476631910183,1,-12.787761188764504,-2.6059693292941857,0.9635533921762136
湖北,CEG2000_f4_r0027_c0089,7,26.361260662056026,26.96100104350489,-0.5997403814488642,-0.02224473714759735,0,26.98476631910183,4,-1.7763568394002505e-15,-2.6059693292941857,0.9635533921762136
湖北,CEG2000_f4_r0027_c0089,8,25.17610798541318,26.361260662056026,-1.185152676642847,-0.04495811834783519,0,26.98476631910183,4,-1.7763568394002505e-15,-2.6059693292941857,0.9635533921762136
湖北,CEG2000_f4_r0027_c0089,9,30.70083044277931,25.17610798541318,5.524722457366131,0.2194430712073172,1,33.07706092727814,5,4.262587062921499,-2.6059693292941857,0.9635533921762136
湖北,CEG2000_f4_r0027_c0089,10,32.14531534049259,30.70083044277931,1.4444848977132771,0.04705035260871952,1,33.07706092727814,4,-1.7763568394002505e-15,-2.6059693292941857,0.9635533921762136
