dataset,cell_id,month,value,previous_value,delta,relative_delta,value_bin,value_reconstructed,delta_bin,delta_reconstructed,theta,rho
湖南,CEG2000_f4_r0016_c0094,1,42.32655392763191,,,,4,44.50084922822303,4,,-1.5522542097139531,0.911221401301028
湖南,CEG2000_f4_r0016_c0094,2,37.989414871441106,42.32655392763191,-4.337139056190807,-0.10246851334994711,3,39.864959320964054,3,-3.335098400800444,-1.5522542097139531,0.911221401301028
湖南,CEG2000_f4_r0016_c0094,3,42.07270649804098,37.989414871441106,4.083291626599873,0.10748498339387495,3,39.864959320964054,5,3.3350984008004456,-1.5522542097139531,0.911221401301028
湖南,CEG2000_f4_r0016_c0094,4,35.486473635541415,42.07270649804098,-6.586232862499564,-0.15654407359807568,2,35.229069413705076,2,-6.670196801600889,-1.5522542097139531,0.911221401301028
湖南,CEG2000_f4_r0016_c0094,5,31.59085295674335,35.486473635541415,-3.895620678798064,-0.1097776217160223,1,30.593179506446095,3,-3.335098400800444,-1.5522542097139531,0.911221401301028
湖南,CEG2000_f4_r0016_c0094,6,23.82900047474374,31.59085295674335,-7.761852481999611,-0.24569936407313034,0,25.957289599187117,2,-6.670196801600889,-1.5522542097139531,0.911221401301028
湖南,CEG2000_f4_r0016_c0094,7,26.82403087261773,23.82900047474374,2.9950303978739896,0.125688461043442,0,25.957289599187117,5,3.3350984008004456,-1.5522542097139531,0.911221401301028
湖南,CEG2000_f4_r0016_c0094,8,29.84648664329468,26.82403087261773,3.022455770676949,0.11267716567394445,1,30.593179506446095,5,3.3350984008004456,-1.5522542097139531,0.911221401301028
湖南,CEG2000_f4_r0016_c0094,9,39.047423715128694,29.84648664329468,9.200937071834016,0.3082753820172366,3,39.864959320964054,7,10.005295202401335,-1.5522542097139531,0.911221401301028
湖南,CEG2000_f4_r0016_c0094,10,28.5071127690304,39.047423715128694,-10.540310946098295,-0.2699361428552971,1,30.593179506446095,1,-10.005295202401333,-1.5522542097139531,0.911221401301028
湖南,CEG2000_f4_r0016_c0094,11,32.45115497585512,28.5071127690304,3.9440422068247187,0.13835291699934807,1,30.593179506446095,5,3.3350984008004456,-1.5522542097139531,0.911221401301028
湖南,CEG2000_f4_r0016_c0094,12,42.499008907324935,32.45115497585512,10.047853931469817,0.30963008678568754,4,44.50084922822303,7,10.005295202401335,-1.5522542097139531,0.911221401301028
湖南,CEG2000_f4_r0016_c0095,1,38.640372632695666,,,,3,39.864959320964054,4,,-1.458284434061293,0.940354900962442
湖南,CEG2000_f4_r0016_c0095,2,34.49555806119292,38.640372632695666,-4.144814571502749,-0.10726642340906418,2,35.229069413705076,3,-3.335098400800444,-1.458284434061293,0.940354900962442
湖南,CEG2000_f4_r0016_c0095,3,36.17224364398926,34.49555806119292,1.6766855827963454,0.048605840201860546,2,35.229069413705076,5,3.3350984008004456,-1.458284434061293,0.940354900962442
湖南,CEG2000_f4_r0016_c0095,4,31.204804533746096,36.17224364398926,-4.967439110243166,-0.137327370652846,1,30.593179506446095,3,-3.335098400800444,-1.458284434061293,0.940354900962442
湖南,CEG2000_f4_r0016_c0095,5,29.06981101089472,31.204804533746096,-2.1349935228513743,-0.06841874367591404,1,30.593179506446095,3,-3.335098400800444,-1.458284434061293,0.940354900962442
湖南,CEG2000_f4_r0016_c0095,6,21.616461784359327,29.06981101089472,-7.453349226535394,-0.2563948291147144,0,25.957289599187117,2,-6.670196801600889,-1.458284434061293,0.940354900962442
湖南,CEG2000_f4_r0016_c0095,7,23.87906913217069,21.616461784359327,2.2626073478113646,0.10467056867967554,0,25.957289599187117,5,3.3350984008004456,-1.458284434061293,0.940354900962442
湖南,CEG2000_f4_r0016_c0095,8,25.73718616493621,23.87906913217069,1.85811703276552,0.07781362927008749,0,25.957289599187117,5,3.3350984008004456,-1.458284434061293,0.940354900962442
湖南,CEG2000_f4_r0016_c0095,9,33.76155611676999,25.73718616493621,8.024369951833776,0.3117811675452698,2,35.229069413705076,6,6.670196801600891,-1.458284434061293,0.940354900962442
湖南,CEG2000_f4_r0016_c0095,10,26.03525756607529,33.76155611676999,-7.726298550694697,-0.22884900577366757,0,25.957289599187117,2,-6.670196801600889,-1.458284434061293,0.940354900962442
湖南,CEG2000_f4_r0016_c0095,11,27.765674128818585,26.03525756607529,1.7304165627432937,0.0664643535156755,0,25.957289599187117,5,3.3350984008004456,-1.458284434061293,0.940354900962442
湖南,CEG2000_f4_r0016_c0095,12,33.30409057386925,27.765674128818585,5.538416445050668,0.19946990731632291,2,35.229069413705076,6,6.670196801600891,-1.458284434061293,0.940354900962442
湖南,CEG2000_f4_r0016_c0096,1,37.6027511649794,,,,3,39.864959320964054,4,,-1.3587007492588343,0.956646180329747
湖南,CEG2000_f4_r0016_c0096,2,36.55629572445958,37.6027511649794,-1.0464554405198214,-0.027829225471523944,2,35.229069413705076,4,0.0,-1.3587007492588343,0.956646180329747
湖南,CEG2000_f4_r0016_c0096,3,35.232567512690835,36.55629572445958,-1.3237282117687457,-0.03621067686250956,2,35.229069413705076,4,0.0,-1.3587007492588343,0.956646180329747
湖南,CEG2000_f4_r0016_c0096,4,30.10097732980002,35.232567512690835,-5.131590182890815,-0.14564905555186708,1,30.593179506446095,2,-6.670196801600889,-1.3587007492588343,0.956646180329747
湖南,CEG2000_f4_r0016_c0096,5,28.854677802239713,30.10097732980002,-1.246299527560307,-0.04140395555616955,1,30.593179506446095,4,0.0,-1.3587007492588343,0.956646180329747
湖南,CEG2000_f4_r0016_c0096,6,21.099956408646797,28.854677802239713,-7.7547213935929165,-0.26875092651323906,0,25.957289599187117,2,-6.670196801600889,-1.3587007492588343,0.956646180329747
湖南,CEG2000_f4_r0016_c0096,7,23.30808494451439,21.099956408646797,2.208128535867594,0.10465085771280075,0,25.957289599187117,5,3.3350984008004456,-1.3587007492588343,0.956646180329747
湖南,CEG2000_f4_r0016_c0096,8,24.574247931920116,23.30808494451439,1.2661629874057247,0.05432290942906139,0,25.957289599187117,4,0.0,-1.3587007492588343,0.956646180329747
湖南,CEG2000_f4_r0016_c0096,9,33.63526620752359,24.574247931920116,9.061018275603477,0.36872006421949904,2,35.229069413705076,7,10.005295202401335,-1.3587007492588343,0.956646180329747
湖南,CEG2000_f4_r0016_c0096,10,26.60443500856135,33.63526620752359,-7.030831198962243,-0.2090315312381733,0,25.957289599187117,2,-6.670196801600889,-1.3587007492588343,0.956646180329747
湖南,CEG2000_f4_r0016_c0096,11,27.22506011125221,26.60443500856135,0.6206251026908589,0.023327881328475526,0,25.957289599187117,4,0.0,-1.3587007492588343,0.956646180329747
湖南,CEG2000_f4_r0016_c0096,12,32.48788263874638,27.22506011125221,5.262822527494169,0.19330802231430252,1,30.593179506446095,6,6.670196801600891,-1.3587007492588343,0.956646180329747
湖南,CEG2000_f4_r0016_c0098,1,38.62344631462812,,,,3,39.864959320964054,4,,-1.0973441507924722,0.9756978136220962
湖南,CEG2000_f4_r0016_c0098,2,36.525595068499165,38.62344631462812,-2.097851246128954,-0.05431548570367789,2,35.229069413705076,3,-3.335098400800444,-1.0973441507924722,0.9756978136220962
湖南,CEG2000_f4_r0016_c0098,3,34.04129629944868,36.525595068499165,-2.4842987690504827,-0.06801528529217642,2,35.229069413705076,3,-3.335098400800444,-1.0973441507924722,0.9756978136220962
湖南,CEG2000_f4_r0016_c0098,4,29.5696282923437,34.04129629944868,-4.471668007104981,-0.1313600976816327,1,30.593179506446095,3,-3.335098400800444,-1.0973441507924722,0.9756978136220962
湖南,CEG2000_f4_r0016_c0098,5,27.92539837755681,29.5696282923437,-1.6442299147868908,-0.055605362993779064,0,25.957289599187117,4,0.0,-1.0973441507924722,0.9756978136220962
湖南,CEG2000_f4_r0016_c0098,6,21.046738368673395,27.92539837755681,-6.878660008883415,-0.24632271725841098,0,25.957289599187117,2,-6.670196801600889,-1.0973441507924722,0.9756978136220962
湖南,CEG2000_f4_r0016_c0098,7,23.645252825558995,21.046738368673395,2.5985144568855993,0.12346399766879353,0,25.957289599187117,5,3.3350984008004456,-1.0973441507924722,0.9756978136220962
湖南,CEG2000_f4_r0016_c0098,8,24.05346289357597,23.645252825558995,0.4082100680169738,0.017263933315854633,0,25.957289599187117,4,0.0,-1.0973441507924722,0.9756978136220962
湖南,CEG2000_f4_r0016_c0098,9,31.94765114417256,24.05346289357597,7.894188250596592,0.3281934200295508,1,30.593179506446095,6,6.670196801600891,-1.0973441507924722,0.9756978136220962
湖南,CEG2000_f4_r0016_c0098,10,25.714074565448392,31.94765114417256,-6.233576578724168,-0.1951184627186969,0,25.957289599187117,2,-6.670196801600889,-1.0973441507924722,0.9756978136220962
湖南,CEG2000_f4_r0016_c0098,11,26.131186418330813,25.714074565448392,0.4171118528824209,0.01622114969841799,0,25.957289599187117,4,0.0,-1.0973441507924722,0.9756978136220962
湖南,CEG2000_f4_r0016_c0098,12,31.6179249339117,26.131186418330813,5.486738515580885,0.2099689783595889,1,30.593179506446095,6,6.670196801600891,-1.0973441507924722,0.9756978136220962
湖南,CEG2000_f4_r0017_c0094,1,42.18329997633446,,,,4,44.50084922822303,4,,-1.5964439143617493,0.8938604782356598
湖南,CEG2000_f4_r0017_c0094,2,38.75010946259191,42.18329997633446,-3.4331905137425522,-0.08138743331291363,3,39.864959320964054,3,-3.335098400800444,-1.5964439143617493,0.8938604782356598
湖南,CEG2000_f4_r0017_c0094,3,41.62536345937312,38.75010946259191,2.875253996781211,0.07419989353983342,3,39.864959320964054,5,3.3350984008004456,-1.5964439143617493,0.8938604782356598
湖南,CEG2000_f4_r0017_c0094,4,36.02008285084508,41.62536345937312,-5.605280608528041,-0.1346602201803923,2,35.229069413705076,2,-6.670196801600889,-1.5964439143617493,0.8938604782356598
湖南,CEG2000_f4_r0017_c0094,5,32.016864019302666,36.02008285084508,-4.003218831542412,-0.11113852369855089,1,30.593179506446095,3,-3.335098400800444,-1.5964439143617493,0.8938604782356598
湖南,CEG2000_f4_r0017_c0094,6,24.06396841633606,32.016864019302666,-7.952895602966606,-0.2483970821805621,0,25.957289599187117,2,-6.670196801600889,-1.5964439143617493,0.8938604782356598
湖南,CEG2000_f4_r0017_c0094,7,27.26668270439685,24.06396841633606,3.2027142880607897,0.13309169263564175,0,25.957289599187117,5,3.3350984008004456,-1.5964439143617493,0.8938604782356598
湖南,CEG2000_f4_r0017_c0094,8,30.399964679169564,27.26668270439685,3.1332819747727143,0.11491247427276738,1,30.593179506446095,5,3.3350984008004456,-1.5964439143617493,0.8938604782356598
湖南,CEG2000_f4_r0017_c0094,9,39.3713073823859,30.399964679169564,8.971342703216337,0.2951103002222767,3,39.864959320964054,7,10.005295202401335,-1.5964439143617493,0.8938604782356598
湖南,CEG2000_f4_r0017_c0094,10,27.932493930542563,39.3713073823859,-11.438813451843338,-0.2905367947461374,0,25.957289599187117,1,-10.005295202401333,-1.5964439143617493,0.8938604782356598
湖南,CEG2000_f4_r0017_c0094,11,31.38062108361311,27.932493930542563,3.4481271530705477,0.12344501574563024,1,30.593179506446095,5,3.3350984008004456,-1.5964439143617493,0.8938604782356598
湖南,CEG2000_f4_r0017_c0094,12,42.23435162561129,31.38062108361311,10.853730541998178,0.3458736687549493,4,44.50084922822303,7,10.005295202401335,-1.5964439143617493,0.8938604782356598
湖南,CEG2000_f4_r0017_c0095,1,40.99224439906706,,,,3,39.864959320964054,4,,-1.4350972260095023,0.8030601666175193
湖南,CEG2000_f4_r0017_c0095,2,36.96247946636604,40.99224439906706,-4.0297649327010205,-0.09830554515313959,2,35.229069413705076,3,-3.335098400800444,-1.4350972260095023,0.8030601666175193
湖南,CEG2000_f4_r0017_c0095,3,37.85625933725537,36.96247946636604,0.8937798708893325,0.024180733646470505,3,39.864959320964054,4,0.0,-1.4350972260095023,0.8030601666175193
湖南,CEG2000_f4_r0017_c0095,4,33.388106284787675,37.85625933725537,-4.468153052467699,-0.11802943900668146,2,35.229069413705076,3,-3.335098400800444,-1.4350972260095023,0.8030601666175193
湖南,CEG2000_f4_r0017_c0095,5,30.371713850078866,33.388106284787675,-3.016392434708809,-0.09034332192967594,1,30.593179506446095,3,-3.335098400800444,-1.4350972260095023,0.8030601666175193
湖南,CEG2000_f4_r0017_c0095,6,23.15518256369589,30.371713850078866,-7.216531286382974,-0.23760698266832364,0,25.957289599187117,2,-6.670196801600889,-1.4350972260095023,0.8030601666175193
湖南,CEG2000_f4_r0017_c0095,7,26.055903703002624,23.15518256369589,2.9007211393067323,0.12527308438736562,0,25.957289599187117,5,3.3350984008004456,-1.4350972260095023,0.8030601666175193
湖南,CEG2000_f4_r0017_c0095,8,28.045900211152222,26.055903703002624,1.9899965081495985,0.07637411201824007,0,25.957289599187117,5,3.3350984008004456,-1.4350972260095023,0.8030601666175193
湖南,CEG2000_f4_r0017_c0095,9,36.22035469429979,28.045900211152222,8.17445448314757,0.2914670030772293,2,35.229069413705076,6,6.670196801600891,-1.4350972260095023,0.8030601666175193
湖南,CEG2000_f4_r0017_c0095,10,26.49863590765833,36.22035469429979,-9.721718786641464,-0.2684048477352826,0,25.957289599187117,1,-10.005295202401333,-1.4350972260095023,0.8030601666175193
湖南,CEG2000_f4_r0017_c0095,11,29.9423613019716,26.49863590765833,3.4437253943132724,0.1299585913144309,1,30.593179506446095,5,3.3350984008004456,-1.4350972260095023,0.8030601666175193
湖南,CEG2000_f4_r0017_c0095,12,38.81407038815185,29.9423613019716,8.871709086180246,0.2962929007738636,3,39.864959320964054,7,10.005295202401335,-1.4350972260095023,0.8030601666175193
湖南,CEG2000_f4_r0017_c0096,1,40.08796401320188,,,,3,39.864959320964054,4,,-1.2831649509502785,0.9366049346765734
湖南,CEG2000_f4_r0017_c0096,2,37.994180291202674,40.08796401320188,-2.093783721999209,-0.05222973462333178,3,39.864959320964054,3,-3.335098400800444,-1.2831649509502785,0.9366049346765734
湖南,CEG2000_f4_r0017_c0096,3,36.34556202786895,37.994180291202674,-1.6486182633337236,-0.04339133653359673,2,35.229069413705076,4,0.0,-1.2831649509502785,0.9366049346765734
湖南,CEG2000_f4_r0017_c0096,4,32.4110596312392,36.34556202786895,-3.934502396629753,-0.10825262224897957,1,30.593179506446095,3,-3.335098400800444,-1.2831649509502785,0.9366049346765734
湖南,CEG2000_f4_r0017_c0096,5,29.51705789369425,32.4110596312392,-2.894001737544947,-0.0892905622485598,1,30.593179506446095,3,-3.335098400800444,-1.2831649509502785,0.9366049346765734
湖南,CEG2000_f4_r0017_c0096,6,22.561946933363867,29.51705789369425,-6.955110960330384,-0.23563022389898178,0,25.957289599187117,2,-6.670196801600889,-1.2831649509502785,0.9366049346765734
湖南,CEG2000_f4_r0017_c0096,7,24.945687782434717,22.561946933363867,2.3837408490708505,0.10565315378638059,0,25.957289599187117,5,3.3350984008004456,-1.2831649509502785,0.9366049346765734
湖南,CEG2000_f4_r0017_c0096,8,25.817732224794177,24.945687782434717,0.87204444235946,0.03495772295256186,0,25.957289599187117,4,0.0,-1.2831649509502785,0.9366049346765734
湖南,CEG2000_f4_r0017_c0096,9,33.64015074557723,25.817732224794177,7.822418520783053,0.30298627519541615,2,35.229069413705076,6,6.670196801600891,-1.2831649509502785,0.9366049346765734
湖南,CEG2000_f4_r0017_c0096,10,25.087888935742853,33.64015074557723,-8.552261809834377,-0.25422780874306183,0,25.957289599187117,1,-10.005295202401333,-1.2831649509502785,0.9366049346765734
湖南,CEG2000_f4_r0017_c0096,11,28.70703894048397,25.087888935742853,3.6191500047411154,0.14425884991801333,1,30.593179506446095,5,3.3350984008004456,-1.2831649509502785,0.9366049346765734
湖南,CEG2000_f4_r0017_c0096,12,36.86035259849569,28.70703894048397,8.153313658011719,0.2840179258792709,2,35.229069413705076,6,6.670196801600891,-1.2831649509502785,0.9366049346765734
湖南,CEG2000_f4_r0017_c0097,1,40.3754017488422,,,,3,39.864959320964054,4,,-1.1338039549037169,0.8644304713917595
湖南,CEG2000_f4_r0017_c0097,2,37.33843754680768,40.3754017488422,-3.0369642020345182,-0.07521817915091349,2,35.229069413705076,3,-3.335098400800444,-1.1338039549037169,0.8644304713917595
湖南,CEG2000_f4_r0017_c0097,3,37.86933379832245,37.33843754680768,0.5308962515147684,0.014218491356239364,3,39.864959320964054,4,0.0,-1.1338039549037169,0.8644304713917595
湖南,CEG2000_f4_r0017_c0097,4,32.77616259271195,37.86933379832245,-5.093171205610503,-0.13449328770172667,1,30.593179506446095,2,-6.670196801600889,-1.1338039549037169,0.8644304713917595
湖南,CEG2000_f4_r0017_c0097,5,30.184260630322253,32.77616259271195,-2.591901962389695,-0.07907887188007866,1,30.593179506446095,3,-3.335098400800444,-1.1338039549037169,0.8644304713917595
湖南,CEG2000_f4_r0017_c0097,6,22.95552856132067,30.184260630322253,-7.228732069001584,-0.23948680265965516,0,25.957289599187117,2,-6.670196801600889,-1.1338039549037169,0.8644304713917595
湖南,CEG2000_f4_r0017_c0097,7,25.59039535692467,22.95552856132067,2.634866795604001,0.11478136034051803,0,25.957289599187117,5,3.3350984008004456,-1.1338039549037169,0.8644304713917595
湖南,CEG2000_f4_r0017_c0097,8,25.883171655935023,25.59039535692467,0.2927762990103524,0.011440866580090884,0,25.957289599187117,4,0.0,-1.1338039549037169,0.8644304713917595
湖南,CEG2000_f4_r0017_c0097,9,35.76261579359454,25.883171655935023,9.879444137659519,0.3816937224304255,2,35.229069413705076,7,10.005295202401335,-1.1338039549037169,0.8644304713917595
湖南,CEG2000_f4_r0017_c0097,10,26.098313490738608,35.76261579359454,-9.664302302855933,-0.2702347713778507,0,25.957289599187117,1,-10.005295202401333,-1.1338039549037169,0.8644304713917595
湖南,CEG2000_f4_r0017_c0097,11,29.56513781456213,26.098313490738608,3.4668243238235235,0.1328371017174646,1,30.593179506446095,5,3.3350984008004456,-1.1338039549037169,0.8644304713917595
湖南,CEG2000_f4_r0017_c0097,12,38.15788335678666,29.56513781456213,8.592745542224531,0.2906377638460466,3,39.864959320964054,7,10.005295202401335,-1.1338039549037169,0.8644304713917595
湖南,CEG2000_f4_r0017_c0098,1,40.61275868451688,,,,3,39.864959320964054,4,,-1.0468715294550923,0.9140430574322562
湖南,CEG2000_f4_r0017_c0098,2,36.47631797820707,40.61275868451688,-4.136440706309813,-0.1018507690758466,2,35.229069413705076,3,-3.335098400800444,-1.0468715294550923,0.9140430574322562
湖南,CEG2000_f4_r0017_c0098,3,36.2691420457126,36.47631797820707,-0.2071759324944722,-0.005679738087003472,2,35.229069413705076,4,0.0,-1.0468715294550923,0.9140430574322562
湖南,CEG2000_f4_r0017_c0098,4,32.653536798391215,36.2691420457126,-3.6156052473213833,-0.0996881934169928,1,30.593179506446095,3,-3.335098400800444,-1.0468715294550923,0.9140430574322562
