dataset,cell_id,month,value,previous_value,delta,relative_delta,value_bin,value_reconstructed,delta_bin,delta_reconstructed,theta,rho
福建,CEG2000_f4_r0013_c0108,1,37.19563952473001,,,,8,37.58107131022782,4,,-1.9693265756229277,0.9657569619814448
福建,CEG2000_f4_r0013_c0108,2,34.49386823395926,37.19563952473001,-2.7017712907707505,-0.07263677477502281,7,35.241325470011745,3,-2.3744173704237426,-1.9693265756229277,0.9657569619814448
福建,CEG2000_f4_r0013_c0108,3,39.08916987779067,34.49386823395926,4.595301643831405,0.13322082674703686,8,37.58107131022782,6,4.748834740847487,-1.9693265756229277,0.9657569619814448
福建,CEG2000_f4_r0013_c0108,4,32.63211054735785,39.08916987779067,-6.45705933043282,-0.16518793698153036,6,32.90157962979566,1,-7.1232521112712295,-1.9693265756229277,0.9657569619814448
福建,CEG2000_f4_r0013_c0108,5,29.990867511443295,32.63211054735785,-2.6412430359145525,-0.08094000025163584,5,30.561833789579588,3,-2.3744173704237426,-1.9693265756229277,0.9657569619814448
福建,CEG2000_f4_r0013_c0108,6,19.98557893994878,29.990867511443295,-10.005288571494514,-0.3336111757246403,0,18.86310458849919,0,-9.497669481694972,-1.9693265756229277,0.9657569619814448
福建,CEG2000_f4_r0013_c0108,7,23.42604894383726,19.98557893994878,3.4404700038884783,0.17214762775830278,2,23.542596268931348,5,2.3744173704237435,-1.9693265756229277,0.9657569619814448
福建,CEG2000_f4_r0013_c0108,8,19.581297526698787,23.42604894383726,-3.844751417138472,-0.1641229140413761,0,18.86310458849919,2,-4.748834740847485,-1.9693265756229277,0.9657569619814448
福建,CEG2000_f4_r0013_c0108,9,27.591640004204415,19.581297526698787,8.010342477505628,0.4090812912976606,4,28.222087949363505,7,7.1232521112712295,-1.9693265756229277,0.9657569619814448
福建,CEG2000_f4_r0013_c0108,10,28.84305781318583,27.591640004204415,1.2514178089814152,0.04535496290871888,4,28.222087949363505,5,2.3744173704237435,-1.9693265756229277,0.9657569619814448
福建,CEG2000_f4_r0013_c0108,11,28.476752652413936,28.84305781318583,-0.3663051607718941,-0.012699941980646548,4,28.222087949363505,4,0.0,-1.9693265756229277,0.9657569619814448
福建,CEG2000_f4_r0013_c0108,12,31.737845943687844,28.476752652413936,3.261093291273909,0.11451773771675017,6,32.90157962979566,5,2.3744173704237435,-1.9693265756229277,0.9657569619814448
福建,CEG2000_f4_r0013_c0109,1,37.04023680375124,,,,8,37.58107131022782,4,,-1.9047933362433769,0.9239084174512208
福建,CEG2000_f4_r0013_c0109,2,33.889060224335466,37.04023680375124,-3.1511765794157753,-0.08507441775039194,6,32.90157962979566,3,-2.3744173704237426,-1.9047933362433769,0.9239084174512208
福建,CEG2000_f4_r0013_c0109,3,38.84845435006782,33.889060224335466,4.959394125732352,0.14634203760454384,8,37.58107131022782,6,4.748834740847487,-1.9047933362433769,0.9239084174512208
福建,CEG2000_f4_r0013_c0109,4,32.40932163417044,38.84845435006782,-6.4391327158973795,-0.165750036227275,6,32.90157962979566,1,-7.1232521112712295,-1.9047933362433769,0.9239084174512208
福建,CEG2000_f4_r0013_c0109,5,29.603100178523228,32.40932163417044,-2.8062214556472114,-0.0865868618702744,5,30.561833789579588,3,-2.3744173704237426,-1.9047933362433769,0.9239084174512208
福建,CEG2000_f4_r0013_c0109,6,19.629682178820367,29.603100178523228,-9.97341799970286,-0.3369045113369066,0,18.86310458849919,0,-9.497669481694972,-1.9047933362433769,0.9239084174512208
福建,CEG2000_f4_r0013_c0109,7,22.86702754046512,19.629682178820367,3.2373453616447527,0.16492092598104913,2,23.542596268931348,5,2.3744173704237435,-1.9047933362433769,0.9239084174512208
福建,CEG2000_f4_r0013_c0109,8,19.429808419430746,22.86702754046512,-3.4372191210343743,-0.15031333280864456,0,18.86310458849919,3,-2.3744173704237426,-1.9047933362433769,0.9239084174512208
福建,CEG2000_f4_r0013_c0109,9,26.74551325298103,19.429808419430746,7.315704833550285,0.37651965864131876,3,25.88234210914743,7,7.1232521112712295,-1.9047933362433769,0.9239084174512208
福建,CEG2000_f4_r0013_c0109,10,28.613183090462492,26.74551325298103,1.8676698374814613,0.0698311458754037,4,28.222087949363505,5,2.3744173704237435,-1.9047933362433769,0.9239084174512208
福建,CEG2000_f4_r0013_c0109,11,27.671539616857412,28.613183090462492,-0.9416434736050796,-0.03290942747012839,4,28.222087949363505,4,0.0,-1.9047933362433769,0.9239084174512208
福建,CEG2000_f4_r0013_c0109,12,30.87563556148365,27.671539616857412,3.204095944626239,0.11579030256322688,5,30.561833789579588,5,2.3744173704237435,-1.9047933362433769,0.9239084174512208
福建,CEG2000_f4_r0014_c0108,1,36.144569866813555,,,,7,35.241325470011745,4,,-2.0475878930511446,0.915354884109302
福建,CEG2000_f4_r0014_c0108,2,34.43847472264863,36.144569866813555,-1.7060951441649266,-0.04720197668561529,7,35.241325470011745,3,-2.3744173704237426,-2.0475878930511446,0.915354884109302
福建,CEG2000_f4_r0014_c0108,3,36.119530824233834,34.43847472264863,1.681056101585206,0.04881331461755045,7,35.241325470011745,5,2.3744173704237435,-2.0475878930511446,0.915354884109302
