trial_id,dataset,transition,condition,task,stimulus_path,candidate_cell_ids,target_cell_id,ground_truth,color_limit,counterbalance_block
Hubei_M02_geographic_map_change_localization,湖北,M01-M02,geographic_map,change_localization,stimuli/Hubei_M02_geographic_map.png,"[""CEG2000_f4_r0031_c0097"", ""CEG2000_f4_r0033_c0092"", ""CEG2000_f4_r0034_c0095"", ""CEG2000_f4_r0033_c0100""]",,CEG2000_f4_r0034_c0095,19.181641783146755,A
Hubei_M02_geographic_map_increase_decrease,湖北,M01-M02,geographic_map,increase_decrease,stimuli/Hubei_M02_geographic_map.png,"[""increase"", ""decrease"", ""stable""]",CEG2000_f4_r0031_c0097,decrease,19.181641783146755,A
Hubei_M02_geographic_map_temporal_comparison,湖北,M01-M02,geographic_map,temporal_comparison,stimuli/Hubei_M02_geographic_map.png,"[""CEG2000_f4_r0034_c0095"", ""CEG2000_f4_r0033_c0095""]",,CEG2000_f4_r0034_c0095,19.181641783146755,A
Hubei_M02_geographic_map_radial_propagation,湖北,M01-M02,geographic_map,radial_propagation,stimuli/Hubei_M02_geographic_map.png,"[""inner"", ""outer""]",,outer,19.181641783146755,A
Hubei_M02_delta_annulus_change_localization,湖北,M01-M02,delta_annulus,change_localization,stimuli/Hubei_M02_delta_annulus.png,"[""CEG2000_f4_r0031_c0097"", ""CEG2000_f4_r0033_c0092"", ""CEG2000_f4_r0034_c0095"", ""CEG2000_f4_r0033_c0100""]",,CEG2000_f4_r0034_c0095,19.181641783146755,B
Hubei_M02_delta_annulus_increase_decrease,湖北,M01-M02,delta_annulus,increase_decrease,stimuli/Hubei_M02_delta_annulus.png,"[""increase"", ""decrease"", ""stable""]",CEG2000_f4_r0031_c0097,decrease,19.181641783146755,B
Hubei_M02_delta_annulus_temporal_comparison,湖北,M01-M02,delta_annulus,temporal_comparison,stimuli/Hubei_M02_delta_annulus.png,"[""CEG2000_f4_r0034_c0095"", ""CEG2000_f4_r0033_c0095""]",,CEG2000_f4_r0034_c0095,19.181641783146755,B
Hubei_M02_delta_annulus_radial_propagation,湖北,M01-M02,delta_annulus,radial_propagation,stimuli/Hubei_M02_delta_annulus.png,"[""inner"", ""outer""]",,outer,19.181641783146755,B
Hubei_M04_geographic_map_change_localization,湖北,M03-M04,geographic_map,change_localization,stimuli/Hubei_M04_geographic_map.png,"[""CEG2000_f4_r0036_c0094"", ""CEG2000_f4_r0034_c0093"", ""CEG2000_f4_r0033_c0090"", ""CEG2000_f4_r0033_c0091""]",,CEG2000_f4_r0036_c0094,19.181641783146755,A
Hubei_M04_geographic_map_increase_decrease,湖北,M03-M04,geographic_map,increase_decrease,stimuli/Hubei_M04_geographic_map.png,"[""increase"", ""decrease"", ""stable""]",CEG2000_f4_r0036_c0094,decrease,19.181641783146755,A
Hubei_M04_geographic_map_temporal_comparison,湖北,M03-M04,geographic_map,temporal_comparison,stimuli/Hubei_M04_geographic_map.png,"[""CEG2000_f4_r0036_c0094"", ""CEG2000_f4_r0036_c0093""]",,CEG2000_f4_r0036_c0094,19.181641783146755,A
Hubei_M04_geographic_map_radial_propagation,湖北,M03-M04,geographic_map,radial_propagation,stimuli/Hubei_M04_geographic_map.png,"[""inner"", ""outer""]",,outer,19.181641783146755,A
Hubei_M04_delta_annulus_change_localization,湖北,M03-M04,delta_annulus,change_localization,stimuli/Hubei_M04_delta_annulus.png,"[""CEG2000_f4_r0036_c0094"", ""CEG2000_f4_r0034_c0093"", ""CEG2000_f4_r0033_c0090"", ""CEG2000_f4_r0033_c0091""]",,CEG2000_f4_r0036_c0094,19.181641783146755,B
Hubei_M04_delta_annulus_increase_decrease,湖北,M03-M04,delta_annulus,increase_decrease,stimuli/Hubei_M04_delta_annulus.png,"[""increase"", ""decrease"", ""stable""]",CEG2000_f4_r0036_c0094,decrease,19.181641783146755,B
Hubei_M04_delta_annulus_temporal_comparison,湖北,M03-M04,delta_annulus,temporal_comparison,stimuli/Hubei_M04_delta_annulus.png,"[""CEG2000_f4_r0036_c0094"", ""CEG2000_f4_r0036_c0093""]",,CEG2000_f4_r0036_c0094,19.181641783146755,B
Hubei_M04_delta_annulus_radial_propagation,湖北,M03-M04,delta_annulus,radial_propagation,stimuli/Hubei_M04_delta_annulus.png,"[""inner"", ""outer""]",,outer,19.181641783146755,B
Hubei_M06_geographic_map_change_localization,湖北,M05-M06,geographic_map,change_localization,stimuli/Hubei_M06_geographic_map.png,"[""CEG2000_f4_r0032_c0091"", ""CEG2000_f4_r0035_c0093"", ""CEG2000_f4_r0032_c0097"", ""CEG2000_f4_r0034_c0092""]",,CEG2000_f4_r0032_c0097,19.181641783146755,A
Hubei_M06_geographic_map_increase_decrease,湖北,M05-M06,geographic_map,increase_decrease,stimuli/Hubei_M06_geographic_map.png,"[""increase"", ""decrease"", ""stable""]",CEG2000_f4_r0032_c0091,decrease,19.181641783146755,A
Hubei_M06_geographic_map_temporal_comparison,湖北,M05-M06,geographic_map,temporal_comparison,stimuli/Hubei_M06_geographic_map.png,"[""CEG2000_f4_r0033_c0096"", ""CEG2000_f4_r0032_c0097""]",,CEG2000_f4_r0032_c0097,19.181641783146755,A
Hubei_M06_geographic_map_radial_propagation,湖北,M05-M06,geographic_map,radial_propagation,stimuli/Hubei_M06_geographic_map.png,"[""inner"", ""outer""]",,outer,19.181641783146755,A
Hubei_M06_delta_annulus_change_localization,湖北,M05-M06,delta_annulus,change_localization,stimuli/Hubei_M06_delta_annulus.png,"[""CEG2000_f4_r0032_c0091"", ""CEG2000_f4_r0035_c0093"", ""CEG2000_f4_r0032_c0097"", ""CEG2000_f4_r0034_c0092""]",,CEG2000_f4_r0032_c0097,19.181641783146755,B
Hubei_M06_delta_annulus_increase_decrease,湖北,M05-M06,delta_annulus,increase_decrease,stimuli/Hubei_M06_delta_annulus.png,"[""increase"", ""decrease"", ""stable""]",CEG2000_f4_r0032_c0091,decrease,19.181641783146755,B
